player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
Josh Gordon,7618,WR,1,CLV,15,10,66.7,261,2,92.9,92.6,78.0,71.1,,26.1,113,11.3,95,7,0,0,0,2,149.3,0,0,2013,13
Brian Hartline,5031,WR,1,MIA,15,9,60.0,127,1,85.2,84.2,77.3,70.6,,14.1,51,5.7,31,8,0,0,0,1,109.6,0,0,2013,13
Alshon Jeffery,7048,WR,1,CHI,15,12,80.0,249,2,92.8,92.3,79.4,72.5,60.5,20.8,121,10.1,80,8,0,0,0,2,158.3,0,0,2013,13
Roddy White,2244,WR,1,ATL,14,10,71.4,143,0,75.5,72.7,78.7,71.5,,14.3,22,2.2,29,5,0,0,0,0,104.2,0,0,2013,13
Anquan Boldin,1369,WR,1,SF,13,9,69.2,98,0,83.5,82.2,77.3,70.6,,10.9,33,3.7,21,6,0,0,0,2,91.2,0,0,2013,13
Harry Douglas,4398,WR,1,ATL,12,6,50.0,73,0,63.8,65.4,29.8,68.8,,12.2,34,5.7,20,3,1,0,0,2,69.1,1,0,2013,13
Eric Decker,5611,WR,1,DEN,12,8,66.7,174,4,91.1,90.7,76.5,70.1,,21.8,20,2.5,42,6,0,1,0,0,114.6,0,0,2013,13
Julian Edelman,5156,WR,1,NE,12,9,75.0,101,0,80.0,81.4,57.0,71.8,,11.2,20,2.2,25,7,1,0,0,0,99.7,0,0,2013,13
Pierre Garcon,4519,WR,1,WAS,12,9,75.0,61,0,49.3,51.8,38.4,19.2,,6.8,18,2.0,16,2,2,0,1,2,85.8,1,0,2013,13
Emmanuel Sanders,5606,WR,1,PIT,11,6,54.5,43,1,61.0,58.5,27.9,71.2,,7.2,9,1.5,15,3,0,0,0,0,94.1,0,0,2013,13
Andre Holmes,6489,WR,1,OAK,11,7,63.6,136,0,90.2,89.9,75.6,69.5,,19.4,42,6.0,35,6,0,0,0,0,106.6,0,0,2013,13
Ace Sanders,7883,WR,1,JAX,11,8,72.7,67,0,85.3,86.0,77.3,72.2,,8.4,40,5.0,25,5,0,0,0,0,88.1,1,1,2013,13
Keenan Allen,7857,WR,1,SD,10,8,80.0,106,0,72.7,70.8,54.9,19.7,,13.3,38,4.8,22,7,1,0,1,3,110.8,0,0,2013,13
Calvin Johnson,3618,WR,1,DET,10,6,60.0,101,1,75.4,75.5,49.2,68.8,,16.8,46,7.7,20,6,1,1,0,1,87.9,0,0,2013,13
Rob Gronkowski,5567,TE,1,NE,10,6,60.0,127,1,90.6,90.1,74.6,68.8,73.5,21.2,50,8.3,50,5,0,1,0,2,97.9,0,0,2013,13
Kendall Wright,7026,WR,1,TEN,10,6,60.0,77,0,71.8,72.0,49.7,68.8,,12.8,39,6.5,35,3,1,2,0,3,44.6,0,0,2013,13
Torrey Smith,6210,WR,1,BLT,10,6,60.0,93,1,67.4,67.5,29.7,68.8,,15.5,30,5.0,54,4,2,0,0,0,124.2,1,0,2013,13
Cecil Shorts,6266,WR,1,JAX,10,6,60.0,64,1,67.2,65.5,29.7,68.8,,10.7,35,5.8,20,3,2,1,0,1,72.5,0,0,2013,13
Garrett Graham,5642,TE,1,HST,10,3,30.0,36,0,44.1,36.8,36.2,65.8,65.9,12.0,17,5.7,17,1,1,0,0,0,42.1,1,0,2013,13
Le'Veon Bell,7829,HB,1,PIT,9,7,77.8,63,0,80.3,86.6,75.6,77.1,55.3,9.0,59,8.4,29,1,0,0,0,2,95.8,0,0,2013,13
Mike Wallace,5007,WR,1,MIA,9,7,77.8,82,1,77.5,73.8,75.6,69.5,,11.7,44,6.3,28,5,0,1,0,2,102.1,0,0,2013,13
Chris Givens,7096,WR,1,SL,9,2,22.2,30,0,57.4,57.0,29.9,64.0,,15.0,0,0.0,16,2,1,0,0,0,41.0,0,0,2013,13
Antonio Gates,1609,TE,1,SD,9,5,55.6,41,0,49.3,47.7,73.4,16.3,66.1,8.2,17,3.4,13,3,0,1,1,1,27.8,0,0,2013,13
Andre Johnson,1319,WR,1,HST,9,8,88.9,121,0,91.4,90.9,54.5,70.1,,15.1,36,4.5,29,6,1,0,0,1,118.8,0,0,2013,13
Michael Floyd,7019,WR,1,ARZ,9,5,55.6,99,1,76.4,79.7,46.3,68.0,,19.8,11,2.2,34,5,1,1,0,1,91.7,0,0,2013,13
Brandon Marshall,3064,WR,1,CHI,9,4,44.4,45,0,75.4,67.8,72.1,67.0,,11.3,22,5.5,15,4,0,0,0,0,60.0,0,0,2013,13
Jerome Simpson,4360,WR,1,MIN,9,3,33.3,76,0,63.2,62.8,28.0,65.8,,25.3,7,2.3,32,3,2,0,0,0,65.0,0,0,2013,13
Charles Clay,6326,TE,1,MIA,9,7,77.8,80,0,81.0,81.1,75.6,70.3,23.2,11.4,33,4.7,28,4,0,0,0,1,103.7,1,0,2013,13
Antonio Brown,5718,WR,1,PIT,8,5,62.5,59,0,67.3,65.1,46.3,68.0,,11.8,14,2.8,19,4,1,0,0,1,84.9,0,0,2013,13
Steve Johnson,4538,WR,1,BUF,8,5,62.5,55,0,63.7,61.8,73.4,16.3,,11.0,20,4.0,15,5,0,0,1,0,82.8,0,0,2013,13
Andre Roberts,5612,WR,1,ARZ,8,4,50.0,29,0,61.4,58.8,72.1,67.0,,7.3,6,1.5,17,1,0,1,0,0,19.3,0,0,2013,13
Dez Bryant,5549,WR,1,DAL,8,7,87.5,61,1,62.6,62.0,52.1,17.7,,8.7,24,3.4,25,2,1,0,1,2,138.0,0,0,2013,13
Larry Fitzgerald,1724,WR,1,ARZ,8,5,62.5,72,1,73.9,73.4,73.4,68.0,,14.4,48,9.6,43,3,0,0,0,1,131.3,0,0,2013,13
Heath Miller,2247,TE,1,PIT,8,8,100.0,86,0,90.8,88.5,77.3,70.6,80.0,10.8,28,3.5,21,5,0,0,0,1,111.5,0,0,2013,13
Greg Jennings,2997,WR,1,MIN,8,7,87.5,78,1,84.2,83.1,75.6,69.5,,11.1,26,3.7,19,4,0,0,0,0,146.9,0,0,2013,13
Jordan Cameron,6254,TE,1,CLV,7,4,57.1,43,0,58.2,61.3,72.1,67.0,,10.8,4,1.0,26,2,0,1,0,0,35.7,1,0,2013,13
Nate Washington,2832,WR,1,TEN,7,5,71.4,81,0,76.1,74.5,73.4,68.0,,16.2,6,1.2,31,4,0,1,0,0,70.2,0,0,2013,13
Darren Sproles,2347,HB,1,NO,7,7,100.0,32,0,75.1,78.8,75.6,72.8,,4.6,27,3.9,10,1,0,0,0,1,85.7,0,0,2013,13
A.J. Green,6156,WR,1,CIN,7,5,71.4,83,1,80.0,79.9,73.4,68.0,,16.6,43,8.6,28,3,0,1,0,0,111.0,0,0,2013,13
David Nelson,5862,WR,1,NYJ,7,3,42.9,37,0,62.6,62.6,36.2,65.8,,12.3,14,4.7,18,2,1,0,0,0,59.8,0,0,2013,13
Victor Cruz,5827,WR,1,NYG,7,6,85.7,80,0,77.3,76.7,74.6,68.8,,13.3,24,4.0,22,4,0,0,0,0,114.3,0,0,2013,13
T.Y. Hilton,7092,WR,1,IND,7,5,71.4,46,0,55.0,57.4,46.3,68.0,,9.2,6,1.2,20,2,1,1,0,1,49.4,0,0,2013,13
Jimmy Graham,5619,TE,1,NO,7,3,42.9,42,1,65.1,63.0,36.8,65.8,67.6,14.0,16,5.3,20,3,1,0,0,1,102.4,0,0,2013,13
Brandon LaFell,5602,WR,1,CAR,7,3,42.9,36,1,72.7,67.8,70.5,65.8,,12.0,11,3.7,16,2,0,2,0,0,59.2,0,0,2013,13
Dwayne Bowe,3639,WR,1,KC,7,3,42.9,56,0,64.0,60.4,41.6,67.0,71.6,18.7,21,7.0,24,2,1,0,0,0,71.1,0,0,2013,13
Zach Miller,3654,TE,1,SEA,7,5,71.4,86,1,78.0,81.4,73.4,68.0,75.8,17.2,44,8.8,60,3,0,0,0,0,152.4,0,0,2013,13
Jacoby Jones,3689,WR,1,BLT,7,4,57.1,53,0,66.1,65.8,72.1,72.6,,13.3,9,2.3,34,2,0,0,0,1,81.3,0,0,2013,13
Tavon Austin,7789,WR,1,SL,7,4,57.1,25,0,62.3,60.9,72.1,74.2,,6.3,6,1.5,8,2,0,1,0,0,25.0,0,0,2013,13
Chris Johnson,4338,HB,1,TEN,7,6,85.7,32,1,68.1,63.7,74.6,77.5,82.3,5.3,38,6.3,11,2,0,0,0,1,125.3,0,0,2013,13
Kris Durham,6259,WR,1,DET,7,3,42.9,68,0,61.1,62.5,36.8,65.8,,22.7,12,4.0,36,4,1,1,0,0,38.7,1,0,2013,13
Ray Rice,4369,HB,1,BLT,7,6,85.7,38,0,58.5,69.5,74.6,75.7,54.7,6.3,41,6.8,22,1,0,0,0,0,89.3,1,0,2013,13
Demaryius Thomas,5547,WR,1,DEN,6,3,50.0,106,0,63.2,60.9,28.1,65.8,,35.3,64,21.3,77,3,2,1,0,0,56.3,0,0,2013,13
Marques Colston,3197,WR,1,NO,6,4,66.7,27,0,64.4,63.8,73.4,68.0,,6.8,4,1.0,14,2,0,0,0,0,76.4,0,0,2013,13
Jared Cook,5012,TE,1,SL,6,3,50.0,49,0,47.1,49.6,28.0,65.8,69.0,16.3,18,6.0,20,2,2,0,0,0,77.8,1,0,2013,13
