player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
LeSean McCoy,4976,HB,1,BUF,28,26,113,4.3,2,66.8,69.5,79.0,60.0,66,2.54,28,4,3,0,1,0,2018,10
Leonard Fournette,11759,HB,1,JAX,25,24,53,2.2,1,61.9,56.0,78.8,60.0,36,1.5,11,3,2,0,0,0,2018,10
David Johnson,9519,HB,1,ARZ,23,21,98,4.7,1,74.6,68.8,78.4,60.0,52,2.48,11,7,0,0,0,0,2018,10
Saquon Barkley,45791,HB,1,NYG,21,20,67,3.4,0,61.7,57.4,77.7,60.0,41,2.05,18,2,0,0,0,0,2018,10
Nick Chubb,45783,HB,1,CLV,22,20,176,8.8,1,80.5,79.6,77.8,60.0,155,7.75,92,5,6,0,1,0,2018,10
Dion Lewis,6301,HB,1,TEN,22,20,57,2.9,0,56.3,56.4,77.7,60.0,30,1.5,12,4,1,0,0,0,2018,10
Adrian Peterson,3623,HB,1,WAS,21,19,68,3.6,0,60.3,59.8,77.7,60.0,40,2.11,18,4,2,0,0,0,2018,10
Ezekiel Elliott,10638,HB,1,DAL,23,19,151,7.9,1,70.4,67.0,35.7,59.5,117,6.16,35,6,5,1,0,0,2018,10
Melvin Gordon III,9448,HB,1,LAC,22,18,93,5.2,0,81.3,77.1,77.3,60.0,38,2.11,15,7,6,0,0,0,2018,10
Matt Breida,12271,HB,1,SF,19,17,101,5.9,1,79.1,75.0,77.0,60.0,65,3.82,23,5,3,0,0,0,2018,10
Todd Gurley II,9443,HB,1,LA,21,16,120,7.5,1,63.5,70.0,76.7,60.0,68,4.25,17,5,3,0,0,0,2018,10
Kareem Hunt,11841,HB,1,KC,19,16,71,4.4,0,70.3,63.0,76.4,59.6,55,3.44,18,4,1,0,0,0,2018,10
Doug Martin,7035,HB,1,OAK,16,15,61,4.1,0,68.3,64.4,76.1,60.0,41,2.73,16,2,0,0,0,0,2018,10
Aaron Jones,11937,HB,1,GB,15,15,145,9.7,2,70.3,82.7,76.1,,43,2.87,67,8,0,0,1,0,2018,10
Marcus Murphy,9663,HB,1,BUF,18,14,69,4.9,0,76.5,74.7,75.1,60.0,32,2.29,17,4,2,0,0,0,2018,10
Kerryon Johnson,34455,HB,1,DET,17,14,51,3.6,1,67.1,60.8,25.8,57.2,42,3.0,10,4,2,1,0,0,2018,10
Christian McCaffrey,11763,HB,1,CAR,18,14,77,5.5,1,75.3,80.8,76.1,59.5,45,3.21,21,4,1,0,0,0,2018,10
Mark Ingram II,6180,HB,1,NO,17,13,104,8.0,0,86.1,83.1,75.4,60.0,64,4.92,33,4,3,0,0,0,2018,10
Frank Gore,2282,HB,1,MIA,14,13,90,6.9,0,84.1,81.4,75.2,60.0,71,5.46,39,4,7,0,0,0,2018,10
Peyton Barber,10927,HB,1,TB,14,13,61,4.7,0,71.5,72.9,75.3,60.0,44,3.38,14,4,5,0,0,0,2018,10
James Conner,11860,HB,1,PIT,13,13,65,5.0,1,69.3,67.7,74.9,,23,1.77,15,6,1,0,0,0,2018,10
Marlon Mack,11898,HB,1,IND,19,12,29,2.4,0,60.0,59.2,75.5,60.0,26,2.17,7,1,0,0,0,0,2018,10
Rashaad Penny,27414,HB,1,SEA,13,12,108,9.0,1,63.4,64.8,74.3,60.0,67,5.58,38,4,2,0,0,0,2018,10
Alvin Kamara,11822,HB,1,NO,20,12,56,4.7,2,85.6,72.7,75.9,57.0,28,2.33,14,5,0,0,0,0,2018,10
Dwayne Washington,10870,HB,1,NO,14,11,47,4.3,0,64.9,63.9,73.8,60.0,29,2.64,20,3,0,0,0,0,2018,10
Jordan Howard,10784,HB,1,CHI,13,11,21,1.9,0,56.4,54.5,74.5,59.2,18,1.64,9,0,0,0,0,0,2018,10
Joe Mixon,11803,HB,1,CIN,12,11,61,5.5,0,80.8,80.7,74.4,60.0,31,2.82,14,3,2,0,0,0,2018,10
Mike Davis,9559,HB,1,SEA,13,11,58,5.3,0,62.4,67.0,75.2,60.0,40,3.64,12,4,2,0,0,0,2018,10
Tevin Coleman,9506,HB,1,ATL,12,11,44,4.0,0,53.1,58.9,74.6,60.0,32,2.91,18,3,0,0,0,0,2018,10
Derrick Henry,10679,HB,1,TEN,11,11,58,5.3,2,70.2,69.4,73.8,,30,2.73,14,5,1,0,0,0,2018,10
Sony Michel,27589,HB,1,NE,12,11,31,2.8,0,54.7,54.7,73.8,60.0,19,1.73,7,2,0,0,0,0,2018,10
Russell Wilson,7077,QB,1,SEA,27,2,92,10.2,0,72.0,82.4,29.1,60.0,34,3.78,21,6,0,1,1,0,2018,10
Alfred Morris,7165,HB,1,SF,9,9,19,2.1,0,53.7,55.1,72.7,,13,1.44,5,0,0,0,0,0,2018,10
Stevan Ridley,6225,HB,1,PIT,8,8,26,3.3,0,65.0,64.8,72.1,,29,3.63,9,1,1,0,0,0,2018,10
Ryan Fitzpatrick,2467,QB,1,TB,18,2,35,4.4,0,63.7,57.7,31.9,60.0,46,5.75,8,2,4,1,1,0,2018,10
Kenyan Drake,10707,HB,1,MIA,8,8,27,3.4,0,66.3,69.4,72.9,,20,2.5,6,1,1,0,0,0,2018,10
