player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties,season,week
Marlon Mack,11898,HB,1,IND,33,29,132,4.6,0,62.1,65.9,79.6,60.0,89,3.07,30,7,5,0,0,0,2019,5
Chris Carson,12004,HB,1,SEA,31,27,118,4.4,0,77.8,77.2,79.3,60.0,116,4.3,14,8,6,0,0,0,2019,5
Josh Jacobs,45953,HB,1,OAK,28,26,123,4.7,2,77.7,75.1,79.2,60.0,68,2.62,21,7,5,0,0,0,2019,5
Leonard Fournette,11759,HB,1,JAX,25,23,108,4.7,1,68.7,71.7,78.8,60.0,93,4.04,48,6,2,0,0,0,2019,5
Dalvin Cook,11796,HB,1,MIN,22,21,132,6.3,0,58.8,47.9,20.5,60.0,90,4.29,41,3,6,2,0,0,2019,5
Carlos Hyde,8692,HB,1,HST,22,21,60,2.9,1,59.1,62.0,26.2,60.0,48,2.29,14,6,6,1,0,0,2019,5
Derrick Henry,10679,HB,1,TEN,21,20,78,3.9,1,64.5,63.8,77.4,60.0,58,2.9,24,4,7,0,0,0,2019,5
Christian McCaffrey,11763,HB,1,CAR,22,19,176,9.3,2,92.6,90.2,77.9,59.7,79,4.16,84,6,7,0,0,0,2019,5
Mark Ingram II,6180,HB,1,BLT,25,19,44,2.3,1,63.9,58.7,77.5,59.7,31,1.63,14,4,2,0,0,0,2019,5
Aaron Jones,11937,HB,1,GB,22,19,107,5.6,4,88.6,84.3,77.9,44.5,64,3.37,18,10,8,0,0,0,2019,5
Joe Mixon,11803,HB,1,CIN,21,19,93,4.9,0,69.8,67.3,77.3,60.0,44,2.32,18,4,1,0,0,0,2019,5
David Johnson,9519,HB,1,ARZ,24,17,91,5.4,0,81.3,63.2,76.7,59.4,30,1.76,17,5,0,0,0,0,2019,5
Tevin Coleman,9506,HB,1,SF,17,16,97,6.1,1,75.0,73.1,76.2,60.0,55,3.44,19,5,2,0,0,0,2019,5
Alvin Kamara,11822,HB,1,NO,19,16,62,3.9,0,65.6,63.4,77.4,60.0,59,3.69,16,3,6,0,0,0,2019,5
Sony Michel,27589,HB,1,NE,16,16,91,5.7,1,75.2,71.2,76.4,,30,1.88,25,4,3,0,0,0,2019,5
Nick Chubb,45783,HB,1,CLV,18,16,87,5.4,0,60.5,59.6,76.0,59.9,45,2.81,37,2,4,0,0,0,2019,5
Phillip Lindsay,12660,HB,1,DEN,17,15,114,7.6,1,83.2,79.1,76.6,60.0,51,3.4,32,5,4,0,0,0,2019,5
Todd Gurley II,9443,HB,1,LA,16,15,51,3.4,2,55.3,58.4,24.5,60.0,34,2.27,12,4,5,1,0,0,2019,5
Le'Veon Bell,7829,HB,1,NYJ,16,15,43,2.9,0,66.2,55.2,76.8,60.0,39,2.6,13,2,1,0,0,0,2019,5
James Conner,11860,HB,1,PIT,16,14,55,3.9,1,60.3,62.6,75.5,60.0,36,2.57,12,2,1,0,0,0,2019,5
Lamar Jackson,46416,QB,1,BLT,33,8,70,5.0,0,55.7,64.3,36.3,60.0,35,2.5,9,3,2,1,0,0,2019,5
Frank Gore,2282,HB,1,BUF,17,14,60,4.3,0,73.2,74.7,75.5,60.0,56,4.0,19,2,2,0,0,0,2019,5
Jordan Howard,10784,HB,1,PHI,14,13,62,4.8,1,63.1,61.5,75.1,60.0,34,2.62,15,4,2,0,0,0,2019,5
Royce Freeman,45747,HB,1,DEN,13,13,61,4.7,0,59.0,58.1,75.8,,26,2.0,11,2,1,0,0,0,2019,5
Ezekiel Elliott,10638,HB,1,DAL,13,12,62,5.2,1,71.4,75.4,75.2,60.0,38,3.17,14,5,0,0,0,0,2019,5
Melvin Gordon III,9448,HB,1,LAC,13,12,31,2.6,0,59.5,58.6,75.2,60.0,23,1.92,7,0,1,0,0,0,2019,5
Matt Breida,12271,HB,1,SF,12,11,114,10.4,1,83.6,86.7,75.0,60.0,23,2.09,83,2,3,0,0,0,2019,5
Devonta Freeman,8738,HB,1,ATL,13,11,30,2.7,0,57.6,52.3,75.3,60.0,15,1.36,21,2,1,0,0,0,2019,5
David Montgomery,45719,HB,1,CHI,11,11,25,2.3,1,55.8,53.4,74.9,44.0,18,1.64,6,1,3,0,0,0,2019,5
Josh Allen,46601,QB,1,BUF,22,5,27,2.7,0,74.6,64.7,80.4,60.0,21,2.1,6,2,2,0,0,0,2019,5
Kyler Murray,38334,QB,1,ARZ,34,7,93,9.3,1,90.4,88.7,80.0,60.0,18,1.8,24,4,1,0,2,1,2019,5
Ronald Jones,34001,HB,1,TB,9,9,35,3.9,0,57.3,58.6,73.4,,27,3.0,14,2,1,0,0,0,2019,5
Jon Hilliman,45826,HB,1,NYG,13,9,20,2.2,0,61.1,62.7,73.1,59.9,15,1.67,6,1,0,0,0,0,2019,5
Duke Johnson Jr.,9510,HB,1,HST,11,9,59,6.6,0,69.1,71.9,73.1,60.0,29,3.22,24,2,4,0,0,0,2019,5
Damien Williams,9205,HB,1,KC,9,9,23,2.6,0,46.3,49.0,73.7,,11,1.22,6,1,0,0,0,0,2019,5
Miles Sanders,40555,HB,1,PHI,11,9,15,1.7,0,56.1,55.2,74.6,60.0,18,2.0,8,1,0,0,0,0,2019,5
Peyton Barber,10927,HB,1,TB,9,8,32,4.0,1,63.2,63.5,72.5,60.0,20,2.5,8,2,3,0,0,0,2019,5
Chase Edmonds,45851,HB,1,ARZ,11,8,68,8.5,1,72.0,67.7,73.7,69.1,43,5.38,37,2,1,0,0,0,2019,5
Russell Wilson,7077,QB,1,SEA,37,3,32,4.0,0,94.9,61.6,78.9,60.0,4,0.5,12,2,0,0,0,0,2019,5
Jordan Wilkins,26618,HB,1,IND,8,7,28,4.0,0,66.6,66.3,71.4,60.0,17,2.43,10,0,2,0,0,0,2019,5
Adrian Peterson,3623,HB,1,WAS,7,7,18,2.6,0,65.3,65.2,72.1,,19,2.71,7,0,1,0,0,0,2019,5
Latavius Murray,7962,HB,1,NO,7,7,28,4.0,0,60.3,59.5,72.3,,19,2.71,12,1,1,0,0,0,2019,5
Alexander Mattison,45817,HB,1,MIN,8,7,52,7.4,0,67.4,68.3,72.1,60.0,27,3.86,19,2,2,0,0,0,2019,5
Raheem Mostert,9783,HB,1,SF,11,7,34,4.9,0,64.9,67.0,71.4,60.0,26,3.71,8,1,2,0,0,0,2019,5
Gardner Minshew,41401,QB,1,JAX,26,2,42,6.0,0,63.2,44.4,23.1,60.0,2,0.29,11,2,0,3,0,0,2019,5
James White,8765,HB,1,NE,6,6,26,4.3,0,72.5,70.0,73.1,,13,2.17,7,2,2,0,0,0,2019,5
DeAndre Washington,10777,HB,1,OAK,7,6,17,2.8,1,84.4,76.0,72.0,60.0,12,2.0,5,3,0,0,0,0,2019,5
Rashaad Penny,27414,HB,1,SEA,6,6,18,3.0,0,69.8,52.5,71.6,,5,0.83,8,0,0,0,0,0,2019,5
Jacoby Brissett,10725,QB,1,IND,43,4,9,1.5,1,46.2,72.1,79.4,60.0,3,0.5,7,3,0,0,0,0,2019,5
Wendell Smallwood,10787,HB,1,WAS,6,6,27,4.5,0,68.3,67.2,70.6,,12,2.0,12,2,1,0,0,0,2019,5
Tra Carson,11104,HB,1,GB,6,6,14,2.3,0,58.8,54.3,73.0,,12,2.0,7,1,2,0,0,0,2019,5
Marcus Mariota,9435,QB,1,TEN,23,1,13,2.6,0,67.8,48.1,78.2,60.6,4,0.8,4,0,0,0,1,0,2019,5
Gus Edwards,46027,HB,1,BLT,6,5,17,3.4,0,68.7,72.4,70.3,60.0,11,2.2,7,3,1,0,0,0,2019,5
Ito Smith,45932,HB,1,ATL,7,5,19,3.8,0,61.5,61.5,72.6,60.0,8,1.6,11,2,1,0,1,0,2019,5
Brandon Bolden,7469,HB,1,NE,5,5,13,2.6,0,51.9,44.8,70.3,,4,0.8,5,0,0,0,0,0,2019,5
Teddy Bridgewater,8667,QB,1,NO,23,1,7,1.4,0,85.1,57.2,79.1,60.0,11,2.2,5,0,1,0,0,0,2019,5
Reggie Bonnafon,47542,HB,1,CAR,5,5,80,16.0,1,69.5,68.3,69.7,,10,2.0,59,2,0,0,0,0,2019,5
Dak Prescott,10769,QB,1,DAL,17,0,27,6.8,0,79.4,67.0,80.8,60.0,10,2.5,14,2,2,0,0,0,2019,5
Jimmy Garoppolo,8697,QB,1,SF,40,4,-3,-0.8,0,69.0,55.7,78.5,60.0,0,0.0,0,0,0,1,0,0,2019,5
Chris Thompson,7936,HB,1,WAS,5,4,21,5.3,0,56.3,64.7,71.6,60.0,11,2.75,12,1,2,0,0,0,2019,5
Deshaun Watson,11767,QB,1,HST,31,1,47,11.8,0,88.7,71.2,27.9,60.0,23,5.75,30,2,0,2,0,0,2019,5
Tarik Cohen,11874,HB,1,CHI,4,4,10,2.5,0,57.7,52.2,74.2,59.9,7,1.75,4,0,0,0,0,0,2019,5
Tony Pollard,27126,HB,1,DAL,4,4,19,4.8,0,72.5,70.2,72.3,,10,2.5,7,1,0,0,0,0,2019,5
Aaron Rodgers,2241,QB,1,GB,28,3,-1,-0.3,0,67.8,63.5,80.1,60.0,0,0.0,3,0,0,0,1,0,2019,5
Darren Sproles,2347,HB,1,PHI,3,3,4,1.3,0,32.1,52.9,72.2,,1,0.33,5,0,0,0,1,0,2019,5
Derek Carr,8671,QB,1,OAK,37,2,8,2.7,0,73.5,64.1,78.3,60.0,0,0.0,9,0,0,1,1,0,2019,5
Kirk Cousins,7102,QB,1,MIN,33,2,3,1.0,0,84.7,57.8,78.2,60.0,0,0.0,4,0,0,1,0,0,2019,5
Patrick Mahomes,11765,QB,1,KC,12,1,17,5.7,0,82.2,66.7,80.5,60.0,2,0.67,14,1,1,0,0,0,2019,5
Daniel Jones,39395,QB,1,NYG,19,2,12,4.0,0,64.9,66.3,80.5,60.0,6,2.0,8,3,1,0,0,0,2019,5
Austin Ekeler,12164,HB,1,LAC,6,3,7,2.3,0,70.9,60.5,74.7,60.0,3,1.0,4,0,0,1,0,0,2019,5
Joe Flacco,4332,QB,1,DEN,30,1,7,2.3,0,59.1,62.5,25.6,60.0,0,0.0,6,1,0,2,0,0,2019,5
Matt Ryan,4317,QB,1,ATL,19,2,7,2.3,1,72.0,71.2,81.2,60.4,5,1.67,7,1,1,0,0,0,2019,5
Ameer Abdullah,9487,HB,1,MIN,3,3,24,8.0,0,69.7,70.7,69.0,,6,2.0,15,1,1,0,0,0,2019,5
Jaylen Samuels,47297,HB,1,PIT,3,3,2,0.7,0,47.6,60.5,70.9,,5,1.67,6,0,1,0,0,0,2019,5
Jameis Winston,9434,QB,1,TB,19,0,13,4.3,0,47.7,51.9,28.0,60.0,14,4.67,5,0,0,1,1,0,2019,5
Elijhaa Penny,11300,HB,1,NYG,7,3,15,5.0,0,66.7,68.3,70.0,59.3,6,2.0,6,0,0,0,0,0,2019,5
Devlin Hodges,29838,QB,1,PIT,11,1,20,10.0,0,65.4,68.5,73.3,60.0,0,0.0,21,1,0,0,0,0,2019,5
Colt McCoy,5609,QB,1,WAS,18,0,14,7.0,0,44.7,63.4,20.5,60.0,15,7.5,9,1,1,2,0,0,2019,5
Andy Dalton,6187,QB,1,CIN,23,2,5,2.5,0,74.0,40.9,29.5,60.0,1,0.5,5,0,0,1,0,0,2019,5
Dion Lewis,6301,HB,1,TEN,4,2,11,5.5,0,47.3,62.2,67.8,59.8,6,3.0,9,1,0,0,0,0,2019,5
Giovani Bernard,7818,HB,1,CIN,2,2,10,5.0,0,66.4,67.9,68.7,,9,4.5,9,1,1,0,0,0,2019,5
Odell Beckham Jr.,8647,WR,1,CLV,18,2,15,7.5,0,58.8,63.0,17.4,56.5,6,3.0,11,1,1,0,0,0,2019,5
T.J. Yeldon,9469,HB,1,BUF,5,2,15,7.5,0,63.8,66.2,69.4,60.0,12,6.0,11,1,1,0,0,0,2019,5
Ty Montgomery,9527,HB,1,NYJ,4,2,1,0.5,0,50.6,52.7,67.2,60.0,3,1.5,4,0,0,0,0,0,2019,5
Carson Wentz,10636,QB,1,PHI,23,1,5,2.5,0,84.7,65.6,78.8,60.0,7,3.5,5,0,1,0,0,0,2019,5
Jalen Richard,11395,HB,1,OAK,2,2,14,7.0,0,64.2,71.2,67.8,,1,0.5,9,1,0,0,0,0,2019,5
Evan Engram,11778,TE,1,NYG,12,2,5,2.5,0,47.4,49.7,71.1,41.0,1,0.5,5,0,0,0,1,0,2019,5
Curtis Samuel,11795,WR,1,CAR,22,2,25,12.5,0,53.1,68.9,68.7,55.2,3,1.5,16,1,0,0,1,0,2019,5
Wayne Gallman,11895,HB,1,NYG,2,2,14,7.0,0,63.1,62.6,65.2,,5,2.5,11,1,0,0,0,0,2019,5
Taysom Hill,12112,QB,1,NO,7,1,14,7.0,0,72.8,67.6,66.1,56.7,5,2.5,11,1,0,0,0,0,2019,5
Josh McCown,1085,QB,1,PHI,5,2,-2,-1.0,0,60.8,60.0,65.2,60.0,0,0.0,0,0,0,0,0,0,2019,5
Justice Hill,45865,HB,1,BLT,2,2,7,3.5,0,50.2,53.9,67.7,,4,2.0,4,0,1,0,0,0,2019,5
Andy Isabella,47448,WR,1,ARZ,5,2,11,5.5,0,57.1,59.5,65.2,60.3,3,1.5,6,0,0,0,0,0,2019,5
Nyheim Hines,48103,HB,1,IND,2,2,-1,-0.5,0,58.2,54.4,70.9,,2,1.0,3,1,0,0,0,0,2019,5
Zach Pascal,12303,WR,1,IND,27,1,12,12.0,0,55.9,62.0,69.1,57.8,5,5.0,12,1,0,0,0,0,2019,5
Alec Ingold,34934,FB,1,OAK,11,1,3,3.0,0,69.4,62.4,61.9,57.5,2,2.0,3,1,0,0,0,0,2019,5
George Kittle,11901,TE,1,SF,38,1,18,18.0,0,82.3,62.8,69.8,67.7,10,10.0,18,1,1,0,0,0,2019,5
Sterling Shepard,10674,WR,1,NYG,14,1,-2,-2.0,0,65.6,57.2,69.1,79.0,0,0.0,0,0,0,0,0,0,2019,5
KeeSean Johnson,39587,WR,1,ARZ,33,1,3,3.0,0,53.5,63.1,67.4,57.6,0,0.0,3,0,0,0,0,0,2019,5
Jared Goff,10635,QB,1,LA,17,0,1,1.0,0,77.6,54.6,80.8,60.0,0,0.0,1,0,0,0,0,0,2019,5
Erik Harris,10346,S,1,OAK,1,1,4,4.0,0,64.9,63.1,61.9,,1,1.0,4,1,0,0,0,0,2019,5
Mecole Hardman,42683,WR,1,KC,4,1,-6,-6.0,0,71.3,56.6,69.8,60.0,1,1.0,0,0,1,0,0,0,2019,5
Malcolm Brown,9902,HB,1,LA,1,1,3,3.0,0,53.1,56.7,61.9,,1,1.0,3,0,0,0,0,0,2019,5
Tyler Lockett,9502,WR,1,SEA,31,1,-8,-8.0,0,79.6,56.5,72.4,61.2,0,0.0,0,0,0,0,0,0,2019,5
Brandin Cooks,8655,WR,1,LA,15,1,27,27.0,0,68.1,70.0,64.6,59.7,0,0.0,27,1,0,0,0,0,2019,5
Ryquell Armstead,45810,HB,1,JAX,1,1,-1,-1.0,0,58.4,58.7,64.6,,1,1.0,0,0,0,0,0,0,2019,5
Marquise Goodwin,7859,WR,1,SF,22,1,15,15.0,0,72.0,62.8,67.4,85.0,1,1.0,15,1,0,0,0,0,2019,5
Cordarrelle Patterson,7810,WR,1,CHI,2,1,5,5.0,0,49.0,56.6,69.9,60.0,2,2.0,5,0,0,0,0,0,2019,5
Tavon Austin,7789,WR,1,DAL,6,1,14,14.0,0,54.5,53.1,19.4,41.2,5,5.0,14,0,0,1,1,0,2019,5
Steven Sims,48341,WR,1,WAS,9,1,65,65.0,1,67.9,72.9,67.4,57.6,55,55.0,65,1,3,0,0,0,2019,5
Mohamed Sanu,7084,WR,1,ATL,14,1,1,1.0,0,59.1,56.6,69.1,60.3,2,2.0,1,0,0,0,0,0,2019,5
Anthony Sherman,6288,FB,1,KC,3,1,2,2.0,0,66.7,62.3,61.9,60.0,1,1.0,2,1,0,0,0,0,2019,5
Bilal Powell,6278,HB,1,NYJ,1,1,4,4.0,0,54.6,56.7,61.9,,1,1.0,4,0,0,0,0,0,2019,5
Andre Roberts,5612,WR,1,BUF,9,1,7,7.0,0,67.4,63.1,70.4,60.2,2,2.0,7,0,0,0,0,0,2019,5
Chase Daniel,5214,QB,1,CHI,15,0,2,2.0,0,53.3,58.3,78.9,60.0,0,0.0,2,0,0,0,1,0,2019,5
Ted Ginn Jr.,3625,WR,1,NO,12,1,1,1.0,0,53.5,56.6,66.2,56.6,0,0.0,1,0,0,0,0,0,2019,5
Vyncint Smith,66957,WR,1,NYJ,4,1,19,19.0,1,63.2,63.1,61.9,54.5,0,0.0,19,1,0,0,0,0,2019,5
Scotty Miller,47481,WR,1,TB,6,1,18,18.0,0,50.4,63.1,61.9,61.0,14,14.0,18,1,1,0,0,0,2019,5
Philip Rivers,1725,QB,1,LAC,16,1,-3,-3.0,0,50.0,56.5,80.9,60.0,0,0.0,0,0,0,0,1,0,2019,5
Kyle Allen,26152,QB,1,CAR,26,0,4,4.0,0,40.0,58.3,20.5,60.0,4,4.0,4,0,0,1,0,0,2019,5
Dare Ogunbowale,12329,HB,1,TB,1,1,-4,-4.0,0,60.3,59.2,68.3,,0,0.0,0,0,0,0,0,0,2019,5
Diontae Spencer,91248,WR,1,DEN,2,1,9,9.0,0,70.2,63.1,73.2,60.0,2,2.0,9,0,0,0,0,0,2019,5
Will Dissly,30762,TE,1,SEA,35,1,7,7.0,0,85.9,,67.0,68.8,2,2.0,7,0,0,0,0,0,2019,5
