player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Kirk Cousins,7102,QB,1,MIN,60,55,40,72.7,296,5.4,1,1,44.6,48.1,44.8,21.6,4,1,1,0,2,83.6,1,17,2018,3
Ryan Fitzpatrick,2467,QB,1,TB,58,50,30,60.0,411,8.2,3,3,64.0,63.3,61.0,81.7,3,0,1,2,0,81.3,4,23,2018,3
Drew Brees,802,QB,1,NO,51,49,39,79.6,396,8.1,3,0,90.7,87.7,72.8,81.1,1,0,2,1,0,120.7,1,20,2018,3
Andy Dalton,6187,QB,1,CIN,48,46,29,63.0,352,7.7,2,4,90.4,88.5,,80.4,2,0,1,2,1,64.8,0,18,2018,3
Aaron Rodgers,2241,QB,1,GB,50,44,27,61.4,265,6.0,2,0,76.6,74.0,67.4,80.8,4,0,4,4,0,93.5,2,14,2018,3
Joe Flacco,4332,QB,1,BLT,42,40,25,62.5,277,6.9,1,0,89.5,87.4,64.0,30.1,2,2,2,2,1,91.4,0,13,2018,3
Deshaun Watson,11767,QB,1,HST,48,40,24,60.0,385,9.6,2,1,84.4,80.7,72.4,80.9,3,3,0,1,0,98.4,5,20,2018,3
Andrew Luck,7007,QB,1,IND,43,40,25,62.5,164,4.1,1,0,54.7,51.2,69.8,79.9,2,2,0,0,1,79.6,1,10,2018,3
Derek Carr,8671,QB,1,OAK,42,39,27,69.2,345,8.8,1,2,59.7,60.6,60.0,80.0,3,0,2,1,1,83.8,0,17,2018,3
Patrick Mahomes,11765,QB,1,KC,41,38,24,63.2,314,8.3,3,0,73.0,68.5,75.0,80.7,2,1,1,2,0,115.5,1,14,2018,3
Ben Roethlisberger,1732,QB,1,PIT,41,38,30,78.9,353,9.3,3,1,70.1,67.6,66.5,29.9,3,0,1,1,1,120.7,0,16,2018,3
Carson Wentz,10636,QB,1,PHI,44,37,25,67.6,255,6.9,1,1,69.1,70.5,58.0,45.4,5,1,3,0,0,84.9,2,13,2018,3
Jared Goff,10635,QB,1,LA,38,36,29,80.6,354,9.8,3,1,94.5,93.2,69.4,79.9,1,1,2,1,0,123.8,1,19,2018,3
