player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Ryan Mallett,6226,QB,1,BLT,58,56,30,53.6,292,5.2,1,2,45.3,46.0,58.3,81.5,1,0,3,2,2,59.5,1,18,2015,17
Kellen Moore,7466,QB,1,DAL,52,48,33,68.8,435,9.1,3,2,71.7,76.1,39.4,33.8,4,1,3,0,1,100.6,0,22,2015,17
Jameis Winston,9434,QB,1,TB,51,47,29,61.7,325,6.9,0,2,48.6,48.4,60.1,81.0,2,0,1,0,1,64.6,2,17,2015,17
Austin Davis,7305,QB,1,CLV,54,46,24,52.2,240,5.2,0,2,33.5,34.0,58.5,39.8,7,1,4,3,0,49.2,1,13,2015,17
Aaron Rodgers,2241,QB,1,GB,51,44,28,63.6,291,6.6,1,1,64.3,64.0,58.2,80.9,5,0,1,6,1,80.8,2,14,2015,17
Blaine Gabbert,6162,QB,1,SF,46,44,28,63.6,354,8.0,1,1,62.2,66.6,41.0,34.3,1,1,1,1,0,86.7,1,13,2015,17
Eli Manning,1722,QB,1,NYG,45,43,24,55.8,302,7.0,2,0,72.0,69.5,63.9,79.9,2,0,2,5,0,93.4,0,18,2015,17
Drew Brees,802,QB,1,NO,42,42,32,76.2,323,7.7,1,0,91.3,90.7,60.5,80.2,0,0,2,0,0,105.6,0,16,2015,17
Brian Hoyer,5277,QB,1,HST,42,40,25,62.5,249,6.2,1,1,65.8,64.9,,79.3,2,0,2,1,0,78.0,0,13,2015,17
Matthew Stafford,4924,QB,1,DET,46,39,28,71.8,298,7.6,3,0,72.9,72.8,58.9,80.4,4,0,1,3,0,119.4,3,19,2015,17
Ryan Tannehill,7014,QB,1,MIA,40,38,25,65.8,350,9.2,2,0,76.1,74.4,69.1,79.6,1,0,0,1,1,112.8,1,17,2015,17
Sam Bradford,5526,QB,1,PHI,39,38,30,78.9,320,8.4,2,1,86.9,85.1,60.0,79.5,1,1,1,0,0,108.3,0,16,2015,17
Case Keenum,7323,QB,1,SL,37,37,22,59.5,231,6.2,0,0,69.0,67.0,62.6,79.0,0,0,3,1,0,77.6,0,11,2015,17
