player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,64.5,4,4,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2019,7
Matt Bryant,1223,,1,ATL,54.7,1,1,100.0,0,0,,0,0,,0,0,,0,0,,1,2,50.0,2019,7
Mike Nugent,2264,,1,NE,65.3,4,4,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2019,7
Robbie Gould,2607,K,1,SF,48.3,0,0,,0,0,,3,3,100.0,0,0,,0,1,0.0,0,0,,2019,7
Matt Prater,3471,K,1,DET,67.1,3,3,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2019,7
Mason Crosby,3809,K,1,GB,65.9,6,6,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2019,7
Stephen Hauschka,4655,K,1,BUF,69.5,2,2,100.0,0,0,,0,0,,1,1,100.0,2,2,100.0,0,0,,2019,7
Dan Bailey,6796,K,1,MIN,54.2,6,6,100.0,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2019,7
Randy Bullock,7154,K,1,CIN,63.9,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2019,7
Greg Zuerlein,7163,K,1,LA,59.2,4,4,100.0,0,0,,2,2,100.0,0,0,,0,1,0.0,1,1,100.0,2019,7
Justin Tucker,7604,K,1,BLT,64.5,3,3,100.0,0,0,,3,3,100.0,0,0,,0,0,,0,0,,2019,7
Dustin Hopkins,7958,K,1,WAS,54.5,0,0,,0,0,,0,0,,0,1,0.0,0,0,,0,0,,2019,7
Brandon McManus,8437,K,1,DEN,55.2,0,0,,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2019,7
Brett Maher,8585,K,1,DAL,90.7,4,4,100.0,0,0,,2,2,100.0,0,0,,0,0,,1,1,100.0,2019,7
Cody Parkey,9030,,1,TEN,49.6,2,3,66.7,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2019,7
Josh Lambo,10133,K,1,JAX,64.1,1,1,100.0,0,0,,3,3,100.0,1,1,100.0,0,0,,0,0,,2019,7
Jason Myers,10207,K,1,SEA,53.5,1,1,100.0,0,0,,0,0,,3,3,100.0,0,0,,0,1,0.0,2019,7
Wil Lutz,11096,K,1,NO,44.9,4,4,100.0,0,0,,0,0,,2,2,100.0,0,1,0.0,0,1,0.0,2019,7
Ka'imi Fairbairn,11161,K,1,HST,67.4,2,2,100.0,0,0,,1,1,100.0,1,1,100.0,1,1,100.0,0,0,,2019,7
Aldrick Rosas,11331,K,1,NYG,47.5,3,3,100.0,0,0,,0,0,,0,1,0.0,0,0,,0,0,,2019,7
Jake Elliott,11908,K,1,PHI,62.7,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2019,7
Zane Gonzalez,11979,K,1,ARZ,68.1,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2019,7
Harrison Butker,11988,K,1,KC,65.5,3,3,100.0,0,0,,1,1,100.0,2,2,100.0,0,0,,0,0,,2019,7
Daniel Carlson,28121,K,1,OAK,66.8,3,3,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2019,7
Jason Sanders,29578,K,1,MIA,63.5,3,3,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2019,7
Chase McLaughlin,33285,K,1,LAC,68.5,2,2,100.0,0,0,,1,1,100.0,0,0,,0,0,,1,1,100.0,2019,7
Eddy Pineiro,44140,K,1,CHI,66.3,2,2,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2019,7
