player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,completion_percent,yards,ypa,touchdowns,interceptions,grades_offense,grades_pass,grades_run,grades_hands_fumble,sacks,bats,drops,thrown_aways,hit_as_threw,qb_rating,scrambles,first_downs,season,week
Joe Flacco,4332,QB,1,BLT,66,62,34,54.8,362,5.8,2,2,63.8,63.0,,54.7,4,0,5,3,1,69.4,0,18,2013,1
Brandon Weeden,7028,QB,1,CLV,59,53,26,49.1,289,5.5,1,3,70.1,69.0,,81.8,6,2,4,4,2,48.4,0,15,2013,1
Tom Brady,698,QB,1,NE,55,52,29,55.8,288,5.5,2,1,66.3,73.4,28.8,38.6,3,0,3,0,1,76.4,0,18,2013,1
Tony Romo,1693,QB,1,DAL,51,49,36,73.5,263,5.4,2,1,68.5,73.5,31.6,36.6,2,1,0,1,0,90.8,0,17,2013,1
Robert Griffin III,7008,QB,1,WAS,56,49,30,61.2,329,6.7,2,2,58.0,56.5,64.2,81.3,3,1,6,1,0,77.7,4,21,2013,1
Matt Schaub,1811,QB,1,HST,47,45,34,75.6,346,7.7,3,1,90.6,91.0,,80.1,2,1,3,1,0,110.0,0,19,2013,1
Matthew Stafford,4924,QB,1,DET,44,43,28,65.1,357,8.3,2,1,81.0,88.2,35.8,34.0,0,3,3,1,0,96.8,1,18,2013,1
Peyton Manning,327,QB,1,DEN,45,42,27,64.3,462,11.0,7,0,80.7,80.5,54.3,80.5,3,0,3,1,0,141.1,0,20,2013,1
Eli Manning,1722,QB,1,NYG,46,42,27,64.3,450,10.7,4,3,74.7,75.4,52.3,80.1,3,0,2,1,1,102.3,1,18,2013,1
Carson Palmer,1317,QB,1,ARZ,44,40,26,65.0,327,8.2,2,1,86.1,84.0,,79.5,4,3,1,0,0,96.6,0,19,2013,1
Colin Kaepernick,6188,QB,1,SF,45,39,27,69.2,412,10.6,3,0,73.2,80.5,44.5,80.4,2,0,2,0,0,129.4,4,18,2013,1
Geno Smith,7820,QB,1,NYJ,49,38,24,63.2,256,6.7,1,1,68.2,63.3,74.9,46.6,5,0,1,3,0,80.6,6,15,2013,1
Matt Ryan,4317,QB,1,ATL,42,38,25,65.8,304,8.0,2,1,79.9,77.1,63.9,79.5,3,0,2,3,0,96.8,1,16,2013,1
Sam Bradford,5526,QB,1,SL,39,38,27,71.1,299,7.9,2,1,67.0,75.0,29.3,27.0,0,1,2,0,0,100.7,1,15,2013,1
Ryan Tannehill,7014,QB,1,MIA,43,38,24,63.2,272,7.2,1,1,63.1,65.5,48.8,80.5,4,0,4,1,0,82.3,1,15,2013,1
Aaron Rodgers,2241,QB,1,GB,40,37,21,56.8,333,9.0,3,1,77.9,76.5,61.2,79.4,2,1,1,4,0,102.6,1,16,2013,1
Blaine Gabbert,6162,QB,1,JAX,45,35,16,45.7,121,3.5,0,2,48.2,53.1,46.9,79.9,6,1,3,2,0,30.8,4,7,2013,1
Drew Brees,802,QB,1,NO,38,35,26,74.3,357,10.2,2,1,67.0,69.1,48.7,79.5,2,0,0,0,0,113.6,1,17,2013,1
Alex Smith,2218,QB,1,KC,38,34,21,61.8,173,5.1,2,0,73.8,74.6,62.6,78.7,1,0,5,0,0,94.4,3,11,2013,1
Ben Roethlisberger,1732,QB,1,PIT,38,33,21,63.6,191,5.8,1,1,76.1,75.4,60.0,78.7,5,1,1,0,0,76.7,0,13,2013,1
Andy Dalton,6187,QB,1,CIN,34,33,26,78.8,282,8.5,2,2,80.1,81.9,50.2,78.9,1,0,3,0,0,97.2,0,12,2013,1
Jay Cutler,2956,QB,1,CHI,34,33,21,63.6,242,7.3,2,1,90.0,90.0,59.9,78.7,0,2,3,0,1,93.2,1,12,2013,1
Russell Wilson,7077,QB,1,SEA,37,33,25,75.8,320,9.7,1,0,77.6,82.8,44.3,79.7,2,0,2,1,0,115.7,2,13,2013,1
Josh Freeman,4940,QB,1,TB,34,31,15,48.4,210,6.8,1,1,55.4,56.9,60.0,78.7,3,0,3,0,0,67.9,0,9,2013,1
Philip Rivers,1725,QB,1,SD,32,29,14,48.3,195,6.7,4,1,77.3,75.4,65.9,78.1,2,2,3,0,0,95.5,1,13,2013,1
Terrelle Pryor Sr.,6944,QB,1,OAK,37,29,19,65.5,217,7.5,1,2,68.0,60.9,76.8,79.8,1,0,1,0,0,70.6,7,12,2013,1
Christian Ponder,6164,QB,1,MIN,33,28,18,64.3,236,8.4,1,3,47.0,48.1,54.4,78.3,3,0,2,1,0,63.1,2,12,2013,1
E.J. Manuel,7797,QB,1,BUF,30,27,18,66.7,150,5.6,2,0,74.9,74.8,58.6,77.7,0,0,3,0,0,105.5,3,7,2013,1
Michael Vick,773,QB,1,PHI,31,25,15,60.0,203,8.1,2,0,50.1,47.8,56.4,79.3,3,0,1,0,0,112.6,3,12,2013,1
Andrew Luck,7007,QB,1,IND,31,23,18,78.3,178,7.7,2,0,81.7,75.2,77.7,78.4,4,0,1,0,1,127.9,4,11,2013,1
Cam Newton,6153,QB,1,CAR,26,23,16,69.6,125,5.4,1,0,74.7,75.7,58.9,77.8,1,0,2,2,1,97.2,2,8,2013,1
Jake Locker,6160,QB,1,TEN,22,20,11,55.0,125,6.3,0,0,70.2,77.1,43.0,77.5,1,0,1,1,2,74.0,1,6,2013,1
Chad Henne,4371,QB,1,JAX,6,6,3,50.0,36,6.0,0,0,51.1,51.6,,68.9,0,1,0,1,1,68.8,0,2,2013,1
Jeremy Kerley,6305,WR,1,NYJ,1,1,0,0.0,0,0.0,0,0,58.9,45.7,59.5,71.2,0,0,0,0,0,39.6,0,0,2013,1
