player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Dwight Freeney,1019,ED,1,ATL,32,31,1,0,72.7,60.0,69.2,69.3,,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
James Harrison,1251,ED,1,PIT,43,26,11,6,73.4,61.1,72.8,71.2,65.4,4.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
Terence Newman,1321,CB,1,MIN,56,0,17,39,72.3,74.3,50.1,,70.2,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,7.0,4.0,36.0,9.0,10.0,10.0,0.0,0.0,1.0,71.1,0,0,2016,4
Terrell Suggs,1326,ED,1,BLT,46,30,15,1,46.5,72.3,74.2,50.0,47.3,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,79.2,0,0,2016,4
Robert Mathis,1447,ED,1,IND,51,35,15,1,45.5,39.1,72.4,55.4,60.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
Cullen Jenkins,1637,DI,1,WAS,19,7,12,0,36.5,34.8,,64.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
Vince Wilfork,1742,DI,1,HST,48,21,27,0,73.7,67.8,70.6,69.6,,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
Karlos Dansby,1754,LB,1,CIN,22,0,7,15,57.9,64.0,75.3,,55.1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,9.0,5.0,9.0,0.0,0.0,0.0,104.2,0,0,2016,4
Daryl Smith,1760,LB,1,TB,40,11,23,6,58.7,59.5,72.8,52.0,64.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
Antonio Smith,1856,DI,1,HST,9,8,1,0,53.8,60.0,,52.3,,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
Mike Adams,1972,S,1,IND,72,4,25,43,71.7,69.7,82.8,64.3,67.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,2.0,13.0,6.5,13.0,12.0,0.0,0.0,0.0,75.7,0,0,2016,4
Adam Jones,2223,CB,1,CIN,45,0,14,31,72.5,62.8,76.9,,72.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0,0,2016,4
Thomas Davis Sr.,2231,LB,1,CAR,47,13,14,20,59.1,68.9,75.7,65.4,47.5,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,47.0,15.7,16.0,42.0,2.0,0.0,0.0,158.3,0,0,2016,4
Derrick Johnson,2232,LB,1,KC,58,1,26,31,55.8,33.9,62.7,58.5,73.6,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,3.0,2.0,10.0,5.0,2.0,8.0,0.0,0.0,0.0,71.5,0,0,2016,4
