player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Adam Vinatieri,226,K,1,IND,0,0,0,0,0,5,60.0,,,,,64.8,0,0,0,0,0,2019,5
Matt Bryant,1223,,1,ATL,0,0,0,0,0,4,60.0,,,,,64.6,0,0,0,0,0,2019,5
Jason Witten,1384,TE,1,DAL,0,0,0,0,0,6,60.7,,,,,,0,0,0,0,0,2019,5
Andy Lee,1906,P,1,ARZ,0,0,0,0,0,7,60.7,,,,,,0,0,0,0,0,2019,5
Mike Adams,1972,,1,HST,2,0,2,0,1,0,77.7,,,,,,0,0,0,0,0,2019,5
Mike Nugent,2264,,1,NE,0,0,0,0,0,6,60.0,,,,,42.8,0,0,0,0,0,2019,5
Richie Incognito,2298,G,1,OAK,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2019,5
Dustin Colquitt,2316,P,1,KC,0,0,0,4,0,3,60.3,,,59.6,,,0,0,0,0,0,2019,5
Darren Sproles,2347,HB,1,PHI,0,0,5,0,0,0,60.1,,,,62.3,,0,0,0,0,0,2019,5
Lorenzo Alexander,2476,ED,1,BUF,0,2,5,6,5,0,60.8,,,,,,0,0,0,0,0,2019,5
Robbie Gould,2607,K,1,SF,0,0,0,0,0,9,60.0,,,,,47.5,0,0,0,0,0,2019,5
L.P. Ladouceur,2687,LS,1,DAL,0,0,0,3,0,6,64.5,,,,,,0,0,0,0,0,2019,5
Marcedes Lewis,2973,TE,1,GB,1,0,0,0,0,6,60.4,,,,,,0,0,0,0,0,2019,5
Andrew Whitworth,3000,T,1,LA,0,0,0,0,0,6,60.9,,,,,,0,0,0,0,0,2019,5
Sam Koch,3148,P,1,BLT,0,0,0,3,0,6,60.7,,,60.3,,,0,0,0,0,0,2019,5
Tramon Williams,3558,CB,1,GB,0,0,2,0,6,0,61.0,,,,,,0,0,0,0,0,2019,5
Ted Ginn Jr.,3625,WR,1,NO,1,0,0,0,0,0,60.0,,60.0,,,,0,0,0,0,0,2019,5
Zak DeOssie,3732,LS,1,NYG,0,0,0,3,0,3,29.1,,,,,,0,0,0,0,0,2019,5
Mason Crosby,3809,K,1,GB,0,7,0,0,0,6,60.0,61.4,,,,65.5,0,0,0,0,0,2019,5
Clark Harris,3859,LS,1,CIN,0,0,0,3,0,5,64.2,,,,,,0,0,0,0,0,2019,5
Calais Campbell,4364,DI,1,JAX,0,0,0,0,7,5,92.3,,,,,,0,0,0,0,0,2019,5
Matthew Slater,4467,WR,1,NE,2,7,10,6,0,0,64.6,,,,,,0,0,0,0,0,2019,5
Brett Kern,4580,P,1,TEN,0,0,0,6,0,5,60.8,,,83.0,,,0,0,0,0,0,2019,5
Wesley Woodyard,4583,LB,1,TEN,3,2,6,6,0,0,61.9,,,,,,0,0,0,0,0,2019,5
Stephen Hauschka,4655,K,1,BUF,0,3,0,0,0,2,60.0,60.0,,,,62.3,0,0,0,0,0,2019,5
J.J. Jansen,4712,LS,1,CAR,0,0,0,5,0,7,65.3,,,,,,0,0,0,0,0,2019,5
Malcolm Jenkins,4937,S,1,PHI,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2019,5
Kevin Huber,5066,P,1,CIN,0,0,0,3,0,5,60.5,,,50.6,,,0,0,0,0,0,2019,5
Thomas Morstead,5088,P,1,NO,0,0,0,3,0,5,60.6,,,60.3,,,1,0,0,0,0,2019,5
Jason McCourty,5127,CB,1,NE,0,0,2,0,1,0,60.5,,,,,,0,0,0,0,0,2019,5
Britton Colquitt,5192,P,1,MIN,0,0,0,1,0,6,60.6,,,60.0,,,0,0,0,0,0,2019,5
Ramon Foster,5229,G,1,PIT,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2019,5
Steve McLendon,5232,DI,1,NYJ,0,0,1,0,5,1,61.2,,,,,,0,0,0,0,0,2019,5
Garrison Sanborn,5430,,1,SF,0,0,0,4,0,9,36.5,,,,,,0,0,0,0,0,2019,5
Nick Sundberg,5512,LS,1,WAS,0,0,0,10,0,1,64.9,,,,,,0,0,0,0,0,2019,5
Ndamukong Suh,5527,DI,1,TB,0,0,2,0,0,0,60.0,,,,,,0,0,0,0,0,2019,5
Gerald McCoy,5528,DI,1,CAR,0,0,0,0,5,0,59.7,,,,,,0,0,0,0,0,2019,5
Joe Haden,5532,CB,1,PIT,0,0,0,0,6,0,60.7,,,,,,0,0,0,0,0,2019,5
Tyson Alualu,5535,DI,1,PIT,0,0,0,0,1,1,60.0,,,,,,0,0,0,0,0,2019,5
Brandon Graham,5538,ED,1,PHI,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2019,5
Mike Iupati,5542,G,1,SEA,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2019,5
Bryan Bulaga,5548,T,1,GB,0,0,0,0,0,6,60.7,,,,,,0,0,0,0,0,2019,5
Devin McCourty,5552,S,1,NE,0,7,0,0,1,0,60.2,,,,,,0,0,0,0,0,2019,5
Patrick Robinson,5557,S,1,NO,4,6,6,0,4,0,57.7,,,,,,0,0,1,0,0,2019,5
Rodger Saffold,5558,G,1,TEN,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2019,5
Linval Joseph,5571,DI,1,MIN,0,0,0,0,3,0,29.4,,,,,,1,0,0,0,0,2019,5
Carlos Dunlap,5579,ED,1,CIN,0,0,1,0,7,0,60.1,,,,,,0,0,0,0,0,2019,5
Sean Lee,5580,LB,1,DAL,0,0,0,0,6,0,60.1,,,,,,0,0,0,0,0,2019,5
Golden Tate,5585,WR,1,NYG,0,0,1,0,0,0,60.0,,,,60.3,,0,0,0,0,0,2019,5
Morgan Burnett,5596,S,1,CLV,0,0,0,0,2,0,60.0,,,,,,0,0,0,0,0,2019,5
John Jerry,5598,T,1,CIN,0,0,0,0,0,5,60.8,,,,,,0,0,0,0,0,2019,5
Corey Peters,5607,DI,1,ARZ,0,0,0,0,5,7,60.7,,,,,,0,0,0,0,0,2019,5
Andre Roberts,5612,WR,1,BUF,2,0,6,0,0,0,60.2,,59.5,,61.4,,0,0,0,0,0,2019,5
Jimmy Graham,5619,TE,1,GB,1,0,0,0,0,0,60.0,,,,,,0,0,0,0,0,2019,5
Everson Griffen,5624,ED,1,MIN,0,0,0,0,3,0,60.2,,,,,,0,0,0,0,0,2019,5
Al Woods,5646,DI,1,SEA,0,0,0,0,6,0,58.7,,,,,,0,0,0,0,0,2019,5
Sherrick McManis,5667,CB,1,CHI,5,4,5,5,4,0,83.8,,,,,,0,0,0,0,0,2019,5
Marshall Newhouse,5692,T,1,NE,0,0,0,0,0,1,60.0,,,,,,0,0,0,0,0,2019,5
Kurt Coleman,5767,S,1,BUF,2,3,5,6,1,0,60.4,,,,,,0,0,0,0,0,2019,5
Jon Weeks,5800,LS,1,HST,0,0,0,1,0,9,64.9,,,,,,0,0,0,0,0,2019,5
Anthony Levine,6013,S,1,BLT,6,6,4,3,5,0,64.1,,,,,,0,0,0,0,0,2019,5
Marcus Sherels,6017,CB,1,MIN,1,7,3,0,0,0,60.5,,59.9,,60.7,,0,0,0,0,0,2019,5
Morgan Cox,6020,LS,1,BLT,0,0,0,3,0,6,47.1,,,,,,0,0,0,0,0,2019,5
Albert McClellan,6022,LB,1,NYJ,6,2,5,8,0,0,59.0,,,,,,0,0,0,0,1,2019,5
Andrew Sendejo,6118,S,1,PHI,2,6,0,5,1,0,45.6,,,,,,0,0,0,0,1,2019,5
J.J. Watt,6163,ED,1,HST,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2019,5
Robert Quinn,6166,ED,1,DAL,0,0,0,0,3,0,59.2,,,,,,0,0,0,0,0,2019,5
Nate Solder,6169,T,1,NYG,0,0,0,0,0,3,60.2,,,,,,0,0,0,0,0,2019,5
Anthony Castonzo,6174,T,1,IND,0,0,0,0,0,4,60.3,,,,,,0,0,0,0,0,2019,5
Cameron Jordan,6176,ED,1,NO,0,0,0,0,4,0,59.7,,,,,,0,0,0,0,0,2019,5
James Carpenter,6177,G,1,ATL,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2019,5
Cameron Heyward,6183,DI,1,PIT,0,0,0,0,6,5,60.0,,,,,,0,0,0,0,0,2019,5
Jabaal Sheard,6189,ED,1,IND,0,0,0,0,3,0,59.9,,,,,,0,0,0,0,0,2019,5
Brooks Reed,6194,ED,1,ARZ,3,5,3,3,5,0,51.3,,,,,,0,0,0,0,0,2019,5
Kyle Rudolph,6195,TE,1,MIN,0,0,0,0,0,6,60.7,,,,,,0,0,0,0,0,2019,5
Lance Kendricks,6199,TE,1,LAC,2,0,0,0,0,0,59.9,,,,,,0,0,0,0,0,2019,5
Jurrell Casey,6229,DI,1,TEN,0,0,0,0,2,0,59.5,,,,,,0,0,0,0,0,2019,5
Allen Bailey,6238,DI,1,ATL,0,0,0,0,9,0,58.5,,,,,,0,0,0,0,0,2019,5
K.J. Wright,6251,LB,1,SEA,0,0,0,0,6,0,59.9,,,,,,0,0,0,0,0,2019,5
Luke Stocker,6256,TE,1,ATL,10,0,0,5,0,4,63.9,,,,,,0,0,0,0,0,2019,5
Taiwan Jones,6277,HB,1,HST,5,10,5,1,0,0,52.6,,,,,,1,0,1,0,0,2019,5
Anthony Sherman,6288,FB,1,KC,6,4,0,4,0,3,64.3,,,,,,0,0,1,0,0,2019,5
Buster Skrine,6289,CB,1,CHI,0,0,4,0,0,0,88.7,,,,,,0,0,0,0,0,2019,5
Marcus Cannon,6290,T,1,NE,0,0,0,0,0,6,60.9,,,,,,0,0,0,0,0,2019,5
Lee Smith,6311,TE,1,BUF,0,0,0,0,0,2,60.0,,,,,,0,0,0,0,0,2019,5
Colin Jones,6342,S,1,CAR,6,6,5,5,5,0,65.9,,,,,,0,0,0,0,0,2019,5
Virgil Green,6356,TE,1,LAC,0,0,0,0,0,4,60.2,,,,,,0,0,0,0,0,2019,5
Lawrence Guy,6385,DI,1,NE,0,0,2,0,1,6,60.8,,,,,,0,0,0,0,0,2019,5
Mike Person,6391,G,1,SF,0,0,0,0,0,9,61.2,,,,,,0,0,0,0,0,2019,5
Patrick Scales,6508,LS,1,CHI,0,0,0,5,0,3,64.2,,,,,,0,0,0,0,0,2019,5
Nick Bellore,6515,FB,1,SEA,7,6,3,4,0,0,59.8,,,,,,0,0,0,0,1,2019,5
Mario Addison,6558,ED,1,CAR,0,0,1,0,0,0,60.0,,,,,,0,0,0,0,0,2019,5
Jake McQuaide,6586,LS,1,LA,0,0,0,3,0,6,30.4,,,,,,0,0,0,0,0,2019,5
Dan Bailey,6796,K,1,MIN,0,7,0,0,0,6,60.0,61.4,,,,70.6,0,0,0,0,1,2019,5
Chris Jones,6798,P,1,DAL,0,0,0,3,0,6,60.8,,,58.7,,,0,0,0,0,0,2019,5
Patrick DiMarco,6997,FB,1,BUF,2,0,0,6,0,0,58.8,,,,,,0,0,0,0,0,2019,5
Craig Robertson,7003,ED,1,NO,5,6,6,3,4,0,42.9,,,,,,0,0,0,0,1,2019,5
Morris Claiborne,7012,CB,1,KC,0,3,1,0,0,0,60.1,,,,,,0,0,0,0,0,2019,5
Luke Kuechly,7015,LB,1,CAR,0,0,1,0,5,0,60.7,,,,,,0,0,0,0,0,2019,5
Dontari Poe,7017,DI,1,CAR,0,0,0,0,5,1,59.2,,,,,,0,0,0,0,0,2019,5
Michael Brockers,7020,DI,1,LA,0,0,0,0,5,0,59.3,,,,,,0,0,0,0,0,2019,5
Bruce Irvin,7021,ED,1,CAR,0,0,0,0,2,0,60.0,,,,,,0,0,0,0,0,2019,5
Riley Reiff,7029,T,1,MIN,0,0,0,0,0,6,60.9,,,,,,0,0,0,0,0,2019,5
Dont'a Hightower,7030,LB,1,NE,0,0,2,0,0,0,60.1,,,,,,0,0,0,0,0,2019,5
Kevin Zeitler,7032,G,1,NYG,0,0,0,0,0,3,60.6,,,,,,0,0,0,0,0,2019,5
Mitchell Schwartz,7041,T,1,KC,0,0,0,0,0,3,60.4,,,,,,0,0,0,0,0,2019,5
Mychal Kendricks,7049,LB,1,SEA,0,0,0,0,6,0,60.4,,,,,,0,0,0,0,0,2019,5
Bobby Wagner,7050,LB,1,SEA,0,0,0,0,6,0,60.2,,,,,,0,0,0,0,0,2019,5
Zach Brown,7055,LB,1,PHI,2,0,0,0,0,0,60.0,,,,,,0,0,0,0,0,2019,5
Lavonte David,7060,LB,1,TB,0,0,2,0,0,0,60.0,,,,,,0,0,0,0,0,2019,5
Vinny Curry,7061,ED,1,PHI,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2019,5
