player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent,season,week
Adam Vinatieri,226,K,1,IND,63.4,3,3,100.0,0,0,,0,0,,1,1,100.0,1,2,50.0,0,0,,2018,12
Phil Dawson,422,K,1,ARZ,47.9,1,1,100.0,0,0,,0,0,,1,1,100.0,0,1,0.0,0,0,,2018,12
Sebastian Janikowski,595,K,1,SEA,73.2,3,3,100.0,0,0,,0,0,,3,3,100.0,0,0,,0,0,,2018,12
Matt Bryant,1223,K,1,ATL,63.5,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2018,12
Robbie Gould,2607,K,1,SF,43.8,0,1,0.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2018,12
Stephen Gostkowski,3063,K,1,NE,65.3,3,3,100.0,0,0,,0,0,,2,2,100.0,0,0,,0,0,,2018,12
Matt Prater,3471,K,1,DET,61.5,1,1,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2018,12
Mason Crosby,3809,K,1,GB,63.9,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2018,12
Stephen Hauschka,4655,K,1,BUF,63.8,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2018,12
Ryan Succop,5180,K,1,TEN,63.4,2,2,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2018,12
Graham Gano,5443,K,1,CAR,46.3,3,3,100.0,0,0,,2,2,100.0,0,0,,0,0,,0,1,0.0,2018,12
Dan Bailey,6796,K,1,MIN,39.7,3,3,100.0,0,0,,0,0,,1,1,100.0,0,1,0.0,0,1,0.0,2018,12
Randy Bullock,7154,K,1,CIN,29.2,2,3,66.7,0,0,,0,0,,0,0,,0,0,,0,1,0.0,2018,12
Justin Tucker,7604,K,1,BLT,68.2,4,4,100.0,0,0,,1,1,100.0,0,0,,1,1,100.0,0,0,,2018,12
Dustin Hopkins,7958,K,1,WAS,47.1,2,3,66.7,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2018,12
Brandon McManus,8437,K,1,DEN,65.7,3,3,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2018,12
Brett Maher,8585,K,1,DAL,64.9,4,4,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2018,12
Cairo Santos,8932,K,1,TB,66.8,3,3,100.0,0,0,,0,0,,1,1,100.0,1,1,100.0,0,0,,2018,12
Chris Boswell,8990,K,1,PIT,64.9,2,2,100.0,0,0,,0,0,,0,0,,1,2,50.0,0,0,,2018,12
Cody Parkey,9030,K,1,CHI,64.6,2,2,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2018,12
Josh Lambo,10133,K,1,JAX,48.8,3,3,100.0,0,0,,0,0,,0,0,,0,1,0.0,0,0,,2018,12
Jason Myers,10207,K,1,NYJ,71.9,1,1,100.0,0,0,,0,0,,1,1,100.0,0,0,,1,1,100.0,2018,12
Wil Lutz,11096,K,1,NO,64.6,4,4,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2018,12
Ka'imi Fairbairn,11161,K,1,HST,62.5,4,4,100.0,0,0,,0,0,,0,0,,2,2,100.0,0,0,,2018,12
Aldrick Rosas,11331,K,1,NYG,76.7,1,1,100.0,0,0,,2,2,100.0,0,0,,0,0,,1,1,100.0,2018,12
Jake Elliott,11908,K,1,PHI,75.8,0,0,,0,0,,1,1,100.0,0,0,,2,2,100.0,0,0,,2018,12
Greg Joseph,22842,K,1,CLV,65.3,5,5,100.0,0,0,,0,0,,0,0,,0,0,,0,0,,2018,12
Daniel Carlson,28121,K,1,OAK,65.1,2,2,100.0,0,0,,0,0,,0,0,,1,1,100.0,0,0,,2018,12
Jason Sanders,29578,K,1,MIA,64.2,3,3,100.0,0,0,,1,1,100.0,0,0,,0,0,,0,0,,2018,12
Michael Badgley,39417,K,1,LAC,66.4,6,6,100.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,2018,12
