season,week,team_name,assists,declined_penalties,grades_fgep_kicker,grades_kick_return,grades_kickoff_kicker,snap_counts_field_goal_blocking,grades_misc_st,grades_punt_return,grades_punter,missed_tackles,penalties,tackles,all_penalties,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,1,WAS,0.0,0.0,45.7,54.6,60.0,5.0,57.96470588235295,60.95,61.4,0.0,2.0,2.0,2.0,WAS,PHI,53.5,,80.0,9.0,-4.5,1,10.0
2013,2,ARZ,1.0,0.0,68.3,58.3,61.9,6.0,59.95142857142858,61.7,69.4,2.0,1.0,4.0,1.0,ARI,DET,48.5,DOME,72.0,0.0,2.0,0,12.0
2013,2,ATL,1.0,0.0,62.5,59.25,60.0,4.0,60.15384615384617,61.4,73.3,2.0,2.0,5.0,2.0,ATL,LAR,47.5,DOME,72.0,0.0,-5.5,1,8.0
2013,2,BLT,2.0,0.0,34.8,58.8,60.0,2.0,60.08181818181819,69.7,72.1,1.0,1.0,4.0,1.0,BAL,CLE,44.0,,78.0,6.0,-7.0,1,4.0
2013,2,BUF,0.0,0.0,59.1,57.4,60.0,5.0,57.58378378378379,60.8,61.4,2.0,2.0,4.0,2.0,BUF,CAR,43.5,,66.0,10.0,3.5,0,10.0
2013,2,CAR,0.0,0.0,63.1,61.65,60.0,5.0,60.33513513513513,61.8,71.4,0.0,0.0,1.0,0.0,CAR,BUF,43.5,,66.0,10.0,-3.5,1,10.0
2013,2,CHI,2.0,0.0,61.4,89.3,60.0,6.0,61.93611111111112,60.7,58.0,2.0,1.0,3.0,1.0,CHI,MIN,42.0,Rain,62.0,6.0,-6.5,1,12.0
2013,2,CIN,0.0,0.0,63.6,59.0,60.0,2.0,55.95625,62.0,60.4,3.0,3.0,4.0,3.0,CIN,PIT,41.0,,62.0,5.0,-6.5,1,4.0
2013,2,CLV,1.0,0.0,66.1,59.2,60.0,4.0,57.91081081081082,62.7,54.6,4.0,1.0,3.0,1.0,CLE,BAL,44.0,,78.0,6.0,7.0,0,8.0
2013,2,DAL,0.0,0.0,72.5,63.0,60.0,4.0,62.082857142857144,62.4,58.8,0.0,0.0,5.0,0.0,DAL,KC,46.0,,79.0,6.0,3.0,0,8.0
2013,2,DEN,4.0,0.0,66.7,58.0,60.4,5.0,61.567567567567565,86.7,63.9,0.0,1.0,7.0,1.0,DEN,NYG,55.5,,70.0,3.0,-4.0,1,10.0
2013,2,DET,0.0,0.0,29.5,61.7,60.0,5.0,60.14242424242425,55.2,85.8,0.0,2.0,2.0,2.0,DET,ARI,48.5,DOME,72.0,0.0,-2.0,1,10.0
2013,2,GB,2.0,0.0,62.0,59.45,59.9,3.0,62.191176470588246,60.3,60.7,0.0,1.0,5.0,1.0,GB,WAS,50.0,,62.0,4.0,-8.0,1,6.0
2013,2,HST,1.0,0.0,27.7,65.8,60.0,5.0,62.15000000000001,62.7,81.7,1.0,1.0,4.0,1.0,HOU,TEN,43.0,DOME (Open Roof),91.0,9.0,-9.0,1,10.0
2013,2,IND,1.0,0.0,51.9,59.3,60.0,4.0,58.59393939393939,61.0,73.9,1.0,2.0,2.0,2.0,IND,MIA,44.0,DOME,72.0,0.0,-3.0,1,8.0
2013,2,JAX,0.0,0.0,60.3,62.0,60.0,6.0,59.04374999999999,54.0,55.9,1.0,2.0,5.0,2.0,JAX,OAK,40.0,,76.0,9.0,5.0,0,12.0
2013,2,KC,1.0,0.0,50.1,57.2,60.0,4.0,58.709090909090904,61.6,70.7,1.0,1.0,2.0,1.0,KC,DAL,46.0,,79.0,6.0,-3.0,1,8.0
2013,2,MIA,0.0,0.0,66.8,66.4,60.0,5.0,61.81470588235293,60.5,64.2,0.0,0.0,3.0,0.0,MIA,IND,44.0,DOME,72.0,0.0,3.0,0,10.0
2013,2,MIN,0.0,0.0,62.5,79.7,60.4,5.0,54.669444444444466,60.3,61.3,1.0,1.0,6.0,1.0,MIN,CHI,42.0,Rain,62.0,6.0,6.5,0,10.0
2013,2,NE,0.0,0.0,47.2,59.0,60.0,3.0,61.15142857142857,53.4,58.6,1.0,0.0,2.0,0.0,NE,NYJ,43.5,Rain | Fog,72.0,8.0,-11.5,1,6.0
2013,2,NO,1.0,0.0,53.5,59.0,60.0,3.0,59.53030303030301,61.1,66.0,0.0,1.0,2.0,1.0,NO,TB,48.5,,93.0,8.0,-4.0,1,6.0
2013,2,NYG,2.0,0.0,64.5,58.7,60.0,7.0,58.43823529411765,56.9,55.7,1.0,1.0,5.0,1.0,NYG,DEN,55.5,,70.0,3.0,4.0,0,14.0
2013,2,NYJ,1.0,1.0,62.5,58.3,60.0,4.0,57.768571428571434,54.8,60.1,4.0,2.0,6.0,3.0,NYJ,NE,43.5,Rain | Fog,72.0,8.0,11.5,0,8.0
2013,2,OAK,1.0,0.0,51.8,59.0,60.0,1.0,59.4923076923077,36.5,60.9,1.0,1.0,4.0,1.0,OAK,JAX,40.0,,76.0,9.0,-5.0,1,2.0
2013,2,PHI,4.0,0.0,55.0,68.1,60.4,7.0,59.62941176470587,60.0,57.2,3.0,1.0,6.0,1.0,PHI,LAC,54.0,,72.0,7.0,-7.5,1,14.0
2013,2,PIT,3.0,1.0,63.6,62.3,60.0,4.0,59.38333333333334,55.4,63.1,6.0,1.0,6.0,2.0,PIT,CIN,41.0,,62.0,5.0,6.5,0,8.0
2013,2,SD,2.0,0.0,85.5,46.7,57.2,8.0,60.85588235294117,61.1,60.0,1.0,2.0,7.0,2.0,LAC,PHI,54.0,,72.0,7.0,7.5,0,16.0
2013,2,SEA,1.0,0.0,63.0,61.95,60.0,1.0,60.04848484848485,62.6,62.5,2.0,0.0,3.0,0.0,SEA,SF,44.5,Rain,64.0,6.0,-2.5,1,2.0
2013,2,SF,0.0,0.0,60.1,52.5,60.0,5.0,57.771428571428565,69.3,57.9,2.0,2.0,3.0,2.0,SF,SEA,44.5,Rain,64.0,6.0,2.5,0,10.0
2013,2,SL,1.0,0.0,61.7,57.7,60.0,5.0,58.93157894736842,62.1,67.5,0.0,4.0,3.0,4.0,LAR,ATL,47.5,DOME,72.0,0.0,5.5,0,10.0
2013,2,TB,1.0,0.0,46.7,62.5,60.0,6.0,59.63783783783785,61.2,55.2,0.0,1.0,1.0,1.0,TB,NO,48.5,,93.0,8.0,4.0,0,12.0
2013,2,TEN,0.0,0.0,52.5,58.8,60.0,6.0,59.291891891891886,62.7,65.7,2.0,1.0,9.0,1.0,TEN,HOU,43.0,DOME (Open Roof),91.0,9.0,9.0,0,12.0
2013,2,WAS,0.0,1.0,39.1,58.0,60.0,6.0,58.87878787878788,61.1,59.5,0.0,4.0,3.0,5.0,WAS,GB,50.0,,62.0,4.0,8.0,0,12.0
2013,3,ARZ,0.0,0.0,60.1,66.2,60.0,5.0,56.65833333333333,37.2,62.1,4.0,0.0,3.0,0.0,ARI,NO,49.5,DOME,72.0,0.0,7.5,0,10.0
2013,3,ATL,0.0,0.0,52.7,58.4,60.0,5.0,57.379411764705885,38.7,59.4,1.0,3.0,2.0,3.0,ATL,MIA,46.0,,89.0,8.0,2.5,0,10.0
2013,3,BLT,0.0,0.0,67.1,61.75,61.4,3.0,59.38484848484848,87.1,61.3,1.0,4.0,4.0,4.0,BAL,HOU,44.5,,73.0,9.0,1.0,0,6.0
2013,3,BUF,0.0,0.0,65.4,58.1,60.0,5.0,59.69166666666667,61.5,71.6,1.0,0.0,6.0,0.0,BUF,NYJ,41.0,,67.0,9.0,2.5,0,10.0
2013,3,CAR,0.0,0.0,66.4,60.0,61.9,1.0,60.328571428571436,61.8,61.3,0.0,0.0,2.0,0.0,CAR,NYG,47.0,,77.0,15.0,3.0,0,2.0
2013,3,CHI,1.0,0.0,65.4,58.0,60.4,5.0,57.82058823529411,60.3,49.2,3.0,2.0,4.0,2.0,CHI,PIT,41.0,,56.0,5.0,-2.5,1,10.0
2013,3,CIN,0.0,0.0,51.1,46.3,60.0,6.0,59.096774193548384,60.3,68.5,0.0,1.0,1.0,1.0,CIN,GB,50.5,,67.0,7.0,3.0,0,12.0
2013,3,CLV,3.0,0.0,61.2,57.7,60.0,5.0,59.589743589743605,47.0,60.9,2.0,1.0,5.0,1.0,CLE,MIN,40.5,DOME,72.0,0.0,7.0,0,10.0
2013,3,DAL,0.0,0.0,47.2,59.6,60.0,1.0,58.582857142857144,47.0,59.7,3.0,2.0,3.0,2.0,DAL,LAR,47.0,DOME,72.0,0.0,-3.5,1,2.0
2013,3,DEN,0.0,0.0,69.4,58.3,63.6,3.0,60.815384615384616,62.4,60.0,0.0,1.0,2.0,1.0,DEN,OAK,50.0,,64.0,16.0,-16.5,1,6.0
2013,3,DET,1.0,0.0,62.0,58.1,57.9,4.0,58.64102564102565,62.0,63.4,1.0,2.0,6.0,2.0,DET,WAS,49.5,,72.0,8.0,-1.0,1,8.0
2013,3,GB,1.0,0.0,63.7,42.1,60.0,6.0,59.72571428571429,60.05,60.1,1.0,1.0,4.0,1.0,GB,CIN,50.5,,67.0,7.0,-3.0,1,12.0
2013,3,HST,0.0,0.0,65.9,59.0,60.0,6.0,57.90810810810812,61.2,69.4,2.0,0.0,3.0,0.0,HOU,BAL,44.5,,73.0,9.0,-1.0,1,12.0
2013,3,IND,0.0,0.0,55.1,59.6,60.0,1.0,61.541935483870965,62.1,67.9,1.0,0.0,4.0,0.0,IND,SF,47.0,,66.0,5.0,10.0,0,2.0
2013,3,JAX,1.0,0.0,61.8,57.4,60.0,7.0,57.33939393939393,61.2,61.1,4.0,2.0,6.0,2.0,JAX,SEA,39.5,,61.0,17.0,20.0,0,14.0
2013,3,KC,0.0,0.0,54.7,68.75,60.9,3.0,60.89333333333333,61.9,60.9,2.0,0.0,5.0,0.0,KC,PHI,51.0,,73.0,5.0,3.5,0,6.0
2013,3,MIA,2.0,0.0,69.4,58.8,60.0,6.0,59.527272727272724,60.1,60.3,3.0,0.0,3.0,0.0,MIA,ATL,46.0,,89.0,8.0,-2.5,1,12.0
2013,3,MIN,1.0,0.0,64.4,65.6,60.0,5.0,58.96052631578946,38.4,67.4,2.0,1.0,4.0,1.0,MIN,CLE,40.5,DOME,72.0,0.0,-7.0,1,10.0
2013,3,NE,0.0,0.0,70.5,59.5,60.0,2.0,59.02222222222221,70.2,58.7,0.0,1.0,1.0,1.0,NE,TB,45.0,,72.0,9.0,-7.5,1,4.0
2013,3,NO,1.0,0.0,62.0,59.6,60.0,1.0,58.71818181818181,77.0,69.5,1.0,2.0,5.0,2.0,NO,ARI,49.5,DOME,72.0,0.0,-7.5,1,2.0
2013,3,NYG,0.0,0.0,54.5,57.4,60.0,6.0,58.43055555555557,60.5,54.6,0.0,2.0,1.0,2.0,NYG,CAR,47.0,,77.0,15.0,-3.0,1,12.0
2013,3,NYJ,0.0,0.0,73.8,58.3,60.0,4.0,60.297142857142866,61.8,66.2,1.0,0.0,3.0,0.0,NYJ,BUF,41.0,,67.0,9.0,-2.5,1,8.0
2013,3,OAK,1.0,0.0,60.9,57.4,60.0,7.0,58.56666666666666,60.0,66.9,1.0,0.0,4.0,0.0,OAK,DEN,50.0,,64.0,16.0,16.5,0,14.0
