season,week,team_name,team_name_games,opponent,fantasy_points,points_allowed_passing,points_allowed_receiving,points_allowed_return_team,points_allowed_rushing,points_allowed_total,points_scored
2013,2,PIT,PIT,CIN,14.0,15.2,46.5,0.0,18.7,80.4,26.0
2013,2,SD,LAC,PHI,26.0,25.12,64.5,0.0,12.900000000000004,102.52,48.0
2013,2,SEA,SEA,SF,14.0,2.08,19.200000000000006,0.0,8.000000000000002,29.28,9.0
2013,2,SF,SF,SEA,18.0,8.68,24.200000000000006,0.0,27.200000000000006,60.08000000000001,27.0
2013,2,SL,LAR,ATL,18.0,22.96,65.9,0.0,9.6,98.46,43.0
2013,2,TB,TB,NO,24.0,14.880000000000004,51.2,0.0,7.5,73.58,22.0
2013,2,TEN,TEN,HOU,30.0,21.92,60.8,0.0,23.200000000000006,105.92,38.0
2013,2,WAS,WAS,GB,34.0,35.2,87.00000000000001,0.0,19.900000000000006,142.10000000000005,56.0
2013,3,ARZ,ARI,NO,29.0,24.68,66.7,0.0,16.4,107.78,31.0
2013,3,ATL,ATL,MIA,22.0,16.439999999999998,47.60000000000001,0.0,13.0,77.04,39.0
2013,3,BLT,BAL,HOU,18.0,6.76,31.9,0.0,9.4,48.06,9.0
2013,3,BUF,BUF,NYJ,25.0,19.24,53.1,0.0,24.200000000000006,96.54,33.0
2013,3,CAR,CAR,NYG,9.0,3.4,18.5,0.0,6.0,27.9,18.0
2013,3,CHI,CHI,PIT,31.0,22.24,65.6,0.0,8.881784197001252e-16,87.83999999999997,29.0
2013,3,CIN,CIN,GB,22.0,11.76,43.4,0.0,20.200000000000006,75.36,36.0
2013,3,CLV,CLE,MIN,12.0,8.120000000000001,35.3,0.0,27.4,70.82,51.0
2013,3,DAL,DAL,LAR,10.0,13.6,42.50000000000001,0.0,1.5000000000000002,57.60000000000001,25.0
2013,3,DEN,DEN,OAK,14.0,20.64,54.1,0.0,10.9,85.64,39.0
2013,3,DET,DET,WAS,12.0,12.04,48.6,0.0,12.0,72.64,26.0
2013,3,GB,GB,CIN,29.0,16.4,43.50000000000001,0.0,16.2,76.1,34.0
