season,week,team_name,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,punt_attempts,punt_fair_catches,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,2,CIN,59.0,62.0,61.0,1,0,0,0,17,17.0,5,2,0,0,27,5.65,CIN,PIT,41.0,,62.0,5.0,-6.5,1,0
2013,2,CLV,59.2,62.7,60.55,2,0,0,0,44,22.0,4,0,0,0,19,4.8,CLE,BAL,44.0,,78.0,6.0,7.0,0,0
2013,2,DAL,63.0,62.4,64.0,3,0,0,0,35,11.7,1,3,0,0,22,22.0,DAL,KC,46.0,,79.0,6.0,3.0,0,0
2013,2,DEN,58.0,86.7,75.1,2,0,0,0,34,17.0,4,1,0,1,121,30.3,DEN,NYG,55.5,,70.0,3.0,-4.0,1,6
2013,2,DET,61.7,55.2,58.7,4,0,0,0,23,5.8,3,1,0,0,2,0.7,DET,ARI,48.5,DOME,72.0,0.0,-2.0,1,0
2013,2,GB,59.45,60.3,59.75,2,0,0,0,24,12.0,1,2,0,0,11,11.0,GB,WAS,50.0,,62.0,4.0,-8.0,1,0
2013,2,HST,65.8,62.7,66.2,5,0,0,0,104,20.8,6,1,0,0,9,1.5,HOU,TEN,43.0,DOME (Open Roof),91.0,9.0,-9.0,1,0
2013,2,IND,59.3,61.0,60.05,4,0,0,0,28,7.0,2,1,0,0,16,8.0,IND,MIA,44.0,DOME,72.0,0.0,-3.0,1,0
2013,2,JAX,62.0,54.0,58.75,4,0,0,0,79,14.85,1,0,0,0,5,5.0,JAX,OAK,40.0,,76.0,9.0,5.0,0,0
2013,2,KC,57.2,61.6,58.4,3,0,0,0,25,6.25,3,1,0,0,41,13.7,KC,DAL,46.0,,79.0,6.0,-3.0,1,0
2013,2,MIA,66.4,60.5,66.4,5,0,0,0,73,14.6,0,0,0,0,0,,MIA,IND,44.0,DOME,72.0,0.0,3.0,0,0
2013,2,MIN,79.7,60.3,71.0,4,0,0,1,150,25.35,0,2,0,0,0,,MIN,CHI,42.0,Rain,62.0,6.0,6.5,0,6
2013,2,NE,59.0,53.4,56.95,1,0,0,0,25,25.0,6,1,0,0,72,12.0,NE,NYJ,43.5,Rain | Fog,72.0,8.0,-11.5,1,0
2013,2,NO,59.0,61.1,59.8,1,0,0,0,23,23.0,1,2,0,0,-2,-2.0,NO,TB,48.5,,93.0,8.0,-4.0,1,0
2013,2,NYG,58.7,56.9,57.86666666666667,7,0,0,0,121,17.3,2,3,0,0,13,6.5,NYG,DEN,55.5,,70.0,3.0,4.0,0,0
2013,2,NYJ,,54.8,56.0,0,0,0,0,0,,2,2,0,0,7,3.5,NYJ,NE,43.5,Rain | Fog,72.0,8.0,11.5,0,0
2013,2,OAK,59.0,36.5,50.45,2,0,0,0,26,13.0,4,2,0,0,33,5.5,OAK,JAX,40.0,,76.0,9.0,-5.0,1,0
2013,2,PHI,68.1,60.0,68.7,8,0,0,0,186,13.3,0,0,0,0,0,,PHI,LAC,54.0,,72.0,7.0,-7.5,1,0
2013,2,PIT,62.3,55.4,59.45,2,0,0,0,54,27.0,2,3,0,0,37,18.5,PIT,CIN,41.0,,62.0,5.0,6.5,0,0
2013,2,SD,46.7,61.1,53.1,4,0,0,0,93,23.3,2,0,0,0,5,2.5,LAC,PHI,54.0,,72.0,7.0,7.5,0,0
2013,2,SEA,64.3,62.6,76.2,1,0,0,0,24,24.0,2,1,0,0,31,15.5,SEA,SF,44.5,Rain,64.0,6.0,-2.5,1,0
2013,2,SF,52.5,69.3,55.1,2,0,0,0,52,26.0,1,1,0,0,0,0.0,SF,SEA,44.5,Rain,64.0,6.0,2.5,0,0
2013,2,SL,57.7,62.1,59.55,1,0,0,0,25,25.0,4,1,0,0,6,1.5,LAR,ATL,47.5,DOME,72.0,0.0,5.5,0,0
2013,2,TB,62.5,61.2,63.2,1,0,0,0,33,33.0,2,0,0,0,0,0.0,TB,NO,48.5,,93.0,8.0,4.0,0,0
2013,2,TEN,58.8,62.7,60.8,2,0,0,0,0,0.0,4,0,0,0,18,4.5,TEN,HOU,43.0,DOME (Open Roof),91.0,9.0,9.0,0,0
2013,2,WAS,58.0,61.1,58.8,3,0,0,0,59,19.7,2,0,0,0,9,4.5,WAS,GB,50.0,,62.0,4.0,8.0,0,0
2013,3,ARZ,66.2,37.2,58.5,4,0,0,0,87,21.5,2,1,0,0,15,7.5,ARI,NO,49.5,DOME,72.0,0.0,7.5,0,0
2013,3,ATL,58.4,38.7,50.65000000000001,2,0,0,0,0,0.0,3,0,0,0,4,1.3,ATL,MIA,46.0,,89.0,8.0,2.5,0,0
2013,3,BLT,61.75,87.1,72.0,2,0,0,0,53,26.5,2,1,0,1,93,46.5,BAL,HOU,44.5,,73.0,9.0,1.0,0,6
2013,3,BUF,58.1,61.5,59.5,1,0,0,0,18,18.0,2,2,0,0,4,2.0,BUF,NYJ,41.0,,67.0,9.0,2.5,0,0
2013,3,CAR,60.0,61.8,60.9,0,0,0,0,0,,2,3,0,0,12,6.0,CAR,NYG,47.0,,77.0,15.0,3.0,0,0
2013,3,CHI,58.0,60.3,58.3,5,0,0,0,73,14.666666666666664,0,1,0,0,0,,CHI,PIT,41.0,,56.0,5.0,-2.5,1,0
2013,3,CIN,46.3,60.3,46.6,4,0,0,0,111,27.8,0,1,0,0,0,,CIN,GB,50.5,,67.0,7.0,3.0,0,0
2013,3,CLV,57.7,47.0,52.43333333333334,1,0,0,0,26,26.0,2,4,0,0,20,10.0,CLE,MIN,40.5,DOME,72.0,0.0,7.0,0,0
2013,3,DAL,59.6,47.0,48.65000000000001,0,0,0,0,0,,5,1,0,0,16,2.75,DAL,LAR,47.0,DOME,72.0,0.0,-3.5,1,0
2013,3,DEN,58.3,62.4,60.1,2,0,0,0,8,4.0,3,1,0,0,34,11.3,DEN,OAK,50.0,,64.0,16.0,-16.5,1,0
