ID,First Name,Last Name,Position,Team,Opponent,Salary,Rank,FPTS,FPTS_rand_0,FPTS_rand_1,FPTS_rand_2,FPTS_rand_3,FPTS_rand_4,Proj. Pts,Proj. Pts_rand_0,Proj. Pts_rand_1,Proj. Pts_rand_2,Proj. Pts_rand_3,FPPG,finalTeamID,teamPoints
nfl.t.17$nfl.g.2142245,New England,Patriots,DEF,NE,DAL,17,8.0,7.5,7.524667119926581,8.68896414580609,7.442723494040157,8.397988057234341,7.964870105561934,8.1,8.37399999999999,7.71900000000001,8.063000000000002,7.828999999999995,18.8,FPPG,152.1
nfl.p.29441$nfl.g.2142229,Jeff,Driskel,QB,DET,WAS,24,17.0,16.6,18.136871008627878,24.011312176545374,19.832949824621153,14.120065054820683,20.873869210812934,15.2,15.372000000000007,15.372000000000007,16.03801666666665,15.14000000000002,23.0,FPPG,152.1
nfl.p.30121$nfl.g.2142224,Christian,McCaffrey,RB,CAR,NO,40,1.0,18.0,12.16389326101929,22.050621973118112,19.216325398439462,19.83749701346221,13.981838239555454,20.4,19.61200000000001,16.49599999999999,19.61200000000001,16.49599999999999,27.3,FPPG,152.1
nfl.p.30247$nfl.g.2142250,Jamaal,Williams,RB,GB,SF,12,30.0,6.6,6.62279263093413,6.726520507086775,4.863032761860945,8.331181902206348,7.99496494569284,8.1,8.060000000000008,9.495999999999986,7.401000000000003,7.678000000000006,10.5,FPPG,152.1
nfl.p.30295$nfl.g.2142250,Aaron,Jones,RB,GB,SF,32,8.0,13.1,18.5113341318931,11.300130368535395,15.229629105921468,11.13498203337505,16.743421397242532,13.0,14.200499999999991,13.991699999999982,14.431500000000012,13.349399999999989,19.4,FPPG,152.1
nfl.p.28592$nfl.g.2142235,Darren,Waller,TE,OAK,NYJ,21,2.0,9.2,6.6565435259813075,8.350713934758163,13.164747482146131,6.676970006442312,13.201371839399137,8.9,8.643000000000008,9.643000000000008,9.643000000000008,8.286000000000012,11.3,FPPG,152.1
nfl.p.29274$nfl.g.2142204,Sterling,Shepard,WR,NYG,CHI,16,43.0,6.0,6.259116645130081,3.699237473578968,4.421742266097314,10.177437380937523,8.611842391461549,7.0,4.967000000000003,5.449899999999996,4.503999999999999,6.200000000000002,12.9,FPPG,152.1
nfl.p.31031$nfl.g.2142241,DJ,Chark Jr.,WR,JAX,TEN,21,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,11.563033333333333,13.534,10.847999999999988,9.932035714285712,15.5,FPPG,152.1
nfl.p.31051$nfl.g.2142245,Michael,Gallup,WR,DAL,NE,17,22.0,9.1,7.704234849924925,9.268854045674242,12.976877249307222,16.87258004076339,8.604319187603085,9.0,9.07400000000001,9.241000000000003,8.570983333333334,9.351999999999988,13.4,FPPG,152.1
nfl.t.8$nfl.g.2142229,Detroit,Lions,DEF,DET,WAS,14,9.0,9.1,7.80005651899212,6.401159946895728,9.592171691417866,7.70714475412593,9.149881502444375,8.0,7.929999999999998,8.158000000000003,7.940999999999999,7.9879999999999995,5.3,FPTS,114.99999999999999
nfl.p.8780$nfl.g.2142218,Matt,Ryan,QB,ATL,TB,33,2.0,20.8,20.289610550321612,21.2009985963631,21.430007592388467,21.584242188533825,20.0168202914577,22.3,22.035999999999994,22.208000000000002,20.386000000000006,22.208000000000002,20.1,FPTS,114.99999999999999
nfl.p.31005$nfl.g.2142214,Nick,Chubb,RB,CLE,MIA,31,2.0,17.0,17.526417799852602,16.60064492069373,15.50180090093231,16.744127598058917,17.051534326343432,19.1,16.31499999999999,19.61200000000001,16.49599999999999,14.641500000000015,16.1,FPTS,114.99999999999999
nfl.p.30180$nfl.g.2142224,Alvin,Kamara,RB,NO,CAR,32,4.0,16.1,16.2055251434828,22.077638818258308,17.714765363965192,15.238182301234412,16.54806534918723,16.0,19.61200000000001,16.49599999999999,19.61200000000001,16.077,15.3,FPTS,114.99999999999999
nfl.p.26671$nfl.g.2142235,Le'Veon,Bell,RB,NYJ,OAK,20,11.0,13.2,14.872362007421799,12.385500554005244,13.886922800003614,11.65764878766789,11.884162367552575,12.3,12.681999999999995,12.087000000000007,12.681999999999995,12.329999999999991,12.9,FPTS,114.99999999999999
nfl.p.9353$nfl.g.2142224,Jared,Cook,TE,NO,CAR,12,4.0,7.4,7.934998297181542,8.059140440374737,9.036100958135485,1.0318666995383206,4.05487119138891,8.2,6.178000000000002,8.02500000000001,8.474000000000013,6.546000000000001,7.1,FPTS,114.99999999999999
nfl.p.28402$nfl.g.2142214,DeVante,Parker,WR,MIA,CLE,16,25.0,9.6,15.786532409207828,5.39028083187651,2.817696761585994,10.696225203891053,12.908613527025324,8.7,9.07400000000001,9.760335714285715,8.451816666666659,8.561983333333336,10.4,FPTS,114.99999999999999
nfl.p.27540$nfl.g.2142214,Odell,Beckham Jr.,WR,CLE,MIA,22,6.0,11.5,9.469672522457886,14.28799554725861,14.25516425027394,13.650454350946662,11.989138791278283,11.0,13.534,14.503999999999992,10.992661904761906,11.665999999999999,9.9,FPTS,114.99999999999999
nfl.p.9496$nfl.g.2142245,Julian,Edelman,WR,NE,DAL,20,10.0,10.3,10.008835662155048,12.447510001381945,8.472816900557302,9.661906284494279,12.72822462459257,10.8,11.022661904761907,10.868199999999987,11.563033333333333,10.583999999999994,13.6,FPTS,114.99999999999999
nfl.t.18$nfl.g.2142224,New Orleans,Saints,DEF,NO,CAR,16,3.0,9.4,13.404839534970446,11.672578849743944,7.13870203121016,8.283447293611445,8.342258884791086,9.0,8.251999999999992,9.044,9.220999999999993,9.220999999999993,9.2,FPTS_rand_0,140.87215542712264
nfl.p.29236$nfl.g.2142255,Carson,Wentz,QB,PHI,SEA,31,15.0,16.8,23.279358101147764,18.540201021986913,13.338649938823671,24.39350509957713,21.302421872859284,15.6,18.522699999999997,14.018000000000013,16.005166666666664,18.773983333333355,16.9,FPTS_rand_0,140.87215542712264
nfl.p.30161$nfl.g.2142209,Joe,Mixon,RB,CIN,PIT,16,16.0,11.4,16.53466050527929,14.3934576390702,14.105126744886656,15.198392564860097,6.060423011853018,11.5,10.821999999999985,11.802999999999983,11.395999999999999,11.645999999999994,10.4,FPTS_rand_0,140.87215542712264
nfl.p.30295$nfl.g.2142250,Aaron,Jones,RB,GB,SF,32,8.0,13.1,18.5113341318931,11.300130368535395,15.229629105921468,11.13498203337505,16.743421397242532,13.0,14.200499999999991,13.991699999999982,14.431500000000012,13.349399999999989,19.4,FPTS_rand_0,140.87215542712264
nfl.p.30362$nfl.g.2142255,Chris,Carson,RB,SEA,PHI,23,10.0,13.5,16.5595145849901,12.750884467803097,18.54531910193093,15.21598416940903,14.971652964265088,12.9,12.807499999999996,12.329999999999991,13.349399999999989,12.087000000000007,14.6,FPTS_rand_0,140.87215542712264
nfl.p.9353$nfl.g.2142224,Jared,Cook,TE,NO,CAR,12,4.0,7.4,7.934998297181542,8.059140440374737,9.036100958135485,1.0318666995383206,4.05487119138891,8.2,6.178000000000002,8.02500000000001,8.474000000000013,6.546000000000001,7.1,FPTS_rand_0,140.87215542712264
nfl.p.28402$nfl.g.2142214,DeVante,Parker,WR,MIA,CLE,16,25.0,9.6,15.786532409207828,5.39028083187651,2.817696761585994,10.696225203891053,12.908613527025324,8.7,9.07400000000001,9.760335714285715,8.451816666666659,8.561983333333336,10.4,FPTS_rand_0,140.87215542712264
nfl.p.29281$nfl.g.2142224,Michael,Thomas,WR,NO,CAR,35,3.0,14.4,14.952510773689953,14.063543289744125,14.680219567074362,17.797872392909305,14.506927931552854,13.5,13.701999999999998,13.701999999999998,13.701999999999998,13.701999999999998,19.0,FPTS_rand_0,140.87215542712264
nfl.p.28493$nfl.g.2142235,Jamison,Crowder,WR,NYJ,OAK,18,23.0,9.0,13.908407088762607,10.104902768289545,8.6041186441475,8.979687039759632,4.798577122494838,9.1,9.07400000000001,10.447999999999995,8.237599999999992,8.243599999999992,10.1,FPTS_rand_0,140.87215542712264
nfl.t.18$nfl.g.2142224,New Orleans,Saints,DEF,NO,CAR,16,3.0,9.4,13.404839534970446,11.672578849743944,7.13870203121016,8.283447293611445,8.342258884791086,9.0,8.251999999999992,9.044,9.220999999999993,9.220999999999993,9.2,FPTS_rand_1,146.20287452786863
nfl.p.29441$nfl.g.2142229,Jeff,Driskel,QB,DET,WAS,24,17.0,16.6,18.136871008627878,24.011312176545374,19.832949824621153,14.120065054820683,20.873869210812934,15.2,15.372000000000007,15.372000000000007,16.03801666666665,15.14000000000002,23.0,FPTS_rand_1,146.20287452786863
nfl.p.30161$nfl.g.2142209,Joe,Mixon,RB,CIN,PIT,16,16.0,11.4,16.53466050527929,14.3934576390702,14.105126744886656,15.198392564860097,6.060423011853018,11.5,10.821999999999985,11.802999999999983,11.395999999999999,11.645999999999994,10.4,FPTS_rand_1,146.20287452786863
nfl.p.30121$nfl.g.2142224,Christian,McCaffrey,RB,CAR,NO,40,1.0,18.0,12.16389326101929,22.050621973118112,19.216325398439462,19.83749701346221,13.981838239555454,20.4,19.61200000000001,16.49599999999999,19.61200000000001,16.49599999999999,27.3,FPTS_rand_1,146.20287452786863
nfl.p.30180$nfl.g.2142224,Alvin,Kamara,RB,NO,CAR,32,4.0,16.1,16.2055251434828,22.077638818258308,17.714765363965192,15.238182301234412,16.54806534918723,16.0,19.61200000000001,16.49599999999999,19.61200000000001,16.077,15.3,FPTS_rand_1,146.20287452786863
nfl.p.9353$nfl.g.2142224,Jared,Cook,TE,NO,CAR,12,4.0,7.4,7.934998297181542,8.059140440374737,9.036100958135485,1.0318666995383206,4.05487119138891,8.2,6.178000000000002,8.02500000000001,8.474000000000013,6.546000000000001,7.1,FPTS_rand_1,146.20287452786863
