"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","DeAndre Hopkins","ARI","vs. DET","1","2","1.0","0.2","14.0"
"2","undefined","","Calvin Ridley","ATL","vs. CHI","2","10","3.2","1.2","12.1"
"3","undefined","","Tyreek Hill","KC","at BAL","2","17","3.2","2.2","13.0"
"4","undefined","","Allen Robinson II","CHI","at ATL","3","20","6.1","2.9","11.6"
"5","undefined","","Amari Cooper","DAL","at SEA","3","18","6.1","2.3","11.2"
"6","undefined","","D.K. Metcalf","SEA","vs. DAL","2","11","6.8","1.3","11.0"
"7","undefined","","Adam Thielen","MIN","vs. TEN","2","15","7.3","2.8","10.9"
"8","undefined","","Mike Evans","TB","at DEN","3","10","8.1","2.0","10.6"
"9","undefined","","Tyler Lockett","SEA","vs. DAL","4","13","9.1","1.9","10.5"
"10","undefined","","Terry McLaurin","WAS","at CLE","6","28","10.5","2.1","10.5"
"11","undefined","","Chris Godwin","TB","at DEN","4","44","11.0","5.6","10.3"
"12","undefined","","D.J. Moore","CAR","at LAC","6","26","14.1","3.6","10.3"
"13","undefined","","JuJu Smith-Schuster","PIT","vs. HOU","3","19","14.2","2.0","10.3"
"14","undefined","","Odell Beckham Jr.","CLE","vs. WAS","1","22","14.9","3.4","10.1"
"15","undefined","","Stefon Diggs","BUF","vs. LAR","8","31","15.8","2.9","10.0"
"16","undefined","","Marquise Brown","BAL","vs. KC","13","28","17.8","2.9","9.8"
"17","undefined","","Diontae Johnson","PIT","vs. HOU","14","33","18.8","3.4","9.6"
"18","undefined","","Cooper Kupp","LAR","at BUF","12","46","18.9","4.6","9.7"
"19","undefined","","Robert Woods","LAR","at BUF","14","57","20.6","6.1","9.6"
"20","undefined","","Keenan Allen","LAC","vs. CAR","6","32","21.0","2.6","9.4"
"21","undefined","","T.Y. Hilton","IND","vs. NYJ","6","28","21.6","3.5","9.4"
"22","undefined","","Kenny Golladay","DET ","at ARI","9","99","23.4","17.2","9.0"
"23","undefined","","CeeDee Lamb","DAL","at SEA","17","42","23.6","3.8","9.1"
"24","undefined","","Michael Gallup","DAL","at SEA","5","37","23.7","3.9","9.0"
"25","undefined","","Julian Edelman","NE","vs. LV","14","31","24.9","3.1","9.0"
"26","undefined","","Darius Slayton","NYG","vs. SF","16","36","27.3","3.1","8.6"
"27","undefined","","DeVante Parker","MIA","at JAC","13","46","27.7","5.6","8.8"
"28","undefined","","A.J. Green","CIN","at PHI","16","40","28.4","2.9","8.5"
"29","undefined","","Tyler Boyd","CIN","at PHI","21","41","30.7","2.7","8.3"
"30","undefined","","DeSean Jackson","PHI","vs. CIN","9","43","30.9","4.6","8.0"
"31","undefined","","John Brown","BUF","vs. LAR","20","38","31.4","3.9","8.2"
"32","undefined","","Marvin Jones Jr.","DET","at ARI","25","52","32.0","4.2","8.0"
"33","undefined","","Corey Davis","TEN","at MIN","24","42","33.5","3.8","7.7"
"34","undefined","","Jarvis Landry","CLE","vs. WAS","27","46","33.7","4.0","7.9"
"35","undefined","","Will Fuller V","HOU","at PIT","18","57","35.2","7.3","7.7"
"36","undefined","","Laviska Shenault Jr.","JAC","vs. MIA","21","47","36.2","4.6","7.7"
"37","undefined","","Robby Anderson","CAR","at LAC","26","61","36.8","4.6","7.6"
"38","undefined","","Mike Williams","LAC","vs. CAR","34","50","39.6","3.6","7.5"
"39","undefined","","Jerry Jeudy","DEN ","vs. TB","20","51","41.0","4.9","7.2"
"40","undefined","","Russell Gage","ATL","vs. CHI","24","51","41.2","5.7","7.1"
"41","undefined","","Allen Lazard","GB","at NO","22","151","41.4","6.0","7.4"
"42","undefined","","Marquez Valdes-Scantling","GB","at NO","21","59","42.6","5.0","7.1"
"43","undefined","","Tre'Quan Smith","NO","vs. GB","35","59","42.8","4.9","7.1"
"44","undefined","","Preston Williams","MIA","at JAC","34","60","44.1","4.3","6.8"
