"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Ezekiel Elliott","DAL","vs. GB","1","4","1.6","1.1","18.4"
"2","undefined","","Christian McCaffrey","CAR","vs. JAC","1","5","2.4","0.9","17.7"
"3","undefined","","Dalvin Cook","MIN","at NYG","1","3","2.4","0.5","16.5"
"4","undefined","","Alvin Kamara","NO","vs. TB","3","10","5.4","2.1","16.2"
"5","undefined","","David Johnson","ARI","at CIN","1","8","5.5","1.1","15.4"
"6","undefined","","Nick Chubb","CLE","at SF","3","12","6.1","1.8","15.3"
"7","undefined","","Chris Carson","SEA","vs. LAR","5","14","7.8","1.7","15.0"
"8","undefined","","Derrick Henry","TEN","vs. BUF","2","12","8.1","2.6","13.7"
"9","undefined","","Leonard Fournette","JAC","at CAR","5","14","8.4","1.4","13.2"
"10","undefined","","Joe Mixon","CIN","vs. ARI","6","18","11.7","2.6","12.8"
"11","undefined","","Mark Ingram","BAL","at PIT","8","30","12.2","4.5","12.7"
"12","undefined","","Aaron Jones","GB","at DAL","8","18","13.1","2.0","12.5"
"13","undefined","","Le'Veon Bell","NYJ","at PHI","8","23","14.2","2.7","12.3"
"14","undefined","","Todd Gurley","LAR","at SEA","10","22","14.3","3.0","12.0"
"15","undefined","","James Conner","PIT","vs. BAL","9","18","14.7","2.0","11.8"
"16","undefined","","Marlon Mack","IND","at KC","6","34","15.2","4.4","11.3"
"17","undefined","","Austin Ekeler","LAC","vs. DEN","7","25","16.6","3.7","11.2"
"18","undefined","","David Montgomery","CHI","at OAK","10","25","17.3","3.1","10.7"
"19","undefined","","LeSean McCoy","KC","vs. IND","8","28","19.4","3.2","10.6"
"20","undefined","","Sony Michel","NE","at WAS","13","29","20.8","2.9","9.7"
"21","undefined","","Melvin Gordon","LAC","vs. DEN","16","29","20.9","3.3","10.3"
"22","undefined","","Phillip Lindsay","DEN","at LAC","17","26","21.7","2.0","9.6"
"23","undefined","","Wayne Gallman","NYG","vs. MIN","15","31","21.8","2.6","9.5"
"24","undefined","","Devonta Freeman","ATL","at HOU","19","31","22.9","2.3","9.4"
"25","undefined","","Jordan Howard","PHI","vs. NYJ","17","36","24.9","3.1","9.4"
"26","undefined","","Josh Jacobs","OAK","vs. CHI","19","32","25.1","2.5","9.4"
"27","undefined","","Carlos Hyde","HOU","vs. ATL","24","35","28.4","2.1","9.3"
"28","undefined","","Royce Freeman","DEN","at LAC","25","35","29.0","2.3","8.7"
"29","undefined","","Miles Sanders","PHI","vs. NYJ","23","35","30.3","2.4","8.2"
"30","undefined","","Damien Williams","KC","vs. IND","19","47","30.6","6.8","6.8"
"31","undefined","","Matt Breida","SF","vs. CLE","20","38","30.7","2.3","7.5"
"32","undefined","","James White","NE","at WAS","24","37","30.9","2.6","7.3"
"33","undefined","","Ronald Jones II","TB","at NO","26","42","32.7","3.7","6.6"
"34","undefined","","Frank Gore","BUF","at TEN","25","41","33.1","3.4","6.7"
"35","undefined","","Jaylen Samuels","PIT","vs. BAL","28","42","34.1","2.4","6.6"
"36","undefined","","Duke Johnson","HOU","vs. ATL","31","47","38.3","3.1","6.5"
"37","undefined","","Chris Thompson","WAS","vs. NE","34","45","38.8","3.2","6.4"
"38","undefined","","Tarik Cohen","CHI","at OAK","32","47","38.9","4.2","6.4"
"39","undefined","","Adrian Peterson","WAS","vs. NE","33","46","39.1","3.1","6.1"
