"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","27.1","18.3","215.2","1.6","0.5","12.0","74.8","0.6","0.2","24.4"
"","high","31.8","21.0","248.2","1.9","0.0","13.5","82.2","1.0","0.2","29.4"
"","low","24.3","15.7","175.0","1.0","0.7","10.4","69.0","0.3","0.3","22.8"
"Patrick Mahomes","KC","34.8","23.8","304.6","2.2","0.5","4.0","18.2","0.1","0.1","22.6"
"","high","37.3","24.6","318.2","2.5","0.0","6.0","23.0","0.2","0.1","25.1"
"","low","31.0","23.0","295.0","2.0","0.7","3.1","14.6","0.0","0.1","22.0"
"Deshaun Watson","HOU","34.0","22.6","255.2","1.6","0.9","5.6","30.8","0.2","0.2","18.5"
"","high","38.0","26.0","281.0","2.0","0.7","7.0","37.0","0.3","0.2","24.5"
"","low","31.1","19.9","231.0","1.3","1.2","3.2","20.0","0.0","0.3","17.5"
"Russell Wilson","SEA","30.3","19.7","246.3","1.7","0.5","4.3","22.6","0.0","0.2","18.0"
"","high","32.8","21.7","261.5","2.0","0.0","5.1","27.9","0.1","0.1","22.2"
"","low","28.0","18.0","237.0","1.6","0.7","2.2","13.0","0.0","0.3","15.5"
"Aaron Rodgers","GB","33.4","21.5","250.1","1.8","0.3","3.0","14.3","0.1","0.2","17.9"
"","high","35.9","22.7","267.2","2.0","0.0","4.0","16.8","0.2","0.2","21.8"
"","low","29.0","19.0","224.0","1.6","0.4","1.8","13.0","0.0","0.2","17.0"
"Jimmy Garoppolo","SF","31.2","21.0","242.7","1.7","0.7","2.3","5.7","0.1","0.2","15.6"
"","high","32.0","23.0","272.6","2.0","0.0","3.0","11.5","0.1","0.2","20.4"
"","low","30.3","18.0","202.0","1.5","1.3","1.0","3.0","0.0","0.3","13.7"
"Kirk Cousins","MIN","31.7","22.0","239.2","1.2","0.6","1.3","3.7","0.0","0.2","13.4"
"","high","32.4","24.0","263.5","1.4","0.4","2.4","5.4","0.1","0.2","16.3"
"","low","30.4","20.5","208.0","1.0","1.0","0.0","1.0","0.0","0.3","13.5"
"Ryan Tannehill","TEN","29.6","19.2","226.3","1.2","0.8","3.2","13.7","0.0","0.2","13.4"
"","high","33.0","22.1","270.3","1.5","0.5","5.0","21.0","0.1","0.2","17.1"
"","low","26.4","16.3","196.0","1.0","1.0","2.3","10.7","0.0","0.2","12.4"
"Robert Griffin","BAL","1.0","0.6","7.2","0.1","0.0","0.4","2.0","0.0","0.0","0.9"
"","high","1.0","0.6","7.2","0.1","0.0","0.4","2.0","0.0","0.0","0.9"
"","low","1.0","0.6","7.2","0.1","0.0","0.4","2.0","0.0","0.0","0.9"
"Matt Moore","KC","1.5","0.9","11.0","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"","high","1.5","0.9","11.0","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"","low","1.5","0.9","11.0","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"Marcus Mariota","TEN","1.1","0.7","8.0","0.1","0.0","0.3","1.2","0.0","0.0","0.8"
"","high","1.1","0.7","8.0","0.1","0.0","0.3","1.2","0.0","0.0","0.8"
"","low","1.1","0.7","8.0","0.1","0.0","0.3","1.2","0.0","0.0","0.8"
"Chad Henne","KC","1.3","0.8","9.4","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"","high","1.3","0.8","9.4","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"","low","1.3","0.8","9.4","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"Nick Mullens","SF","1.2","0.8","9.6","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"","high","1.2","0.8","9.6","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"","low","1.2","0.8","9.6","0.1","0.1","0.3","0.3","0.0","0.0","0.6"
"Sean Mannion","MIN","1.3","0.8","7.5","0.0","0.0","0.3","0.2","0.0","0.0","0.3"
"","high","1.3","0.8","7.5","0.0","0.0","0.3","0.2","0.0","0.0","0.3"
"","low","1.3","0.8","7.5","0.0","0.0","0.3","0.2","0.0","0.0","0.3"
"Tim Boyle","GB","1.2","0.8","7.0","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"","high","1.2","0.8","7.0","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"","low","1.2","0.8","7.0","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"AJ McCarron","HOU","1.3","0.8","9.3","0.0","0.1","0.1","0.4","0.0","0.0","0.2"
"","high","1.3","0.8","9.3","0.0","0.1","0.1","0.4","0.0","0.0","0.2"
"","low","1.3","0.8","9.3","0.0","0.1","0.1","0.4","0.0","0.0","0.2"
""
""
