"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Buffalo (BUF)","vs. MIA","1","3","1.2","0.5","13.7"
"2","undefined","","San Francisco (SF)","at WAS","1","3","2.3","0.6","9.9"
"3","undefined","","New England (NE)","at NYJ","1","4","2.5","0.6","8.7"
"4","undefined","","Chicago (CHI)","vs. NO","3","9","4.3","0.6","8.4"
"5","undefined","","Jacksonville (JAC)","at CIN","4","8","5.9","1.0","8.3"
"6","undefined","","New Orleans (NO)","at CHI","4","11","6.6","1.3","8.1"
"7","undefined","","Tennessee (TEN)","vs. LAC","4","11","6.8","1.3","8.0"
"8","undefined","","Green Bay (GB)","vs. OAK","4","11","7.4","1.0","7.9"
"9","undefined","","Los Angeles (LAC)","at TEN","5","17","9.2","2.2","7.8"
"10","undefined","","Minnesota (MIN)","at DET","7","15","10.4","1.1","7.5"
"11","undefined","","Detroit (DET)","vs. MIN","7","23","12.5","1.8","7.3"
"12","undefined","","Seattle (SEA)","vs. BAL","9","22","13.1","1.5","7.0"
"13","undefined","","Kansas City (KC)","at DEN","4","16","12.6","2.2","7.2"
"14","undefined","","Philadelphia (PHI)","at DAL","10","22","14.4","2.9","7.0"
"15","undefined","","Los Angeles (LAR)","at ATL","10","27","15.2","2.2","7.0"
"16","undefined","","Dallas (DAL)","vs. PHI","12","19","15.4","1.5","6.9"
"17","undefined","","Houston (HOU)","at IND","12","21","17.6","1.5","6.8"
"18","undefined","","New York (NYG)","vs. ARI","11","22","17.9","2.2","6.8"
"19","undefined","","Indianapolis (IND)","vs. HOU","5","24","18.8","3.1","6.5"
"20","undefined","","Baltimore (BAL)","at SEA","16","24","20.3","1.9","6.5"
"21","undefined","","Arizona (ARI)","at NYG","14","23","20.1","2.1","6.2"
"22","undefined","","Denver (DEN)","vs. KC","13","25","22.1","1.5","6.2"
"23","undefined","","Cincinnati (CIN)","vs. JAC","16","26","22.1","2.4","6.2"
"24","undefined","","Washington (WAS)","vs. SF","17","26","23.2","1.6","6.1"
"25","undefined","","Oakland (OAK)","at GB","16","28","25.4","1.3","6.1"
"26","undefined","","New York (NYJ)","vs. NE","18","28","26.0","1.3","6.1"
"27","undefined","","Miami (MIA)","at BUF","25","29","26.8","0.8","5.9"
"28","undefined","","Atlanta (ATL)","vs. LAR","17","30","27.5","1.3","5.8"
""
""
