"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","KC","5.5","84.6","0.7","0.9","5.2","0.0","0.1","13.0"
"","high","6.0","96.4","1.0","1.2","9.0","0.1","0.0","14.8"
"","low","5.1","74.4","0.3","0.6","3.9","0.0","0.1","12.5"
"Davante Adams","GB","6.5","80.1","0.7","0.0","0.3","0.0","0.1","11.8"
"","high","7.7","94.1","1.0","0.1","1.0","0.0","0.0","15.1"
"","low","5.5","67.0","0.5","0.0","0.0","0.0","0.1","10.5"
"DeAndre Hopkins","HOU","6.4","78.7","0.5","0.1","0.5","0.0","0.1","10.9"
"","high","8.2","92.2","1.0","0.2","1.0","0.0","0.0","14.1"
"","low","5.3","69.5","0.3","0.0","0.0","0.0","0.1","9.9"
"A.J. Brown","TEN","4.2","69.0","0.4","0.3","2.7","0.0","0.0","9.9"
"","high","5.0","81.4","1.0","0.5","3.2","0.1","0.0","13.4"
"","low","2.9","58.3","0.1","0.1","2.0","0.0","0.0","9.1"
"Tyler Lockett","SEA","4.6","63.9","0.5","0.4","2.3","0.0","0.0","9.7"
"","high","5.4","75.0","1.0","0.5","3.4","0.0","0.0","12.4"
"","low","3.8","55.0","0.3","0.3","0.9","0.0","0.1","8.6"
"D.K. Metcalf","SEA","4.3","66.4","0.5","0.1","0.8","0.0","0.1","9.7"
"","high","6.0","82.0","1.0","0.3","2.0","0.0","0.0","14.2"
"","low","3.2","53.0","0.4","0.0","0.0","0.0","0.2","7.6"
"Stefon Diggs","MIN","4.7","68.1","0.4","0.4","2.3","0.0","0.0","9.6"
"","high","5.0","77.5","1.0","0.5","3.6","0.0","0.0","13.3"
"","low","4.4","55.7","0.2","0.3","1.8","0.0","0.1","8.2"
"Emmanuel Sanders","SF","4.2","51.7","0.4","0.1","0.9","0.0","0.0","7.6"
"","high","5.0","65.0","1.0","0.3","2.0","0.0","0.0","12.5"
"","low","3.9","39.0","0.0","0.0","0.0","0.0","0.0","6.0"
"Deebo Samuel","SF","4.0","52.5","0.2","0.9","7.6","0.1","0.1","7.5"
"","high","5.0","63.0","0.4","1.4","9.8","0.1","0.0","9.4"
"","low","2.7","38.5","0.0","0.5","4.0","0.0","0.1","6.3"
"Adam Thielen","MIN","4.6","59.7","0.2","0.2","1.2","0.0","0.1","7.5"
"","high","5.2","62.8","0.4","0.3","2.2","0.0","0.0","8.8"
"","low","4.0","58.0","0.0","0.0","0.0","0.0","0.1","5.8"
"Marquise Brown","BAL","3.4","45.9","0.3","0.3","2.4","0.0","0.0","6.4"
"","high","4.0","55.0","0.5","1.2","9.5","0.0","0.0","7.5"
"","low","2.9","35.9","0.0","0.0","0.0","0.0","0.0","5.5"
"Sammy Watkins","KC","3.3","45.1","0.2","0.1","0.5","0.0","0.0","5.9"
"","high","3.8","52.8","0.4","0.2","1.1","0.0","0.0","7.2"
"","low","3.0","37.0","0.0","0.0","0.0","0.0","0.1","3.7"
"Kenny Stills","HOU","3.1","40.6","0.2","0.0","0.0","0.0","0.0","5.1"
"","high","3.6","46.6","0.3","0.0","0.0","0.0","0.0","6.2"
"","low","2.9","29.0","0.0","0.0","0.0","0.0","0.0","2.9"
"Will Fuller","HOU","2.9","41.8","0.1","0.0","0.1","0.0","0.0","5.0"
"","high","4.0","54.1","0.3","0.0","0.1","0.0","0.0","7.2"
"","low","2.0","35.0","0.0","0.0","0.0","0.0","0.0","3.8"
"Corey Davis","TEN","2.9","39.3","0.1","0.1","0.6","0.0","0.0","4.6"
"","high","3.6","48.1","0.3","0.1","1.0","0.0","0.0","6.5"
"","low","2.0","31.0","0.0","0.0","0.0","0.0","0.0","3.1"
"Allen Lazard","GB","2.8","37.0","0.1","0.0","0.7","0.0","0.0","4.6"
"","high","3.1","43.1","0.3","0.1","1.7","0.0","0.0","5.9"
"","low","1.9","25.8","0.0","0.0","0.0","0.0","0.0","4.1"
"Mecole Hardman","KC","1.7","33.4","0.2","0.4","2.0","0.0","0.1","4.4"
"","high","2.2","45.0","0.5","0.9","6.0","0.0","0.0","7.5"
"","low","1.0","17.0","0.0","0.1","0.1","0.0","0.1","2.9"
"David Moore","SEA","2.0","34.0","0.1","0.1","1.1","0.0","0.1","4.2"
"","high","2.6","49.0","0.3","0.2","1.6","0.0","0.0","6.5"
"","low","1.3","23.0","0.0","0.0","0.0","0.0","0.1","2.3"
"Kendrick Bourne","SF","1.9","21.5","0.2","0.0","0.0","0.0","0.0","3.2"
"","high","2.3","25.2","0.3","0.0","0.1","0.0","0.0","3.7"
"","low","1.5","19.4","0.0","0.0","0.0","0.0","0.0","3.1"
"Demarcus Robinson","KC","1.6","22.8","0.1","0.0","0.0","0.0","0.0","3.0"
"","high","2.0","29.1","0.2","0.0","0.0","0.0","0.0","4.1"
"","low","1.0","18.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Willie Snead","BAL","2.0","23.6","0.1","0.1","0.3","0.0","0.0","3.0"
"","high","3.0","37.0","0.2","0.2","1.0","0.0","0.0","3.7"
"","low","1.6","19.7","0.0","0.0","0.0","0.0","0.0","2.9"
"Tajae Sharpe","TEN","1.7","22.2","0.1","0.0","0.1","0.0","0.0","2.8"
"","high","3.0","36.4","0.2","0.1","0.3","0.0","0.0","4.5"
"","low","1.0","15.6","0.0","0.0","0.0","0.0","0.0","1.7"
"Seth Roberts","BAL","1.5","18.7","0.1","0.0","0.1","0.0","0.0","2.6"
"","high","2.1","23.7","0.2","0.1","0.3","0.0","0.0","3.5"
"","low","1.3","15.8","0.0","0.0","0.0","0.0","0.0","2.2"
"Geronimo Allison","GB","1.7","19.4","0.1","0.1","0.4","0.0","0.0","2.4"
"","high","2.2","23.5","0.2","0.2","1.0","0.0","0.0","3.0"
"","low","1.0","15.0","0.0","0.0","0.0","0.0","0.1","1.5"
"Marquez Valdes-Scantling","GB","1.2","19.6","0.1","0.1","0.7","0.0","0.0","2.4"
"","high","1.8","28.2","0.1","0.2","1.0","0.0","0.0","3.5"
"","low","0.8","14.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Miles Boykin","BAL","1.3","17.3","0.1","0.0","0.0","0.0","0.0","2.2"
"","high","2.0","28.0","0.2","0.0","0.1","0.0","0.0","2.8"
"","low","0.6","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"DeAndre Carter","HOU","1.6","17.7","0.1","0.0","0.1","0.0","0.0","2.1"
"","high","3.2","33.0","0.2","0.0","0.2","0.0","0.0","4.3"
"","low","0.6","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Olabisi Johnson","MIN","1.5","16.6","0.1","0.0","0.2","0.0","0.0","2.1"
"","high","2.0","21.0","0.1","0.1","0.4","0.0","0.0","2.6"
"","low","1.1","13.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Jake Kumerow","GB","1.1","16.9","0.1","0.0","0.0","0.0","0.0","2.0"
"","high","1.5","26.3","0.1","0.0","0.0","0.0","0.0","3.2"
"","low","0.6","8.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Malik Turner","SEA","1.0","15.1","0.1","0.0","0.0","0.0","0.0","1.8"
"","high","1.3","24.1","0.1","0.0","0.0","0.0","0.0","3.0"
"","low","0.7","8.9","0.0","0.0","0.0","0.0","0.0","1.6"
"Jaron Brown","SEA","0.7","10.4","0.1","0.0","0.0","0.0","0.0","1.6"
"","high","0.9","11.9","0.1","0.0","0.0","0.0","0.0","1.6"
"","low","0.6","9.0","0.1","0.0","0.0","0.0","0.0","1.5"
"Tyler Ervin","GB","1.1","13.6","0.0","0.0","0.3","0.0","0.0","1.4"
"","high","1.1","13.6","0.0","0.0","0.3","0.0","0.0","0.0"
"","low","1.1","13.6","0.0","0.0","0.3","0.0","0.0","0.0"
"Dante Pettis","SF","0.5","6.7","0.1","0.0","0.0","0.0","0.0","1.3"
"","high","1.6","19.5","0.3","0.0","0.0","0.0","0.0","3.8"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darrius Shepherd","GB","0.7","7.9","0.1","0.0","0.2","0.0","0.1","1.2"
"","high","0.7","7.9","0.1","0.0","0.2","0.0","0.1","1.4"
"","low","0.7","7.9","0.1","0.0","0.2","0.0","0.1","1.4"
"Keke Coutee","HOU","0.7","9.4","0.0","0.1","0.5","0.0","0.0","1.2"
"","high","1.6","17.5","0.0","0.3","1.5","0.1","0.0","1.7"
"","low","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Kalif Raymond","TEN","0.6","8.4","0.0","0.0","-0.1","0.0","0.0","1.0"
"","high","1.0","12.0","0.1","0.1","0.1","0.0","0.0","1.5"
"","low","0.4","5.5","0.0","0.0","-0.5","0.0","0.0","0.8"
"Gehrig Dieter","KC","0.5","7.4","0.0","0.0","0.1","0.0","0.0","0.8"
"","high","0.5","7.4","0.0","0.0","0.1","0.0","0.0","0.8"
"","low","0.5","7.4","0.0","0.0","0.1","0.0","0.0","0.8"
"John Ursua","SEA","0.6","7.4","0.0","0.0","0.2","0.0","0.0","0.7"
"","high","0.6","8.5","0.0","0.1","0.3","0.0","0.0","0.9"
"","low","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Alexander Hollins","MIN","0.5","6.4","0.0","0.0","0.1","0.0","0.0","0.7"
"","high","0.7","9.6","0.0","0.0","0.2","0.0","0.0","1.1"
