"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Mike Williams","LAC","3.7","61.3","0.3","0.2","1.2","0.0","0.0","7.9"
"","high","4.0","68.0","0.4","0.4","3.0","0.0","0.0","8.5"
"","low","3.4","52.8","0.0","0.1","0.3","0.0","0.0","6.8"
"Curtis Samuel","CAR","4.0","53.6","0.2","0.8","6.7","0.1","0.0","7.6"
"","high","5.0","63.0","0.4","1.1","10.0","0.1","0.0","9.0"
"","low","3.2","46.4","0.0","0.6","3.6","0.0","0.1","5.8"
"Robert Woods","LAR","4.5","57.9","0.2","0.9","6.5","0.0","0.1","7.5"
"","high","5.1","63.8","0.3","1.1","9.0","0.1","0.0","8.9"
"","low","4.0","55.0","0.0","0.5","3.4","0.0","0.1","5.5"
"Marquise Brown","BAL","3.7","56.7","0.2","0.5","4.0","0.0","0.1","7.5"
"","high","4.0","67.0","0.4","1.1","9.2","0.1","0.0","9.1"
"","low","2.8","46.8","0.0","0.0","0.0","0.0","0.1","6.7"
"Sammy Watkins","KC","4.3","58.3","0.3","0.1","0.4","0.0","0.1","7.5"
"","high","5.3","67.0","0.5","0.1","0.7","0.0","0.0","9.7"
"","low","3.5","52.9","0.0","0.0","0.0","0.0","0.1","5.8"
"Tyler Boyd","CIN","5.2","61.4","0.2","0.2","1.4","0.0","0.1","7.2"
"","high","6.0","73.2","0.3","0.4","2.8","0.0","0.0","9.6"
"","low","4.3","50.8","0.0","0.2","0.5","0.0","0.1","6.4"
"Calvin Ridley","ATL","4.2","55.5","0.3","0.2","0.8","0.0","0.0","7.1"
"","high","4.8","62.0","0.4","0.3","2.0","0.0","0.0","8.3"
"","low","3.9","50.1","0.0","0.0","0.0","0.0","0.0","5.5"
"Jamison Crowder","NYJ","5.3","56.6","0.2","0.2","1.3","0.0","0.1","6.9"
"","high","6.7","64.0","0.4","0.5","3.0","0.0","0.1","9.3"
"","low","4.3","49.0","0.0","0.0","0.0","0.0","0.1","5.8"
"Jarvis Landry","CLE","4.4","55.9","0.2","0.3","2.1","0.0","0.1","6.7"
