"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Carolina Panthers","","3.6","1.2","0.7","1.2","0.2","0.0","16.0","267.1","9.6"
"","high","4.6","1.5","0.9","1.3","0.3","0.1","19.1","244.0","11.9"
"","low","3.2","0.7","0.6","1.1","0.1","0.0","14.5","290.2","9.0"
"Philadelphia Eagles","","3.4","1.2","0.6","1.0","0.2","0.0","17.1","293.4","9.5"
"","high","4.0","1.8","0.7","1.1","0.3","0.1","18.1","263.0","11.3"
"","low","2.6","0.8","0.5","0.9","0.2","0.0","15.8","323.9","7.3"
"Green Bay Packers","","3.6","1.0","0.7","1.2","0.2","0.0","18.9","326.0","9.0"
"","high","3.8","1.2","1.1","1.5","0.2","0.1","19.1","313.9","10.7"
"","low","3.3","0.7","0.6","0.9","0.0","0.0","18.3","338.0","7.9"
"Chicago Bears","","3.2","1.0","0.6","1.0","0.2","0.0","15.7","283.4","8.6"
"","high","4.1","1.4","0.8","1.1","0.2","0.1","16.0","272.0","11.0"
"","low","2.4","0.5","0.6","1.0","0.1","0.0","14.9","294.8","6.6"
"New England Patriots","","3.1","1.0","0.7","1.2","0.2","0.1","18.5","353.3","8.4"
"","high","3.5","1.3","0.8","1.2","0.2","0.1","21.8","343.0","8.9"
"","low","2.7","0.7","0.6","1.2","0.1","0.0","15.2","363.7","6.5"
"New York Jets","","2.9","1.0","0.7","1.3","0.2","0.0","19.3","295.3","8.3"
"","high","3.5","1.2","1.0","1.4","0.2","0.1","19.8","270.0","9.0"
"","low","2.5","0.8","0.5","1.1","0.1","0.0","18.2","320.5","7.0"
"Pittsburgh Steelers","","3.0","1.0","0.7","1.3","0.1","0.0","19.4","360.6","8.3"
"","high","3.7","1.1","1.2","1.6","0.2","0.1","20.5","341.0","9.0"
"","low","2.5","0.9","0.5","1.0","0.0","0.0","17.8","380.2","7.2"
"New Orleans Saints","","2.9","0.8","0.8","1.2","0.2","0.0","19.9","352.4","8.2"
"","high","3.4","1.0","1.0","1.4","0.3","0.0","20.5","338.0","8.9"
"","low","2.5","0.7","0.6","1.0","0.1","0.0","19.0","366.7","6.2"
"Jacksonville Jaguars","","3.1","1.2","0.6","0.9","0.2","0.0","22.9","378.6","8.0"
"","high","3.6","1.7","0.8","1.1","0.3","0.0","25.0","371.3","9.9"
"","low","2.6","0.8","0.4","0.8","0.1","0.0","18.7","386.0","6.7"
"Dallas Cowboys","","2.7","0.9","0.7","1.1","0.2","0.0","18.5","326.8","7.8"
"","high","3.5","1.1","0.9","1.2","0.2","0.0","20.3","313.0","9.3"
"","low","2.3","0.7","0.5","1.1","0.0","0.0","16.3","340.6","6.7"
"Baltimore Ravens","","2.5","1.0","0.6","1.0","0.2","0.0","19.1","352.3","7.6"
"","high","3.1","1.6","0.9","1.2","0.3","0.0","20.0","327.0","9.0"
"","low","2.2","0.5","0.4","0.8","0.1","0.0","18.2","377.6","6.0"
"Cleveland Browns","","2.2","1.1","0.6","1.2","0.2","0.0","19.6","293.8","7.6"
"","high","3.0","1.3","0.9","1.3","0.2","0.1","22.2","293.6","8.8"
"","low","1.4","0.8","0.5","1.0","0.1","0.0","18.5","294.0","6.2"
"Los Angeles Chargers","","2.9","0.9","0.5","0.7","0.2","0.0","17.0","316.5","7.6"
"","high","3.5","1.1","0.6","0.8","0.2","0.1","17.8","314.0","9.2"
"","low","2.2","0.6","0.4","0.6","0.1","0.0","16.1","319.0","6.7"
"Los Angeles Rams","","3.5","0.8","0.7","0.9","0.2","0.0","20.9","321.1","7.4"
"","high","4.7","1.0","0.9","1.1","0.2","0.1","22.5","294.0","10.6"
"","low","3.0","0.5","0.5","0.8","0.0","0.0","19.7","348.3","6.4"
"Washington Redskins","","3.1","0.9","0.6","1.2","0.1","0.1","24.1","349.8","7.2"
"","high","3.5","1.1","0.8","1.2","0.2","0.1","25.7","344.5","8.2"
"","low","2.8","0.7","0.5","1.2","0.0","0.0","22.3","355.0","6.6"
"Indianapolis Colts","","3.1","0.8","0.7","1.0","0.1","0.1","20.6","329.0","6.9"
"","high","3.6","1.1","0.8","1.1","0.2","0.1","21.6","316.0","9.2"
"","low","2.7","0.5","0.6","0.9","0.0","0.0","19.1","341.9","6.6"
"Detroit Lions","","2.6","0.8","0.7","1.1","0.2","0.0","20.6","308.0","6.7"
"","high","3.1","1.0","0.9","1.2","0.2","0.1","21.5","306.0","8.0"
"","low","2.3","0.6","0.6","1.1","0.1","0.0","18.6","310.0","6.5"
"Minnesota Vikings","","3.2","0.6","0.7","0.8","0.1","0.0","23.4","362.6","6.6"
"","high","3.6","0.8","0.9","1.2","0.2","0.0","26.5","334.0","8.0"
"","low","3.0","0.6","0.4","0.5","0.0","0.0","18.0","391.2","5.6"
"Cincinnati Bengals","","2.7","0.9","0.5","0.7","0.1","0.1","21.3","331.6","6.5"
