"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Christian McCaffrey","CAR","vs. TEN","1","2","1.2","0.4","21.3"
"2","undefined","","Dalvin Cook","MIN","at KC","1","3","1.9","0.5","19.7"
"3","undefined","","Ezekiel Elliott","DAL","at NYG","2","6","3.1","0.5","18.3"
"4","undefined","","Saquon Barkley","NYG","vs. DAL","3","8","4.3","1.0","18.3"
"5","undefined","","Aaron Jones","GB","at LAC","4","9","5.3","0.9","16.7"
"6","undefined","","Nick Chubb","CLE","at DEN","4","8","5.8","0.8","16.6"
"7","undefined","","Leonard Fournette","JAC","vs. HOU","4","10","6.9","0.9","16.5"
"8","undefined","","Le'Veon Bell","NYJ","at MIA","5","8","7.6","0.6","16.4"
"9","undefined","","Josh Jacobs","OAK","vs. DET","9","12","9.2","0.4","16.1"
"10","undefined","","Chris Carson","SEA","vs. TB","6","18","10.9","1.0","15.9"
"11","undefined","","Derrick Henry","TEN","at CAR","7","15","11.2","1.0","15.4"
"12","undefined","","Tevin Coleman","SF","at ARI","9","16","11.2","1.2","14.1"
"13","undefined","","Marlon Mack","IND","at PIT","12","18","13.9","1.2","13.9"
"14","undefined","","Phillip Lindsay","DEN","vs. CLE","14","20","14.7","0.7","13.5"
"15","undefined","","Austin Ekeler","LAC","vs. GB","13","21","15.2","1.4","13.1"
"16","undefined","","Melvin Gordon","LAC","vs. GB","13","23","16.3","1.7","12.6"
"17","undefined","","Sony Michel","NE","at BAL","15","27","18.1","1.4","12.3"
"18","undefined","","Mark Ingram","BAL","vs. NE","15","29","18.7","2.2","12.3"
"19","undefined","","Royce Freeman","DEN","vs. CLE","19","23","19.7","1.1","12.2"
"20","undefined","","Carlos Hyde","HOU","at JAC","20","24","22.2","0.7","12.1"
"21","undefined","","Jordan Howard","PHI","vs. CHI","18","33","22.3","2.5","10.8"
"22","undefined","","James White","NE","at BAL","17","27","22.6","2.1","10.8"
"23","undefined","","David Montgomery","CHI","at PHI","19","27","22.7","1.5","10.7"
"24","undefined","","Adrian Peterson","WAS","at BUF","18","34","24.3","2.9","10.6"
"25","undefined","","Jaylen Samuels","PIT","vs. IND","10","40","26.4","7.7","10.3"
"26","undefined","","Mark Walton","MIA","vs. NYJ","14","31","26.8","1.3","10.1"
"27","undefined","","LeSean McCoy","KC","vs. MIN","25","35","27.7","2.3","9.8"
"28","undefined","","Jamaal Williams","GB","at LAC","24","38","28.6","1.7","9.6"
"29","undefined","","Devin Singletary","BUF","vs. WAS","24","35","28.9","2.1","9.4"
"30","undefined","","Kenyan Drake","ARI","vs. SF","18","40","30.2","3.5","9.2"
"31","undefined","","Frank Gore","BUF","vs. WAS","24","38","31.2","1.7","9.2"
"32","undefined","","Miles Sanders","PHI","vs. CHI","26","35","31.4","1.7","9.1"
"33","undefined","","Matt Breida","SF","at ARI","22","50","32.9","5.4","8.9"
"34","undefined","","Damien Williams","KC","vs. MIN","24","39","34.1","1.6","8.5"
"35","undefined","","Ty Johnson","DET","at OAK","30","39","35.3","1.5","8.5"
"36","undefined","","Tarik Cohen","CHI","at PHI","31","44","36.1","2.3","8.0"
"37","undefined","","Duke Johnson","HOU","at JAC","33","42","37.2","1.8","7.9"
"38","undefined","","Ronald Jones II","TB","at SEA","34","40","37.3","1.2","7.8"
"39","undefined","","Peyton Barber","TB","at SEA","38","42","39.6","1.0","7.8"
"40","undefined","","Alexander Mattison","MIN","at KC","38","44","40.3","1.5","7.4"
"41","undefined","","Tra Carson","DET","at OAK","40","48","42.0","1.2","7.2"
"42","undefined","","Nyheim Hines","IND","at PIT","39","48","43.9","1.7","7.1"
"43","undefined","","J.D. McKissic","DET","at OAK","40","50","44.2","2.8","7.1"
"44","undefined","","James Conner","PIT","vs. IND","11","93","28.5","21.5","6.7"
"45","undefined","","Kalen Ballage","MIA","vs. NYJ","41","54","44.7","1.4","6.4"
"46","undefined","","Rashaad Penny","SEA","vs. TB","42","51","46.4","1.9","6.1"
"47","undefined","","Zach Zenner","ARI","vs. SF","41","55","47.7","2.8","6.1"
"48","undefined","","DeAndre Washington","OAK","vs. DET","45","57","48.0","1.5","5.9"
"49","undefined","","Raheem Mostert","SF","at ARI","37","63","49.1","4.0","5.9"
"50","undefined","","Rex Burkhead","NE","at BAL","43","58","49.1","3.2","5.9"
"51","undefined","","Wendell Smallwood","WAS","at BUF","43","71","50.3","4.1","5.4"
"52","undefined","","Dare Ogunbowale","TB","at SEA","46","55","51.6","1.7","5.3"
"53","undefined","","Dion Lewis","TEN","at CAR","49","60","53.6","2.6","4.8"
"54","undefined","","Gus Edwards","BAL","vs. NE","46","60","54.8","2.1","4.7"
"55","undefined","","Jalen Richard","OAK","vs. DET","50","58","55.0","1.4","4.6"
"56","undefined","","Tony Pollard","DAL","at NYG","50","59","56.2","2.5","4.5"
"57","undefined","","Darrel Williams","KC","vs. MIN","53","64","59.6","2.1","4.4"
"58","undefined","","Dontrell Hilliard","CLE","at DEN","54","67","59.7","2.7","4.1"
"59","undefined","","Jordan Wilkins","IND","at PIT","57","64","60.9","1.8","4.1"
"60","undefined","","Boston Scott","PHI","vs. CHI","52","84","60.4","8.5","4.0"
