"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Tampa Bay (TB)","at DEN","1","3","2.1","0.6","9.3"
"2","undefined","","Indianapolis (IND)","vs. NYJ","1","6","2.1","1.0","8.9"
"3","undefined","","Pittsburgh (PIT)","vs. HOU","1","10","2.6","1.7","8.6"
"4","undefined","","San Francisco (SF)","at NYG","1","12","5.6","2.2","7.7"
"5","undefined","","Buffalo (BUF)","vs. LAR","2","12","6.0","1.8","7.6"
"6","undefined","","New England (NE)","vs. LV","2","14","7.3","1.8","7.3"
"7","undefined","","Los Angeles (LAC)","vs. CAR","1","9","5.4","1.3","7.4"
"8","undefined","","Los Angeles (LAR)","at BUF","3","17","9.0","2.8","7.2"
"9","undefined","","Cleveland (CLE)","vs. WAS","2","19","9.6","3.4","6.8"
"10","undefined","","Arizona (ARI)","vs. DET","6","21","10.0","1.9","6.7"
"11","undefined","","Tennessee (TEN)","at MIN","6","20","10.3","2.1","6.5"
"12","undefined","","Philadelphia (PHI)","vs. CIN","5","20","11.7","2.7","6.4"
"13","undefined","","Washington (WAS)","at CLE","5","17","12.4","2.0","6.4"
"14","undefined","","Chicago (CHI)","at ATL","8","19","13.6","2.4","6.4"
"15","undefined","","Baltimore (BAL)","vs. KC","11","26","16.6","3.2","6.3"
"16","undefined","","New York (NYG)","vs. SF","9","29","17.5","3.6","6.3"
"17","undefined","","New Orleans (NO)","vs. GB","13","27","17.9","3.0","6.2"
"18","undefined","","Jacksonville (JAC)","vs. MIA","8","25","18.0","4.0","6.1"
"19","undefined","","Denver (DEN)","vs. TB","12","23","17.9","2.6","6.0"
"20","undefined","","Atlanta (ATL)","vs. CHI","11","30","19.7","5.1","6.0"
"21","undefined","","Green Bay (GB)","at NO","14","29","21.3","3.4","5.8"
"22","undefined","","Kansas City (KC)","at BAL","16","30","22.2","3.6","5.5"
"23","undefined","","Seattle (SEA)","vs. DAL","16","28","22.5","2.3","5.5"
"24","undefined","","Miami (MIA)","at JAC","15","27","22.5","1.9","5.4"
"25","undefined","","Cincinnati (CIN)","at PHI","18","31","24.3","2.3","5.3"
"26","undefined","","Carolina (CAR)","at LAC","16","32","26.0","2.5","5.0"
"27","undefined","","Minnesota (MIN)","vs. TEN","15","31","26.3","2.2","5.2"
"28","undefined","","Dallas (DAL)","at SEA","16","32","28.8","2.3","4.8"
"29","undefined","","Houston (HOU)","at PIT","16","32","28.2","3.4","4.7"
"30","undefined","","New York (NYJ)","at IND","20","32","28.6","2.0","4.6"
"31","undefined","","Las Vegas (LV)","at NE","25","32","29.4","1.7","4.5"
"32","undefined","","Detroit (DET)","at ARI","27","32","30.7","1.4","4.3"
""
""
