"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Christian McCaffrey","CAR","at GB","1","2","1.0","0.0","19.4"
"2","undefined","","Saquon Barkley","NYG","at NYJ","2","8","2.6","0.9","17.5"
"3","undefined","","Dalvin Cook","MIN","at DAL","2","10","3.2","1.5","17.4"
"4","undefined","","Ezekiel Elliott","DAL","vs. MIN","1","6","3.8","0.4","16.6"
"5","undefined","","Aaron Jones","GB","vs. CAR","5","12","6.0","1.5","15.9"
"6","undefined","","Nick Chubb","CLE","vs. BUF","2","13","6.7","1.2","14.5"
"7","undefined","","Derrick Henry","TEN","vs. KC","5","20","6.8","1.3","14.3"
"8","undefined","","Marlon Mack","IND","vs. MIA","3","12","7.6","1.3","14.2"
"9","undefined","","Alvin Kamara","NO","vs. ATL","2","11","8.1","2.0","13.6"
"10","undefined","","Josh Jacobs","OAK","vs. LAC","5","10","9.3","1.1","13.4"
"11","undefined","","Mark Ingram","BAL","at CIN","9","17","12.2","1.3","12.6"
"12","undefined","","Chris Carson","SEA","at SF","7","24","12.3","1.2","13.2"
"13","undefined","","David Montgomery","CHI","vs. DET","9","20","13.8","2.1","12.2"
"14","undefined","","Melvin Gordon","LAC","at OAK","10","19","14.1","1.1","11.9"
"15","undefined","","Le'Veon Bell","NYJ","vs. NYG","8","19","14.3","2.4","11.4"
"16","undefined","","Tevin Coleman","SF","vs. SEA","14","22","16.4","2.0","11.3"
"17","undefined","","Todd Gurley","LAR","at PIT","10","24","16.6","1.8","11.4"
"18","undefined","","Devin Singletary","BUF","at CLE","14","22","17.9","1.2","11.1"
"19","undefined","","Jaylen Samuels","PIT","vs. LAR","12","25","19.8","1.5","11.0"
"20","undefined","","Austin Ekeler","LAC","at OAK","17","25","21.4","1.5","10.8"
"21","undefined","","Devonta Freeman","ATL","at NO","15","28","21.6","2.1","9.6"
"22","undefined","","Ronald Jones II","TB","vs. ARI","14","25","21.8","2.3","9.6"
"23","undefined","","David Johnson","ARI","at TB","16","29","21.8","3.1","9.6"
"24","undefined","","Latavius Murray","NO","vs. ATL","13","33","22.9","3.0","9.4"
"25","undefined","","Damien Williams","KC","at TEN","18","28","24.3","1.6","9.1"
"26","undefined","","Joe Mixon","CIN","vs. BAL","19","29","25.9","1.5","9.1"
"27","undefined","","Matt Breida","SF","vs. SEA","23","33","26.8","1.2","8.8"
"28","undefined","","Jamaal Williams","GB","vs. CAR","24","30","27.5","1.1","8.8"
"29","undefined","","Kalen Ballage","MIA","at IND","28","32","29.9","1.1","8.3"
"30","undefined","","Kenyan Drake","ARI","at TB","27","37","29.9","1.5","8.3"
"31","undefined","","Ty Johnson","DET","at CHI","29","37","31.4","1.4","8.1"
"32","undefined","","Frank Gore","BUF","at CLE","22","41","31.7","1.8","8.1"
"33","undefined","","LeSean McCoy","KC","at TEN","29","43","34.1","1.9","8.0"
"34","undefined","","Tarik Cohen","CHI","vs. DET","31","38","34.5","1.1","7.5"
"35","undefined","","Darrell Henderson","LAR","at PIT","32","41","36.1","1.9","7.3"
"36","undefined","","Gus Edwards","BAL","at CIN","30","45","37.4","2.0","7.3"
"37","undefined","","Trey Edmunds","PIT","vs. LAR","26","46","35.6","4.0","7.3"
"38","undefined","","J.D. McKissic","DET","at CHI","34","43","38.3","1.8","7.2"
"39","undefined","","Kareem Hunt","CLE","vs. BUF","28","58","38.8","3.6","6.5"
"40","undefined","","Peyton Barber","TB","vs. ARI","31","48","39.0","2.2","6.4"
