"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Chris Carson","SEA","vs. ARI","1","5","1.1","0.4","18.7"
"2","undefined","","Christian McCaffrey","CAR","at IND","1","3","2.1","0.4","15.7"
"3","undefined","","Ezekiel Elliott","DAL","at PHI","1","4","3.1","0.5","15.6"
"4","undefined","","Saquon Barkley","NYG","at WAS","2","6","4.0","0.8","15.4"
"5","undefined","","Leonard Fournette","JAC","at ATL","5","23","6.5","3.1","15.4"
"6","undefined","","Mark Ingram","BAL","at CLE","6","14","7.7","1.7","13.8"
"7","undefined","","Nick Chubb","CLE","vs. BAL","5","17","8.1","2.0","14.4"
"8","undefined","","Joe Mixon","CIN","at MIA","2","24","8.2","3.2","12.2"
"9","undefined","","Marlon Mack","IND","vs. CAR","3","17","8.8","2.7","12.6"
"10","undefined","","Alvin Kamara","NO","at TEN","6","17","9.9","2.2","12.9"
"11","undefined","","Miles Sanders","PHI","vs. DAL","7","16","11.8","2.0","13.6"
"12","undefined","","Aaron Jones","GB","at MIN","9","20","12.5","1.9","12.2"
"13","undefined","","Melvin Gordon","LAC","vs. OAK","4","18","12.6","2.4","12.7"
"14","undefined","","Austin Ekeler","LAC","vs. OAK","9","25","13.5","2.5","12.7"
"15","undefined","","Devonta Freeman","ATL","vs. JAC","5","23","15.1","3.6","12.2"
"16","undefined","","Mike Boone","MIN","vs. GB","5","22","15.5","2.3","11.9"
"17","undefined","","Todd Gurley","LAR","at SF","9","23","15.9","2.3","11.0"
"18","undefined","","Phillip Lindsay","DEN","vs. DET","7","23","17.5","2.5","11.1"
"19","undefined","","Kenyan Drake","ARI","at SEA","12","24","20.3","1.6","11.4"
"20","undefined","","Adrian Peterson","WAS","vs. NYG","15","26","20.8","2.5","12.2"
"21","undefined","","Raheem Mostert","SF","vs. LAR","9","28","20.9","2.2","10.8"
"22","undefined","","DeAndre Washington","OAK","at LAC","16","40","21.4","2.7","11.2"
"23","undefined","","James Conner","PIT","at NYJ","10","25","21.8","2.6","11.3"
"24","undefined","","Le'Veon Bell","NYJ","vs. PIT","18","29","23.1","2.1","11.5"
"25","undefined","","Devin Singletary","BUF","at NE","20","30","25.3","1.6","9.9"
"26","undefined","","David Montgomery","CHI","vs. KC","21","33","25.5","1.8","9.5"
