"Player","Team","REC","YDS","TDS","FL","FPTS"
"","high","2.5","30.0","0.3","0.0","4.4"
"","low","0.7","7.9","0.0","0.0","1.3"
"Harrison Bryant","CLE","1.7","18.7","0.1","0.0","2.6"
"","high","2.0","22.4","0.2","0.0","3.1"
"","low","1.5","16.2","0.1","0.0","2.2"
"Kaden Smith","NYG","1.9","18.3","0.1","0.0","2.4"
"","high","3.3","37.3","0.2","0.0","4.8"
"","low","0.7","5.3","0.0","0.0","0.5"
"Taysom Hill","NO","1.4","15.2","0.1","0.0","2.3"
"","high","2.1","22.2","0.2","0.0","5.2"
"","low","0.7","8.2","0.1","0.0","3.0"
"James O'Shaughnessy","JAC","1.6","16.7","0.1","0.0","2.2"
"","high","1.9","20.7","0.2","0.0","3.0"
"","low","1.0","9.9","0.0","0.0","1.5"
"Gerald Everett","LAR","1.4","16.3","0.1","0.0","2.2"
"","high","2.5","26.1","0.2","0.0","3.8"
"","low","0.0","5.0","0.0","0.0","0.5"
"Reggie Gilliam","BUF","1.3","14.1","0.1","0.0","2.2"
"","high","1.8","18.2","0.2","0.0","2.7"
"","low","0.9","10.0","0.1","0.0","1.3"
"Ryan Griffin","NYJ","1.6","16.0","0.1","0.0","2.1"
"","high","2.2","21.3","0.2","0.0","3.1"
"","low","0.8","9.3","0.0","0.0","1.2"
"Nick Boyle","BAL","1.8","16.7","0.1","0.0","2.1"
"","high","2.6","23.0","0.2","0.0","2.9"
"","low","1.0","10.8","0.0","0.0","1.3"
"Foster Moreau","LV","1.1","12.1","0.1","0.0","2.0"
"","high","1.8","21.0","0.4","0.0","4.2"
"","low","0.9","8.8","0.0","0.0","1.3"
"Tyler Kroft","BUF","1.5","15.9","0.1","0.0","2.0"
"","high","3.0","29.0","0.1","0.0","2.9"
"","low","0.3","2.8","0.0","0.0","0.4"
"Blake Bell","DAL","1.3","13.8","0.1","0.0","1.9"
"","high","1.7","19.0","0.2","0.0","2.8"
"","low","1.0","10.5","0.0","0.0","1.5"
"Jace Sternberger","GB","1.3","13.9","0.1","0.0","1.9"
"","high","2.2","24.4","0.1","0.0","1.8"
"","low","1.0","10.4","0.1","0.0","1.5"
"Josh Hill","NO","1.3","13.5","0.1","0.0","1.8"
"","high","1.8","17.6","0.1","0.0","2.2"
"","low","1.0","9.7","0.0","0.0","1.6"
"Noah Togiai","IND","1.2","12.3","0.1","0.0","1.8"
"","high","2.1","23.0","0.2","0.0","3.6"
"","low","0.7","6.4","0.0","0.0","1.2"
"Vance McDonald","PIT","1.3","13.5","0.1","0.0","1.8"
"","high","1.9","22.0","0.1","0.0","2.7"
"","low","0.0","3.0","0.0","0.0","0.3"
"Jason Witten","LV","1.5","14.2","0.1","0.0","1.8"
"","high","2.5","23.4","0.1","0.0","3.0"
"","low","0.7","5.6","0.0","0.0","0.6"
"Josiah Deguara","GB","1.1","11.3","0.1","0.0","1.7"
"","high","1.1","11.3","0.1","0.0","1.7"
"","low","1.1","11.3","0.1","0.0","1.7"
"Ross Dwelley","SF","1.1","11.3","0.1","0.0","1.7"
"","high","1.9","15.4","0.2","0.0","2.6"
"","low","0.6","5.2","0.0","0.0","1.1"
"Marcedes Lewis","GB","1.1","11.3","0.1","0.0","1.6"
"","high","1.4","15.0","0.1","0.0","2.4"
"","low","0.7","7.5","0.0","0.0","1.7"
"MyCole Pruitt","TEN","0.9","9.7","0.1","0.0","1.5"
"","high","1.3","13.9","0.3","0.0","3.2"
"","low","0.4","5.0","0.0","0.0","0.7"
"Cole Kmet","CHI","1.0","10.6","0.1","0.0","1.5"
"","high","2.0","21.4","0.2","0.0","3.3"
"","low","0.6","5.6","0.0","0.1","0.8"
"Nick Vannett","DEN","1.1","10.3","0.1","0.0","1.4"
"","high","2.1","19.0","0.1","0.0","2.6"
"","low","0.5","4.4","0.0","0.0","0.6"
"Farrod Green","IND","0.7","7.0","0.1","0.0","1.3"
"","high","0.8","8.0","0.1","0.0","1.4"
"","low","0.6","6.0","0.1","0.0","1.0"
"Donald Parham Jr.","LAC","0.6","6.5","0.1","0.0","1.3"
"","high","0.6","6.5","0.1","0.0","1.3"
"","low","0.6","6.5","0.1","0.0","1.3"
"Demetrius Harris","CHI","0.8","7.8","0.1","0.0","1.2"
"","high","1.2","11.9","0.2","0.0","2.4"
"","low","0.5","5.9","0.0","0.0","1.0"
"Adam Shaheen","MIA","0.9","9.3","0.1","0.0","1.2"
"","high","1.3","13.7","0.1","0.0","2.0"
"","low","0.7","7.4","0.0","0.1","1.0"
"Virgil Green","LAC","0.7","7.9","0.1","0.0","1.1"
"","high","1.0","9.7","0.1","0.0","1.6"
"","low","0.5","4.8","0.0","0.0","0.7"
"Cethan Carter","CIN","0.9","8.3","0.1","0.0","1.1"
"","high","1.8","16.0","0.1","0.0","2.1"
"","low","0.1","1.4","0.0","0.0","1.1"
"Jacob Hollister","SEA","0.8","8.2","0.0","0.0","1.1"
"","high","1.0","12.0","0.1","0.0","1.6"
"","low","0.5","4.9","0.0","0.0","0.8"
"Jesse James","DET","0.9","8.8","0.0","0.0","1.1"
"","high","2.1","19.0","0.1","0.0","2.2"
"","low","0.1","0.6","0.0","0.0","0.1"
"Chris Manhertz","CAR","0.8","8.3","0.0","0.0","1.0"
"","high","1.2","12.0","0.1","0.0","1.4"
"","low","0.5","5.0","0.0","0.0","0.7"
"Mason Schreck","CIN","0.8","7.8","0.0","0.0","1.0"
"","high","1.2","12.5","0.1","0.0","1.7"
"","low","0.4","3.0","0.0","0.0","0.4"
"Stephen Carlson","CLE","0.5","5.8","0.1","0.0","1.0"
"","high","0.8","10.0","0.1","0.0","1.4"
"","low","0.1","1.2","0.0","0.0","0.8"
"Cameron Brate","TB","0.8","7.7","0.0","0.0","0.9"
"","high","1.8","19.1","0.1","0.0","1.2"
"","low","0.3","2.3","0.0","0.0","0.4"
"Charlie Woerner","SF","0.5","6.7","0.0","0.0","0.9"
"","high","0.6","8.0","0.1","0.0","1.2"
"","low","0.5","5.9","0.0","0.0","1.0"
"Levine Toilolo","NYG","0.6","6.8","0.0","0.0","0.9"
"","high","1.7","17.4","0.1","0.0","2.3"
"","low","0.1","1.4","0.0","0.0","0.4"
"Marcus Baugh","WAS","0.7","7.6","0.0","0.0","0.9"
"","high","0.9","10.0","0.1","0.0","1.3"
"","low","0.6","6.4","0.0","0.0","0.9"
"Adam Trautman","NO","0.6","6.9","0.0","0.0","0.8"
"","high","1.2","13.6","0.1","0.0","1.4"
"","low","0.1","0.8","0.0","0.0","0.1"
"Zach Gentry","PIT","0.5","4.7","0.1","0.0","0.8"
"","high","0.7","6.4","0.1","0.0","1.2"
"","low","0.3","3.0","0.0","0.0","0.4"
"Ricky Seals-Jones","KC","0.4","4.9","0.1","0.0","0.8"
"","high","0.7","9.2","0.1","0.0","1.5"
"","low","0.1","0.6","0.0","0.0","0.1"
"Devin Asiasi","NE","0.5","5.7","0.0","0.0","0.7"
"","high","0.9","10.3","0.1","0.0","1.3"
"","low","0.1","0.5","0.0","0.0","0.1"
"Andrew Beck","DEN","0.4","4.2","0.1","0.0","0.7"
"","high","0.4","4.4","0.1","0.0","1.0"
"","low","0.4","4.0","0.0","0.0","0.6"
"Brycen Hopkins","LAR","0.7","7.0","0.0","0.0","0.7"
"","high","0.7","7.0","0.0","0.0","0.7"
"","low","0.7","7.0","0.0","0.0","0.7"
"Jaeden Graham","ATL","0.4","4.8","0.0","0.0","0.7"
"","high","0.9","12.4","0.1","0.0","1.8"
"","low","0.1","0.6","0.0","0.0","0.1"
"Jakob Johnson","NE","0.1","0.7","0.1","0.0","0.7"
"","high","0.1","0.7","0.1","0.0","0.7"
"","low","0.1","0.7","0.1","0.0","0.7"
"Darrell Daniels","ARI","0.5","5.2","0.0","0.0","0.7"
"","high","0.6","7.0","0.1","0.0","1.1"
"","low","0.4","4.2","0.0","0.0","0.5"
"Luke Willson","SEA","0.4","3.7","0.0","0.0","0.6"
"","high","0.7","6.8","0.1","0.0","1.3"
"","low","0.1","1.0","0.0","0.0","0.1"
"John Lovett","GB","0.5","6.0","0.0","0.0","0.6"
"","high","0.5","6.0","0.0","0.0","0.8"
"","low","0.5","6.0","0.0","0.0","0.8"
"Jake Butt","DEN","0.6","5.4","0.0","0.0","0.6"
"","high","0.9","9.0","0.0","0.0","1.0"
"","low","0.4","3.3","0.0","0.0","0.3"
"Lee Smith","BUF","0.3","3.1","0.0","0.0","0.6"
"","high","0.9","9.2","0.1","0.0","1.4"
"","low","0.1","0.0","0.0","0.0","0.1"
"Albert Okwuegbunam","DEN","0.6","5.4","0.0","0.0","0.5"
"","high","0.6","5.4","0.0","0.0","0.5"
"","low","0.6","5.4","0.0","0.0","0.5"
"Richard Rodgers","PHI","0.3","3.2","0.0","0.0","0.5"
"","high","0.7","8.1","0.1","0.0","1.4"
"","low","0.1","0.5","0.0","0.0","0.1"
"Ben Ellefson","JAC","0.4","5.0","0.0","0.0","0.5"
"","high","0.4","5.0","0.0","0.0","0.7"
"","low","0.4","5.0","0.0","0.0","0.7"
"Nick Keizer","KC","0.4","4.5","0.0","0.0","0.4"
"","high","0.6","7.0","0.0","0.0","0.3"
"","low","0.2","2.0","0.0","0.0","0.3"
"Jordan Thomas","ARI","0.3","2.7","0.0","0.0","0.4"
"","high","0.7","7.2","0.1","0.0","1.3"
"","low","0.1","0.5","0.0","0.0","0.1"
"Jordan Franks","PHI","0.3","3.0","0.0","0.0","0.4"
"","high","0.3","3.0","0.0","0.0","0.4"
"","low","0.3","3.0","0.0","0.0","0.4"
"Derek Carrier","LV","0.3","2.0","0.0","0.0","0.4"
"","high","0.7","5.6","0.1","0.0","1.2"
"","low","0.1","0.0","0.0","0.0","0.1"
"Stephen Anderson","LAC","0.3","3.8","0.0","0.0","0.4"
"","high","0.6","7.0","0.0","0.0","0.4"
"","low","0.0","0.5","0.0","0.0","0.1"
"Durham Smythe","MIA","0.4","3.6","0.0","0.0","0.4"
"","high","0.7","6.9","0.0","0.0","0.7"
"","low","0.1","0.5","0.0","0.0","0.1"
"Luke Stocker","ATL","0.4","3.4","0.0","0.0","0.4"
"","high","0.6","5.2","0.0","0.0","0.8"
"","low","0.1","0.7","0.0","0.0","0.1"
"J.P. Holtz","CHI","0.3","3.6","0.0","0.0","0.4"
"","high","0.7","8.2","0.0","0.0","0.8"
"","low","0.1","0.5","0.0","0.0","0.1"
"Pharaoh Brown","HOU","0.3","3.5","0.0","0.0","0.4"
"","high","0.6","6.6","0.0","0.0","0.7"
"","low","0.0","0.5","0.0","0.0","0.1"
"Tyler Conklin","MIN","0.4","3.4","0.0","0.0","0.3"
"","high","0.6","5.0","0.0","0.0","0.5"
"","low","0.1","0.5","0.0","0.0","0.1"
"Geoff Swaim","TEN","0.3","3.0","0.0","0.0","0.3"
"","high","0.6","5.2","0.0","0.0","0.5"
"","low","0.1","0.7","0.0","0.0","0.1"
"Trevon Wesco","NYJ","0.3","2.8","0.0","0.0","0.3"
"","high","0.4","5.1","0.0","0.0","0.5"
"","low","0.1","0.5","0.0","0.0","0.3"
"Jeremy Sprinkle","WAS","0.2","2.2","0.0","0.0","0.2"
"","high","0.6","5.3","0.0","0.0","0.5"
"","low","0.0","0.4","0.0","0.0","0.1"
"Sean McKeon","DAL","0.2","2.1","0.0","0.0","0.2"
"","high","0.2","3.0","0.0","0.0","0.4"
"","low","0.1","1.2","0.0","0.0","0.4"
"Deon Yelder","KC","0.2","1.9","0.0","0.0","0.2"
"","high","0.3","3.2","0.0","0.0","0.3"
"","low","0.0","0.4","0.0","0.0","0.1"
"Cole Hikutini","DAL","0.1","0.9","0.0","0.0","0.1"
"","high","0.1","0.9","0.0","0.0","0.1"
"","low","0.1","0.9","0.0","0.0","0.1"
"Jason Croom","BUF","0.1","0.7","0.0","0.0","0.1"
"","high","0.1","0.7","0.0","0.0","0.1"
"","low","0.1","0.7","0.0","0.0","0.1"
"Tommy Sweeney","BUF","0.1","0.7","0.0","0.0","0.1"
"","high","0.1","0.7","0.0","0.0","0.1"
"","low","0.1","0.7","0.0","0.0","0.1"
"Isaac Nauta","DET","0.1","0.6","0.0","0.0","0.1"
"","high","0.1","0.6","0.0","0.0","0.1"
"","low","0.1","0.6","0.0","0.0","0.1"
"Patrick Scales","CHI","0.1","1.0","0.0","0.0","0.1"
"","high","0.1","1.0","0.0","0.0","0.1"
"","low","0.1","1.0","0.0","0.0","0.1"
"Kahale Warring","HOU","0.1","1.0","0.0","0.0","0.1"
"","high","0.1","1.0","0.0","0.0","0.2"
"","low","0.1","1.0","0.0","0.0","0.2"
"Johnny Mundt","LAR","0.1","0.7","0.0","0.0","0.1"
"","high","0.1","1.0","0.0","0.0","0.2"
"","low","0.1","0.5","0.0","0.0","0.1"
"Troy Fumagalli","HOU","0.1","0.6","0.0","0.0","0.1"
"","high","0.1","0.6","0.0","0.0","0.1"
"","low","0.1","0.6","0.0","0.0","0.1"
"Antony Auclair","TB","0.1","0.5","0.0","0.0","0.1"
"","high","0.1","0.5","0.0","0.0","0.1"
"","low","0.1","0.5","0.0","0.0","0.1"
"Eric Saubert","JAC","0.1","0.5","0.0","0.0","0.1"
"","high","0.1","0.5","0.0","0.0","0.1"
