"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","20.1","99.2","0.8","6.1","52.2","0.3","0.2","21.3"
"","high","23.7","118.0","1.0","7.0","59.0","0.5","0.1","22.6"
"","low","14.7","68.4","0.6","5.2","45.0","0.0","0.2","21.5"
"Dalvin Cook","MIN","17.9","84.6","0.7","4.8","41.1","0.1","0.2","16.9"
"","high","19.8","92.5","1.0","5.4","46.9","0.2","0.1","19.0"
"","low","14.7","64.0","0.4","3.9","36.0","0.0","0.2","12.9"
"Ezekiel Elliott","DAL","20.4","90.0","0.6","3.0","25.3","0.1","0.2","15.6"
"","high","21.2","94.0","1.0","3.3","27.0","0.1","0.1","17.0"
"","low","19.0","83.0","0.5","2.8","23.5","0.0","0.2","14.7"
"Alvin Kamara","NO","12.5","60.1","0.5","6.3","50.6","0.2","0.1","15.0"
"","high","14.0","65.0","1.0","7.5","53.9","0.3","0.0","17.4"
"","low","10.3","55.1","0.2","5.2","49.0","0.0","0.2","13.3"
"Leonard Fournette","JAC","18.2","74.9","0.6","4.8","33.0","0.1","0.2","14.8"
"","high","22.0","87.0","1.0","5.9","40.0","0.2","0.1","18.1"
"","low","13.0","63.5","0.3","3.3","26.8","0.0","0.2","13.5"
"Derrick Henry","TEN","19.1","88.1","0.7","1.6","13.7","0.1","0.1","14.6"
"","high","24.0","104.0","1.0","2.0","15.0","0.1","0.1","17.9"
"","low","15.3","75.9","0.4","1.3","12.7","0.0","0.2","12.4"
"Le'Veon Bell","NYJ","17.5","70.9","0.6","4.8","38.8","0.1","0.2","14.5"
"","high","19.1","80.0","1.0","5.2","42.0","0.2","0.1","16.3"
"","low","15.0","65.8","0.3","4.4","36.5","0.0","0.2","13.4"
"Saquon Barkley","NYG","16.1","72.4","0.5","4.6","36.5","0.1","0.1","14.4"
"","high","17.4","78.1","1.0","5.3","44.9","0.2","0.0","15.9"
"","low","15.0","66.0","0.3","3.0","25.0","0.0","0.2","13.3"
"Josh Jacobs","OAK","18.2","84.6","0.6","2.3","18.3","0.1","0.1","14.3"
"","high","25.0","103.0","1.0","3.5","25.0","0.2","0.1","18.1"
"","low","14.4","67.5","0.4","0.9","9.7","0.0","0.2","12.9"
"Todd Gurley","LAR","17.2","73.0","0.7","2.9","24.4","0.1","0.1","14.2"
"","high","20.0","87.0","1.0","3.5","27.0","0.2","0.1","17.4"
"","low","15.6","66.2","0.4","2.6","21.0","0.0","0.2","11.9"
"Aaron Jones","GB","14.0","65.0","0.7","3.1","27.5","0.1","0.1","14.1"
"","high","17.0","78.0","1.0","3.7","34.0","0.2","0.1","16.4"
"","low","11.5","51.0","0.4","2.6","22.2","0.0","0.1","12.7"
"Nick Chubb","CLE","17.7","84.6","0.6","2.2","16.9","0.1","0.2","13.9"
"","high","19.3","95.0","1.0","2.9","21.5","0.2","0.1","16.0"
"","low","14.6","69.8","0.4","1.5","11.1","0.0","0.2","12.8"
"Melvin Gordon","LAC","17.1","71.3","0.6","2.6","21.2","0.1","0.1","13.3"
"","high","18.0","82.0","1.0","3.7","27.0","0.2","0.1","16.9"
"","low","16.4","60.5","0.4","1.6","12.0","0.0","0.2","11.1"
"Mark Ingram","BAL","14.1","67.5","0.6","2.0","14.9","0.1","0.1","12.2"
"","high","17.0","72.0","1.0","3.1","22.5","0.2","0.1","14.6"
"","low","12.4","62.0","0.4","1.3","11.0","0.0","0.2","10.0"
"Phillip Lindsay","DEN","14.0","66.3","0.5","2.6","19.3","0.1","0.1","11.9"
"","high","18.1","82.9","1.0","3.4","30.0","0.1","0.1","14.4"
"","low","11.3","56.0","0.4","2.0","13.9","0.0","0.2","10.5"
"Miles Sanders","PHI","12.0","58.4","0.4","2.9","31.7","0.1","0.1","11.6"
"","high","17.8","75.1","1.0","4.0","42.5","0.2","0.1","15.2"
"","low","6.4","45.0","0.1","2.4","26.6","0.0","0.2","8.9"
"Chris Carson","SEA","14.3","63.5","0.5","2.6","18.9","0.1","0.2","11.3"
"","high","17.4","72.9","1.0","3.0","21.0","0.1","0.1","14.0"
"","low","12.2","59.0","0.3","2.3","16.8","0.0","0.3","10.3"
"Jonathan Williams","IND","15.7","65.0","0.5","1.7","11.8","0.0","0.1","10.8"
"","high","17.7","73.0","1.0","2.8","17.6","0.1","0.1","14.9"
"","low","13.3","50.5","0.3","0.3","2.8","0.0","0.1","7.1"
"Devin Singletary","BUF","11.6","53.5","0.4","2.9","24.0","0.1","0.1","10.7"
"","high","14.0","65.0","1.0","4.2","39.4","0.2","0.1","13.7"
"","low","7.9","38.3","0.3","2.0","16.0","0.0","0.2","9.3"
"Joe Mixon","CIN","17.2","68.2","0.3","2.2","16.9","0.1","0.1","10.3"
"","high","19.0","77.8","0.4","2.7","20.6","0.2","0.1","12.3"
"","low","14.5","47.2","0.0","2.0","15.0","0.0","0.2","9.2"
"David Montgomery","CHI","15.5","58.7","0.4","2.0","16.9","0.0","0.1","10.1"
"","high","18.5","71.0","0.8","2.4","23.0","0.1","0.1","12.0"
"","low","14.0","43.1","0.0","1.6","13.1","0.0","0.2","8.1"
"Kenyan Drake","ARI","12.4","50.4","0.4","3.1","23.4","0.1","0.1","9.9"
"","high","16.0","63.0","1.0","3.8","29.1","0.1","0.1","14.2"
"","low","9.1","40.0","0.2","2.0","19.0","0.0","0.2","7.8"
"Sony Michel","NE","15.2","59.6","0.5","1.0","8.2","0.0","0.1","9.9"
"","high","17.9","70.0","1.0","2.8","17.2","0.1","0.1","11.7"
"","low","13.1","50.4","0.3","0.0","3.0","0.0","0.2","8.0"
"LeSean McCoy","KC","11.2","47.4","0.4","2.6","20.4","0.1","0.1","9.5"
"","high","14.0","59.0","1.0","3.3","28.0","0.1","0.1","13.6"
"","low","8.2","36.0","0.1","1.8","15.5","0.0","0.1","8.0"
"Devonta Freeman","ATL","12.4","48.0","0.2","3.3","25.7","0.1","0.1","8.8"
"","high","14.0","58.5","0.3","4.0","31.9","0.2","0.1","11.4"
"","low","11.0","38.0","0.0","2.0","16.0","0.0","0.2","7.0"
"Tarik Cohen","CHI","6.5","25.8","0.1","4.5","35.8","0.4","0.1","8.7"
"","high","7.0","30.0","0.2","5.1","48.0","1.0","0.1","12.9"
"","low","5.5","21.8","0.0","3.9","28.3","0.2","0.1","7.1"
"Tevin Coleman","SF","12.4","51.8","0.2","2.3","17.3","0.1","0.1","8.7"
"","high","15.0","64.0","0.3","3.2","22.1","0.1","0.1","9.3"
"","low","11.1","47.0","0.0","0.9","8.3","0.0","0.1","8.0"
"Ronald Jones II","TB","12.1","50.0","0.3","2.4","19.1","0.1","0.1","8.6"
"","high","13.3","57.4","0.4","3.0","22.6","0.1","0.1","9.2"
"","low","10.7","45.7","0.0","2.1","16.0","0.0","0.1","6.7"
"James White","NE","6.1","24.6","0.1","4.3","36.2","0.3","0.1","8.4"
"","high","11.0","45.3","0.2","5.0","44.0","1.0","0.1","13.0"
"","low","3.7","15.3","0.0","3.1","19.1","0.0","0.1","7.3"
"Austin Ekeler","LAC","5.8","25.9","0.1","4.2","39.4","0.2","0.1","8.3"
"","high","6.9","35.2","0.2","5.0","43.8","0.4","0.1","10.5"
"","low","4.5","19.0","0.0","3.5","30.0","0.0","0.1","6.3"
"Bo Scarbrough","DET","15.1","60.7","0.3","0.9","5.9","0.0","0.2","8.0"
"","high","17.4","74.0","0.4","2.8","17.1","0.1","0.1","9.5"
"","low","13.1","49.9","0.0","0.0","0.0","0.0","0.3","5.4"
"Carlos Hyde","HOU","13.7","60.8","0.2","1.1","7.2","0.0","0.1","8.0"
"","high","16.9","72.7","0.3","3.2","20.6","0.1","0.1","9.4"
"","low","11.0","49.0","0.0","0.0","0.0","0.0","0.2","5.2"
"Jamaal Williams","GB","9.8","40.6","0.1","3.0","22.2","0.1","0.1","7.8"
"","high","11.3","49.0","0.3","3.5","27.0","0.3","0.1","9.6"
"","low","7.7","31.4","0.0","2.6","18.9","0.0","0.1","5.9"
"Latavius Murray","NO","10.4","42.8","0.3","2.2","15.2","0.1","0.1","7.7"
"","high","11.0","45.9","0.7","3.1","20.0","0.1","0.1","10.8"
"","low","9.0","36.0","0.0","1.0","11.0","0.0","0.1","4.7"
"Benny Snell Jr.","PIT","12.8","54.2","0.2","1.4","9.3","0.0","0.1","7.5"
"","high","14.9","62.6","0.3","2.6","17.4","0.1","0.1","10.0"
"","low","10.0","39.5","0.0","0.5","3.8","0.0","0.1","5.5"
"Derrius Guice","WAS","10.7","44.2","0.1","2.5","18.0","0.0","0.1","7.0"
"","high","13.0","51.0","0.2","4.0","24.0","0.1","0.1","8.3"
"","low","8.3","36.0","0.0","1.6","13.0","0.0","0.1","5.7"
"Kareem Hunt","CLE","7.3","31.9","0.1","3.2","27.4","0.1","0.1","7.0"
"","high","11.4","48.6","0.2","4.0","35.0","0.1","0.1","7.9"
"","low","6.0","27.0","0.0","2.6","20.5","0.0","0.1","6.2"
"Royce Freeman","DEN","8.6","37.9","0.1","2.4","15.8","0.0","0.1","6.2"
"","high","10.5","47.2","0.2","3.4","28.0","0.1","0.1","8.6"
"","low","6.6","27.8","0.0","1.0","8.0","0.0","0.1","4.3"
"Rashaad Penny","SEA","9.3","43.2","0.2","1.1","9.0","0.0","0.1","6.1"
"","high","11.0","50.6","0.3","2.6","16.1","0.1","0.1","6.7"
"","low","7.3","34.0","0.0","0.0","3.6","0.0","0.1","5.2"
"Adrian Peterson","WAS","11.7","45.6","0.1","1.5","10.3","0.0","0.1","6.0"
"","high","17.3","59.6","0.2","2.0","14.0","0.0","0.1","6.4"
"","low","9.6","38.5","0.0","0.9","7.7","0.0","0.2","5.6"
"Duke Johnson","HOU","5.5","25.6","0.1","3.0","27.6","0.1","0.1","5.9"
"","high","6.2","33.3","0.1","3.9","38.1","0.1","0.0","6.7"
"","low","4.5","18.0","0.0","2.2","21.2","0.0","0.1","5.0"
"Darrel Williams","KC","8.8","33.3","0.2","1.5","12.8","0.0","0.1","5.7"
"","high","12.3","47.1","0.4","2.7","15.0","0.1","0.1","7.8"
"","low","4.7","15.0","0.0","0.8","11.0","0.0","0.1","4.5"
"Kalen Ballage","MIA","10.3","35.6","0.1","2.1","13.9","0.0","0.1","5.7"
"","high","12.2","45.3","0.3","2.8","19.0","0.1","0.1","7.3"
"","low","7.6","26.0","0.0","1.7","9.4","0.0","0.1","5.0"
"Jaylen Samuels","PIT","5.0","18.8","0.1","4.3","28.2","0.1","0.1","5.5"
"","high","7.2","30.3","0.2","5.6","36.0","0.2","0.1","7.0"
"","low","1.7","6.0","0.0","3.3","21.4","0.0","0.1","4.2"
"Nyheim Hines","IND","4.9","18.3","0.1","3.9","29.0","0.0","0.1","5.4"
"","high","6.0","21.8","0.2","5.0","38.0","0.1","0.0","6.9"
"","low","4.0","15.0","0.0","3.0","23.0","0.0","0.1","3.8"
"Peyton Barber","TB","9.0","34.5","0.1","1.4","8.9","0.0","0.1","5.2"
"","high","12.0","43.0","0.3","3.2","17.5","0.1","0.1","6.6"
"","low","5.0","21.0","0.0","0.7","3.9","0.0","0.1","2.7"
"Frank Gore","BUF","9.3","36.6","0.1","1.4","9.2","0.0","0.1","4.9"
"","high","10.4","40.0","0.2","3.1","16.9","0.0","0.1","5.6"
