"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"32","Marquez Valdes-Scantling","GB","wr","11","@SF","2.4","0","0","0","0","0","0","0","0","0","1.5681","0.9074","12.0991","0.0447","0.0033","0.0016","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Blake Bell","KC","te","12","TEN","2.2","0","0","0","0","0","0","0","0","0","1.2696","0.8888","8.3473","0.0703","0.0035","0.0018","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Marcedes Lewis","GB","te","11","@SF","2.1","0","0","0","0","0","0","0","0","0","1.1669","0.8157","9.3023","0.0582","0.0029","0.0014","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Jake Kumerow","GB","wr","11","@SF","1.4","0","0","0","0","0","0","0","0","0","0.798","0.5176","7.2524","0.0318","0.0023","0.0012","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","MyCole Pruitt","TEN","te","11","@KC","1.7","0","0","0","0","0","0","0","0","0","0.9685","0.688","7.4071","0.0496","0.0028","0.0014","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Robert Tonyan","GB","te","11","@SF","1.4","0","0","0","0","0","0","0","0","0","0.7722","0.5435","6.5574","0.0379","0.0022","0.0011","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Ryan Tannehill","TEN","qb","11","@KC","17.2","19.6131","33.2808","236.7158","1.3472","0.8417","3.2135","4.8105","20.9934","0.2015","0","0","0","0","0.5252","0.2626","0.0926","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Khari Blasingame","TEN","rb","11","@KC","0.5","0","0","0","0","0","0","0","0","0","0.3195","0.2406","1.6441","0.0077","0.0011","0.0006","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Jimmy Garoppolo","SF","qb","4","GB","16.7","23.0962","33.1397","254.8464","1.5859","0.8255","3.629","2.8506","6.203","0.0707","0","0","0","0","0.3333","0.1667","0.0584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Deon Yelder","KC","te","12","TEN","0.5","0","0","0","0","0","0","0","0","0","0.2716","0.1884","2.1109","0.0187","0.0013","0.0006","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","Aaron Rodgers","GB","qb","11","@SF","16.5","22.8154","35.3782","243.3135","1.2814","0.3941","3.251","5.0609","15.2372","0.086","0","0","0","0","0.329","0.1645","0.0591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Ross Dwelley","SF","te","4","GB","0.4","0","0","0","0","0","0","0","0","0","0.2227","0.1651","1.5787","0.0136","0.0007","0.0003","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","Tyler Ervin","GB","rb","11","@SF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.028","0.014","0","29.7071","0.0123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Adam Humphries","TEN","wr","11","@KC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0082","0.0041","0","5.011","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Richie James Jr.","SF","wr","4","GB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0469","0.0235","0","61.8949","0.0304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Greg Joseph","TEN","k","11","@KC","9.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2296","0.2338","0.6506","0.6724","0.6123","0.8472","0.3444","0.607","2.2606","2.519","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Harrison Butker","KC","k","12","TEN","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4294","0.4294","0.4532","0.4799","0.4771","0.5429","0.2385","0.3976","3.2577","3.4107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Robbie Gould","SF","k","4","GB","8.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4867","0.5061","0.6083","0.6452","0.5596","0.6296","0.146","0.2433","2.6169","2.7518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Mason Crosby","GB","k","11","@SF","8.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0274","0.0274","0.1644","0.1644","0.6027","0.6813","0.6301","0.7733","0.2739","0.5088","2.1471","2.2474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Chiefs DST","KC","dst","12","TEN","8.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2135","0.0418","0.8417","0.8885","0.4443","0.2878","71.3576","0.035","0.01","0.0322","0.1104","0.2199","0.2736","0.2126","0.1412","0","0","0","0","0","0","0","0","0","0"
"52","Packers DST","GB","dst","11","@SF","7.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.629","0.0468","0.8255","0.6537","0.3268","0.2413","71.5356","0.0214","0.0086","0.0266","0.0914","0.1904","0.2586","0.2288","0.1957","0","0","0","0","0","0","0","0","0","0"
"53","49ers DST","SF","dst","4","GB","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.251","0.039","0.3941","0.6032","0.3016","0.1869","61.8949","0.0304","0.0158","0.0448","0.1371","0.2427","0.2685","0.1855","0.1056","0","0","0","0","0","0","0","0","0","0"
"54","Titans DST","TEN","dst","11","@KC","4.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.441","0.0461","0.741","0.8344","0.4172","0.3356","61.1681","0.0227","0.0027","0.0107","0.0475","0.1283","0.226","0.2593","0.3255","0","0","0","0","0","0","0","0","0","0"
