"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mike Davis","CAR","12.3","49.6","0.2","3.9","25.6","0.1","0.1","9.2"
"","high","15.6","63.1","0.4","5.7","37.0","0.2","0.1","11.2"
"","low","9.3","36.8","0.0","2.5","15.6","0.0","0.2","7.2"
"Joshua Kelley","LAC","13.0","51.1","0.3","1.3","11.0","0.0","0.1","8.2"
"","high","14.2","61.0","0.6","2.8","18.0","0.1","0.0","10.7"
"","low","12.1","33.6","0.0","0.2","2.4","0.0","0.2","5.9"
"Darrell Henderson","LAR","10.7","41.8","0.3","1.7","14.4","0.0","0.1","7.8"
"","high","14.0","56.0","1.0","2.6","20.0","0.1","0.0","13.6"
"","low","6.0","16.1","0.1","0.7","4.6","0.0","0.1","2.9"
"Malcolm Brown","LAR","9.9","44.4","0.3","1.9","13.9","0.1","0.1","7.7"
"","high","10.1","53.8","0.5","3.3","28.0","0.2","0.0","9.5"
"","low","9.5","38.0","0.0","1.0","7.5","0.0","0.1","5.8"
"Myles Gaskin","MIA","8.2","36.9","0.2","3.4","24.3","0.1","0.1","7.4"
"","high","10.2","49.6","0.3","6.0","33.0","0.1","0.0","8.1"
"","low","7.5","30.0","0.0","2.5","15.5","0.0","0.1","6.8"
"Frank Gore","NYJ","14.0","50.8","0.2","1.5","10.8","0.0","0.1","7.2"
"","high","15.0","57.8","0.3","1.9","16.2","0.1","0.0","9.0"
"","low","12.7","42.3","0.0","1.0","4.0","0.0","0.2","5.9"
"Sony Michel","NE","11.4","45.2","0.3","0.8","5.1","0.0","0.1","6.8"
"","high","15.9","61.3","0.6","1.5","9.2","0.1","0.0","8.6"
"","low","6.7","28.0","0.0","0.0","0.0","0.0","0.1","3.8"
"Ronald Jones II","TB","11.0","39.4","0.2","1.6","12.2","0.0","0.1","6.6"
"","high","13.4","48.0","0.4","2.0","17.8","0.1","0.0","8.9"
"","low","9.0","27.5","0.0","1.0","7.8","0.0","0.1","4.7"
"Adrian Peterson","DET","10.9","45.8","0.2","1.1","8.3","0.0","0.1","6.6"
"","high","15.9","58.1","0.4","1.8","12.0","0.1","0.1","9.1"
"","low","8.9","36.0","0.0","0.3","3.0","0.0","0.2","4.4"
"Dion Lewis","NYG","8.4","34.6","0.1","2.9","20.0","0.1","0.1","6.5"
"","high","10.2","49.8","0.3","3.7","26.0","0.1","0.0","8.9"
"","low","7.0","28.0","0.0","2.1","13.3","0.0","0.1","5.4"
"Rex Burkhead","NE","6.9","25.5","0.2","2.8","24.5","0.1","0.1","6.4"
"","high","10.3","39.6","0.5","3.4","36.0","0.2","0.0","9.7"
"","low","4.0","18.0","0.0","1.6","16.5","0.0","0.1","4.1"
"Jeff Wilson Jr.","SF","11.2","40.3","0.2","1.5","10.5","0.0","0.2","6.2"
"","high","15.3","55.9","0.5","4.2","26.0","0.1","0.0","8.5"
"","low","8.3","8.2","0.0","0.5","3.8","0.0","0.4","1.7"
"Latavius Murray","NO","8.5","35.6","0.2","1.6","11.7","0.0","0.1","6.2"
"","high","10.8","46.6","0.4","3.2","18.2","0.1","0.0","7.8"
"","low","6.0","27.0","0.0","1.0","8.0","0.0","0.1","3.6"
"D'Andre Swift","DET","5.2","21.3","0.1","3.1","26.3","0.1","0.1","5.8"
"","high","7.2","30.7","0.2","4.1","32.0","0.2","0.0","6.8"
"","low","4.1","14.6","0.0","2.0","17.4","0.0","0.1","4.4"
"J.K. Dobbins","BAL","7.5","32.2","0.2","1.5","12.0","0.1","0.0","5.6"
"","high","12.4","49.4","0.3","2.8","22.0","0.1","0.0","7.2"
"","low","3.9","16.0","0.0","0.5","4.0","0.0","0.1","3.5"
"Kerryon Johnson","DET","7.6","32.6","0.2","1.4","9.6","0.0","0.1","5.3"
"","high","9.2","41.1","0.3","2.5","14.0","0.1","0.0","6.9"
"","low","6.0","25.0","0.0","0.8","6.8","0.0","0.1","3.2"
"Chase Edmonds","ARI","5.3","22.1","0.1","2.1","16.0","0.1","0.0","5.1"
"","high","8.8","41.2","0.2","2.9","19.1","0.3","0.0","6.6"
"","low","3.8","14.2","0.0","1.4","11.7","0.0","0.1","3.8"
"Tarik Cohen","CHI","5.5","20.0","0.1","2.9","21.9","0.1","0.1","5.1"
"","high","7.4","25.4","0.1","4.4","34.3","0.2","0.0","7.1"
"","low","4.1","14.0","0.0","1.0","11.0","0.0","0.1","3.4"
"Boston Scott","PHI","6.3","23.2","0.2","1.9","14.9","0.0","0.0","5.0"
"","high","10.3","35.6","0.3","2.6","22.1","0.1","0.0","5.7"
"","low","3.9","15.6","0.0","1.4","11.1","0.0","0.1","4.1"
"Alexander Mattison","MIN","6.8","30.0","0.1","1.6","12.0","0.0","0.1","4.9"
"","high","10.2","45.6","0.2","3.1","17.0","0.1","0.0","6.2"
"","low","4.7","20.2","0.0","0.6","4.3","0.0","0.1","2.9"
"Nyheim Hines","IND","3.6","14.7","0.1","2.8","21.6","0.1","0.0","4.8"
"","high","6.1","23.9","0.2","4.3","33.5","0.2","0.0","5.7"
"","low","1.0","6.0","0.0","2.0","17.0","0.0","0.1","2.3"
"Jamaal Williams","GB","5.6","21.1","0.1","2.1","15.6","0.1","0.1","4.6"
"","high","8.5","30.7","0.1","2.7","21.0","0.3","0.0","5.4"
"","low","4.1","13.0","0.0","1.3","9.5","0.0","0.1","3.5"
"Carlos Hyde","SEA","6.6","27.5","0.1","1.3","7.4","0.0","0.1","4.4"
"","high","9.6","35.9","0.2","2.9","15.0","0.1","0.0","5.5"
"","low","4.4","18.2","0.0","0.6","3.2","0.0","0.1","3.1"
"Jordan Howard","MIA","7.0","26.5","0.2","0.8","4.7","0.0","0.0","4.3"
"","high","9.4","34.9","0.4","2.9","14.6","0.0","0.0","5.8"
"","low","6.0","21.2","0.0","0.1","1.0","0.0","0.1","2.5"
"J.D. McKissic","WAS","4.7","18.8","0.1","1.8","13.3","0.1","0.0","4.1"
"","high","6.3","31.9","0.2","2.4","19.6","0.1","0.0","5.4"
"","low","3.2","9.0","0.0","1.2","9.3","0.0","0.1","2.6"
"Gus Edwards","BAL","6.6","30.7","0.1","0.6","3.5","0.0","0.0","4.0"
"","high","8.2","50.9","0.2","2.6","12.4","0.0","0.0","6.5"
"","low","4.4","21.7","0.0","0.0","0.0","0.0","0.1","2.6"
"Benny Snell Jr.","PIT","6.5","28.7","0.1","0.7","5.1","0.0","0.1","4.0"
"","high","10.1","46.8","0.2","1.0","10.0","0.1","0.0","5.5"
"","low","4.4","18.0","0.0","0.2","0.4","0.0","0.2","2.7"
"Cordarrelle Patterson","CHI","3.9","17.6","0.1","1.3","12.7","0.1","0.0","4.0"
"","high","3.9","17.6","0.1","1.3","12.7","0.1","0.0","4.0"
"","low","3.9","17.6","0.1","1.3","12.7","0.1","0.0","4.0"
"Matt Breida","MIA","6.2","25.4","0.1","1.1","7.5","0.0","0.0","3.9"
"","high","8.0","33.3","0.1","2.0","10.0","0.1","0.0","4.9"
