"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","29.1","18.7","225.1","1.4","0.5","12.4","73.5","0.6","0.2","24.3"
"","high","35.0","22.0","243.0","1.9","0.0","14.8","88.7","1.0","0.1","28.6"
"","low","24.9","15.5","196.1","1.0","0.8","10.0","53.6","0.5","0.3","22.0"
"Drew Brees","NO","35.8","26.6","292.6","2.5","0.4","1.4","2.3","0.1","0.1","21.4"
"","high","38.9","28.0","318.7","3.0","0.0","3.0","5.0","0.1","0.0","27.4"
"","low","33.0","24.5","243.0","2.2","0.7","0.0","0.0","0.0","0.1","19.9"
"Jameis Winston","TB","38.8","24.5","317.5","2.3","1.2","3.4","15.2","0.1","0.3","20.9"
"","high","45.0","27.0","395.0","3.0","1.0","4.3","18.2","0.2","0.1","28.9"
"","low","35.8","23.1","279.4","1.9","1.6","2.0","13.0","0.0","0.4","18.6"
"Patrick Mahomes","KC","36.3","24.0","305.1","2.0","0.5","2.7","11.0","0.1","0.2","20.6"
"","high","39.0","26.0","330.0","2.3","0.0","3.7","12.7","0.2","0.1","24.0"
"","low","34.3","22.6","289.0","1.6","0.7","1.6","10.0","0.0","0.2","20.0"
"Aaron Rodgers","GB","35.1","23.4","269.9","1.9","0.3","3.3","16.8","0.1","0.2","19.5"
"","high","37.0","27.0","301.0","2.0","0.0","4.0","20.0","0.2","0.1","22.9"
"","low","32.0","21.0","258.0","1.8","0.4","2.6","14.7","0.0","0.2","19.4"
"Kyler Murray","ARI","36.8","23.7","260.4","1.7","0.8","5.8","30.2","0.2","0.2","19.2"
"","high","42.0","26.0","288.0","2.0","0.6","6.4","40.0","0.3","0.2","25.4"
"","low","33.1","21.2","241.0","1.5","1.1","5.2","23.0","0.0","0.3","17.7"
"Dak Prescott","DAL","33.0","22.5","262.9","1.6","0.8","3.7","20.4","0.3","0.2","18.7"
"","high","37.0","25.0","307.0","2.0","0.6","4.0","25.0","0.5","0.1","23.8"
"","low","31.0","20.8","237.9","1.3","1.0","3.5","15.8","0.0","0.2","18.0"
"Matt Ryan","ATL","39.3","27.0","304.0","1.7","0.6","1.7","6.2","0.0","0.2","17.9"
"","high","45.0","32.0","341.0","2.0","0.0","2.5","7.3","0.1","0.1","23.2"
"","low","34.7","23.4","280.8","1.5","1.0","1.0","4.0","0.0","0.3","17.6"
"Russell Wilson","SEA","30.9","20.5","242.3","1.6","0.5","4.6","24.9","0.1","0.2","17.8"
"","high","34.0","23.0","268.0","2.0","0.0","6.0","35.0","0.2","0.1","24.9"
"","low","28.6","18.5","218.0","1.3","0.8","3.2","17.2","0.0","0.3","15.1"
"Philip Rivers","LAC","36.9","24.4","291.2","1.9","0.9","0.8","1.2","0.0","0.1","17.4"
"","high","42.0","27.0","316.0","2.0","0.8","1.7","2.2","0.0","0.1","22.6"
"","low","34.0","22.9","276.9","1.7","1.0","0.0","0.0","0.0","0.2","17.9"
"Josh Allen","BUF","31.4","19.0","222.0","1.3","0.9","7.1","35.4","0.3","0.3","16.9"
"","high","34.0","21.0","250.0","2.0","0.8","7.4","38.2","0.5","0.2","23.1"
"","low","29.7","16.9","205.6","1.0","1.1","6.7","31.4","0.0","0.3","16.1"
"Daniel Jones","NYG","34.9","22.0","247.3","1.4","1.0","4.3","21.5","0.1","0.2","16.3"
"","high","38.0","23.0","260.6","1.7","0.8","7.0","34.0","0.3","0.1","20.1"
"","low","33.0","20.1","240.0","1.0","1.0","3.1","13.0","0.0","0.3","16.9"
"Matthew Stafford","DET","36.6","23.1","277.6","1.5","0.8","2.2","8.5","0.0","0.2","16.0"
"","high","42.0","24.0","353.0","2.0","0.6","2.8","14.0","0.1","0.1","22.7"
"","low","33.8","22.2","242.0","1.2","1.2","1.0","4.0","0.0","0.3","13.6"
"Kirk Cousins","MIN","32.7","22.6","247.1","1.5","0.4","1.9","5.3","0.1","0.2","15.7"
"","high","34.0","25.0","253.0","2.0","0.0","2.7","6.3","0.1","0.1","20.8"
"","low","31.8","21.5","242.1","1.2","0.6","1.0","4.0","0.0","0.3","14.6"
"Jared Goff","LAR","35.3","22.6","270.8","1.4","0.9","1.6","4.0","0.1","0.2","15.2"
"","high","36.1","23.2","275.0","1.6","0.7","2.4","6.0","0.1","0.1","17.9"
"","low","34.0","21.2","263.4","1.0","1.0","0.0","1.0","0.0","0.3","15.6"
"Derek Carr","OAK","33.5","23.3","248.9","1.6","0.6","1.1","2.9","0.0","0.2","15.1"
"","high","39.0","25.3","276.0","2.0","0.3","2.0","5.0","0.1","0.1","21.8"
"","low","28.0","21.0","191.0","1.4","1.0","0.0","0.0","0.0","0.3","13.4"
"Jimmy Garoppolo","SF","31.6","21.1","245.7","1.6","0.9","2.3","5.2","0.1","0.2","15.0"
"","high","33.0","23.0","264.0","2.1","0.6","3.2","8.9","0.1","0.1","17.6"
"","low","30.8","20.0","214.0","1.0","1.4","1.0","3.9","0.0","0.2","15.1"
"Ryan Tannehill","TEN","32.6","21.4","237.7","1.3","0.9","3.3","13.8","0.1","0.2","14.6"
"","high","37.0","25.0","265.0","1.5","0.7","5.0","19.0","0.2","0.1","18.2"
"","low","28.2","18.1","214.0","1.0","1.0","1.8","10.0","0.0","0.3","14.7"
"Mitch Trubisky","CHI","34.1","21.2","235.2","1.2","0.9","3.2","16.7","0.1","0.2","14.4"
"","high","38.0","25.0","259.0","1.4","0.7","4.1","22.2","0.2","0.1","16.8"
"","low","30.9","19.0","222.0","1.0","1.0","2.0","11.0","0.0","0.2","14.0"
"Ryan Fitzpatrick","MIA","34.8","21.6","251.3","1.2","1.2","3.1","13.3","0.1","0.2","13.8"
"","high","40.0","24.0","307.0","1.4","1.0","3.8","17.0","0.1","0.1","17.4"
"","low","30.3","18.5","204.0","1.0","1.3","2.0","9.0","0.0","0.3","12.1"
"Sam Darnold","NYJ","34.3","22.3","246.3","1.4","1.2","1.9","6.0","0.0","0.2","13.4"
"","high","36.0","26.0","269.0","1.7","0.9","2.8","9.5","0.1","0.1","16.1"
"","low","31.8","20.4","237.2","1.0","2.0","0.0","1.0","0.0","0.3","11.3"
"Baker Mayfield","CLE","33.5","20.9","239.5","1.2","1.1","2.6","9.8","0.0","0.2","13.2"
"","high","35.0","23.0","263.0","1.4","0.9","4.0","14.0","0.1","0.1","18.6"
"","low","31.0","19.0","210.0","1.0","1.4","1.8","8.2","0.0","0.2","12.1"
"Mason Rudolph","PIT","33.0","21.1","235.7","1.3","0.9","1.9","5.8","0.0","0.2","13.0"
"","high","35.0","22.0","254.0","1.5","0.7","2.3","9.0","0.1","0.1","16.2"
"","low","30.0","20.0","212.0","1.0","1.1","1.0","3.0","0.0","0.2","12.4"
"Kyle Allen","CAR","34.6","21.0","247.5","1.3","1.0","1.2","3.6","0.0","0.3","12.8"
"","high","37.0","21.5","252.3","1.5","0.7","2.2","5.1","0.0","0.2","16.6"
"","low","33.2","20.4","244.2","1.0","1.7","0.0","1.7","0.0","0.3","11.8"
"Ryan Finley","CIN","36.1","21.6","239.3","1.1","1.0","2.0","7.4","0.0","0.2","12.7"
"","high","41.0","25.0","265.5","1.2","0.5","3.5","11.0","0.1","0.1","15.8"
"","low","29.0","18.0","214.0","1.0","1.4","1.4","4.1","0.0","0.3","11.5"
"Brian Hoyer","IND","21.2","13.3","146.1","1.0","0.4","0.7","0.7","0.0","0.2","8.8"
"","high","33.9","21.1","227.5","1.5","0.2","1.1","0.8","0.0","0.1","4.7"
"","low","8.5","5.5","64.7","0.6","0.7","0.3","0.6","0.0","0.3","4.7"
"Matt Moore","KC","10.2","6.0","66.2","0.1","0.3","0.9","0.9","0.0","0.1","2.5"
"","high","18.9","11.1","121.7","0.1","0.0","1.6","1.5","0.0","0.0","0.9"
"","low","1.5","0.8","10.6","0.1","0.5","0.2","0.4","0.0","0.1","0.9"
"Taysom Hill","NO","5.2","3.0","31.4","0.0","0.1","2.3","9.0","0.1","0.0","2.3"
"","high","22.2","13.5","133.1","0.1","0.0","3.5","14.0","0.1","0.0","4.8"
"","low","0.0","0.0","0.0","0.0","0.5","1.2","2.0","0.0","0.2","2.1"
"Andy Dalton","CIN","5.4","3.2","33.7","0.1","0.3","0.6","1.3","0.0","0.1","1.2"
"","high","9.2","5.5","58.0","0.1","0.1","1.0","1.9","0.0","0.0","0.7"
"","low","1.5","0.9","9.4","0.0","0.5","0.2","0.7","0.0","0.1","0.7"
"Teddy Bridgewater","NO","4.9","2.8","26.9","0.1","0.2","0.5","1.1","0.0","0.1","1.0"
"","high","8.3","4.5","40.8","0.1","0.0","0.9","1.7","0.0","0.0","1.0"
"","low","1.5","1.1","12.9","0.0","0.4","0.1","0.4","0.0","0.1","1.0"
"Robert Griffin","BAL","4.6","2.6","27.0","0.1","0.3","0.8","2.5","0.0","0.1","0.9"
"","high","8.0","4.4","44.2","0.1","0.0","1.1","3.7","0.0","0.0","0.9"
"","low","1.2","0.8","9.8","0.0","0.5","0.4","1.3","0.0","0.1","0.9"
"Marcus Mariota","TEN","4.9","2.7","25.6","0.1","0.2","0.6","1.5","0.0","0.1","0.9"
"","high","8.6","4.7","42.6","0.1","0.0","0.9","1.8","0.0","0.0","0.9"
"","low","1.2","0.7","8.7","0.0","0.4","0.3","1.2","0.0","0.1","0.9"
"Chase Daniel","CHI","4.9","2.8","26.4","0.1","0.2","0.5","0.8","0.0","0.1","0.9"
"","high","8.3","4.8","42.8","0.1","0.0","0.6","1.1","0.0","0.0","0.9"
"","low","1.4","0.9","10.0","0.0","0.4","0.3","0.5","0.0","0.1","0.9"
"Tyrod Taylor","LAC","4.4","2.5","24.2","0.1","0.2","0.5","1.1","0.0","0.1","0.8"
"","high","7.3","4.0","35.7","0.1","0.0","0.8","1.5","0.0","0.0","1.0"
"","low","1.4","1.0","12.7","0.0","0.4","0.2","0.7","0.0","0.1","1.0"
"Eli Manning","NYG","4.9","2.8","25.9","0.1","0.2","0.6","1.4","0.0","0.1","0.8"
"","high","8.5","4.7","42.1","0.1","0.0","0.9","1.8","0.0","0.1","0.9"
"","low","1.4","0.9","9.8","0.0","0.4","0.2","1.0","0.0","0.1","0.9"
"Josh Rosen","MIA","5.2","3.1","28.4","0.1","0.2","0.4","0.4","0.0","0.1","0.8"
"","high","8.9","5.1","46.0","0.1","0.1","0.7","0.5","0.0","0.0","0.7"
"","low","1.6","1.1","10.7","0.0","0.4","0.1","0.3","0.0","0.1","0.7"
"Blake Bortles","LAR","4.3","2.4","22.7","0.1","0.2","0.5","1.3","0.0","0.1","0.8"
"","high","7.0","3.8","34.2","0.1","0.0","0.8","1.4","0.0","0.0","1.0"
"","low","1.5","0.9","11.1","0.0","0.4","0.3","1.1","0.0","0.1","1.0"
"Matt Schaub","ATL","6.0","3.3","28.8","0.1","0.2","0.6","0.8","0.0","0.1","0.8"
"","high","10.3","5.4","45.5","0.1","0.0","1.1","1.5","0.0","0.1","0.9"
"","low","1.6","1.1","12.2","0.0","0.5","0.2","0.1","0.0","0.1","0.9"
"Nick Mullens","SF","3.1","1.8","16.5","0.1","0.2","0.7","2.0","0.0","0.0","0.7"
"","high","4.8","2.7","23.0","0.1","0.1","1.1","3.6","0.0","0.0","0.6"
"","low","1.3","0.9","9.9","0.0","0.2","0.3","0.3","0.0","0.1","0.6"
"Tim Boyle","GB","1.0","0.7","7.2","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"","high","1.0","0.7","7.2","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"","low","1.0","0.7","7.2","0.1","0.0","0.2","0.2","0.0","0.0","0.7"
"Brett Hundley","ARI","4.0","2.2","20.6","0.1","0.2","0.5","1.1","0.0","0.1","0.7"
"","high","6.6","3.6","32.2","0.1","0.0","0.7","1.3","0.0","0.0","0.8"
"","low","1.3","0.8","9.1","0.0","0.4","0.2","0.8","0.0","0.1","0.8"
"Jeff Driskel","DET","2.0","1.2","10.7","0.1","0.1","0.5","1.9","0.0","0.0","0.6"
"","high","2.6","1.4","12.1","0.1","0.0","0.7","2.1","0.0","0.0","0.9"
"","low","1.4","0.9","9.3","0.0","0.2","0.4","1.7","0.0","0.1","0.9"
"Ryan Griffin","TB","3.4","2.0","18.5","0.1","0.2","0.4","0.7","0.0","0.1","0.6"
"","high","5.7","3.1","27.6","0.1","0.0","0.6","1.1","0.0","0.0","0.8"
"","low","1.1","0.8","9.4","0.0","0.3","0.1","0.2","0.0","0.1","0.8"
"Matt Barkley","BUF","6.0","3.2","27.9","0.0","0.3","0.6","0.9","0.0","0.1","0.5"
"","high","10.7","5.6","47.4","0.0","0.1","1.1","1.5","0.0","0.0","0.2"
"","low","1.2","0.7","8.5","0.0","0.5","0.1","0.3","0.0","0.1","0.2"
"Mike Glennon","OAK","4.4","2.5","21.6","0.1","0.2","0.5","0.6","0.0","0.1","0.5"
"","high","7.5","3.9","32.1","0.1","0.0","0.8","1.0","0.0","0.1","0.9"
"","low","1.3","1.0","11.2","0.0","0.4","0.2","0.3","0.0","0.1","0.9"
"Devlin Hodges","PIT","3.7","2.1","19.2","0.1","0.2","0.2","0.3","0.0","0.1","0.5"
