"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Philadelphia Eagles","","3.6","1.1","0.6","0.9","0.2","0.0","16.8","261.3","9.1"
"","high","4.6","1.5","0.7","1.1","0.2","0.1","18.3","245.0","11.1"
"","low","3.1","0.7","0.6","0.8","0.2","0.0","15.6","277.6","8.1"
"Baltimore Ravens","","2.9","1.2","0.6","1.1","0.2","0.1","14.3","280.3","9.0"
"","high","3.5","2.0","0.8","1.1","0.3","0.1","16.4","235.0","10.6"
"","low","2.3","0.9","0.5","1.0","0.1","0.0","13.5","325.6","8.6"
"New England Patriots","","2.9","1.2","0.7","1.4","0.2","0.1","14.5","296.6","8.9"
"","high","3.2","1.5","1.0","1.4","0.3","0.1","15.8","275.0","11.2"
"","low","2.5","0.8","0.5","1.3","0.1","0.0","12.2","318.2","8.2"
"San Francisco 49ers","","3.5","0.8","0.8","1.5","0.2","0.0","18.5","332.4","8.8"
"","high","4.0","1.0","1.2","1.6","0.2","0.1","19.7","306.0","9.9"
"","low","2.5","0.7","0.6","1.4","0.1","0.0","16.3","358.8","7.0"
"Pittsburgh Steelers","","3.2","0.9","0.7","1.3","0.2","0.1","16.8","311.5","8.5"
"","high","4.0","1.2","1.0","1.4","0.2","0.1","18.0","297.0","9.5"
"","low","2.6","0.7","0.5","1.1","0.0","0.1","14.9","326.0","7.2"
"Seattle Seahawks","","3.3","1.0","0.8","1.6","0.2","0.1","20.8","335.0","8.2"
"","high","3.9","1.2","1.4","1.9","0.3","0.1","22.3","326.9","9.5"
"","low","2.3","0.7","0.6","1.2","0.1","0.0","17.3","343.0","7.7"
"New York Giants","","3.0","1.3","0.7","1.0","0.2","0.0","21.5","321.9","7.9"
"","high","3.6","1.5","0.7","1.1","0.2","0.0","22.0","308.0","10.4"
"","low","2.4","0.8","0.6","0.9","0.1","0.0","20.8","335.8","6.6"
"Detroit Lions","","2.8","1.3","0.7","1.2","0.2","0.0","24.2","398.4","7.9"
"","high","3.1","1.9","0.9","1.3","0.3","0.1","25.5","373.9","10.1"
"","low","2.5","0.9","0.6","1.1","0.1","0.0","20.8","423.0","6.2"
"Green Bay Packers","","2.8","0.9","0.6","0.9","0.2","0.0","18.6","310.1","7.8"
"","high","3.5","1.2","0.7","0.9","0.2","0.1","19.3","307.2","8.9"
"","low","2.4","0.7","0.6","0.9","0.0","0.0","18.3","313.0","7.0"
"Tampa Bay Buccaneers","","2.9","1.1","0.7","1.3","0.2","0.0","21.2","309.1","7.8"
"","high","3.5","1.5","1.0","1.3","0.2","0.0","23.0","283.0","10.4"
"","low","2.3","1.0","0.5","1.3","0.2","0.0","20.0","335.2","7.5"
"Kansas City Chiefs","","2.4","1.0","0.5","0.9","0.2","0.0","18.5","331.7","7.6"
"","high","3.2","1.2","0.6","1.0","0.2","0.1","19.6","318.0","9.0"
"","low","1.8","0.6","0.4","0.8","0.1","0.0","17.5","345.4","6.6"
"Cleveland Browns","","3.3","1.0","0.6","1.1","0.2","0.0","22.0","319.7","7.5"
"","high","3.5","1.3","0.8","1.3","0.2","0.0","23.3","298.0","8.5"
"","low","2.7","0.7","0.5","0.8","0.1","0.0","19.7","341.4","7.1"
"New Orleans Saints","","2.4","0.7","0.6","1.1","0.1","0.1","19.3","322.9","7.0"
