"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Pittsburgh (PIT)","vs. MIA","1","4","1.6","0.7","10.4"
"2","undefined","","New England (NE)","vs. CLE","1","4","2.1","1.0","9.9"
"3","undefined","","Minnesota (MIN)","vs. WAS","1","11","2.8","0.7","9.2"
"4","undefined","","Los Angeles (LAR)","vs. CIN","2","17","4.3","0.9","9.1"
"5","undefined","","San Francisco (SF)","vs. CAR","1","10","5.1","1.7","9.0"
"6","undefined","","Chicago (CHI)","vs. LAC","5","16","6.7","1.8","8.7"
"7","undefined","","Tennessee (TEN)","vs. TB","5","14","8.1","1.7","8.3"
"8","undefined","","Buffalo (BUF)","vs. PHI","1","12","8.5","1.5","8.1"
"9","undefined","","New Orleans (NO)","vs. ARI","5","14","8.9","2.1","7.7"
"10","undefined","","Jacksonville (JAC)","vs. NYJ","4","17","10.3","3.2","7.7"
"11","undefined","","Green Bay (GB)","at KC","8","16","11.0","1.7","7.4"
"12","undefined","","Indianapolis (IND)","vs. DEN","7","20","11.6","1.9","7.3"
"13","undefined","","Detroit (DET)","vs. NYG","8","17","12.8","2.1","7.3"
"14","undefined","","Seattle (SEA)","at ATL","7","21","14.4","2.7","7.2"
"15","undefined","","Los Angeles (LAC)","at CHI","10","18","15.0","1.8","7.1"
"16","undefined","","Philadelphia (PHI)","at BUF","12","20","15.1","1.3","6.6"
"17","undefined","","Carolina (CAR)","at SF","6","22","16.4","3.0","6.6"
"18","undefined","","Houston (HOU)","vs. OAK","8","20","18.1","1.4","6.3"
"19","undefined","","New York (NYJ)","at JAC","9","26","19.0","2.2","6.1"
"20","undefined","","Tampa Bay (TB)","at TEN","15","29","19.6","2.5","6.1"
"21","undefined","","New York (NYG)","at DET","18","24","21.1","1.5","5.9"
"22","undefined","","Denver (DEN)","at IND","19","24","21.6","1.3","5.8"
"23","undefined","","Kansas City (KC)","vs. GB","15","25","22.8","0.9","5.8"
"24","undefined","","Arizona (ARI)","at NO","21","26","23.8","1.1","5.5"
"25","undefined","","Oakland (OAK)","at HOU","24","26","25.2","0.6","5.5"
"26","undefined","","Washington (WAS)","at MIN","24","29","26.6","1.1","5.4"
"27","undefined","","Cleveland (CLE)","at NE","23","30","26.8","1.6","5.3"
"28","undefined","","Atlanta (ATL)","vs. SEA","23","30","28.0","1.0","4.9"
"29","undefined","","Miami (MIA)","at PIT","27","30","28.8","1.1","4.9"
"30","undefined","","Cincinnati (CIN)","at LAR","23","30","29.2","0.9","4.8"
""
""
