"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Christian McCaffrey","CAR","vs. ATL","1","3","1.1","0.3","20.6"
"2","undefined","","Dalvin Cook","MIN","vs. DEN","2","7","2.3","0.5","17.6"
"3","undefined","","Ezekiel Elliott","DAL","at DET","1","5","3.1","0.8","17.2"
"4","undefined","","Josh Jacobs","OAK","vs. CIN","1","6","3.6","0.9","15.7"
"5","undefined","","Leonard Fournette","JAC","at IND","3","13","5.1","0.6","15.6"
"6","undefined","","Melvin Gordon","LAC","vs. KC","5","14","6.5","1.3","14.9"
"7","undefined","","Nick Chubb","CLE","vs. PIT","6","12","7.1","1.0","14.7"
"8","undefined","","Alvin Kamara","NO","at TB","4","14","9.3","1.3","14.6"
"9","undefined","","James Conner","PIT","at CLE","6","21","9.5","2.2","14.6"
"10","undefined","","Marlon Mack","IND","vs. JAC","6","12","9.9","1.9","13.7"
"11","undefined","","Le'Veon Bell","NYJ ","at WAS","6","14","10.7","1.5","13.4"
"12","undefined","","Tevin Coleman","SF","vs. ARI","7","16","11.2","1.6","12.9"
"13","undefined","","Brian Hill","ATL","at CAR","5","20","14.0","2.0","12.6"
"14","undefined","","Damien Williams","KC","at LAC","9","16","14.2","1.7","12.5"
"15","undefined","","Mark Ingram","BAL","vs. HOU","12","19","14.5","1.8","12.3"
"16","undefined","","Devin Singletary","BUF","at MIA","11","20","15.5","1.5","11.8"
"17","undefined","","Joe Mixon","CIN","at OAK","13","22","17.2","1.8","11.3"
"18","undefined","","Todd Gurley","LAR","vs. CHI","11","24","17.4","1.6","10.9"
"19","undefined","","David Montgomery","CHI ","at LAR","17","28","19.9","2.3","10.5"
"20","undefined","","Austin Ekeler","LAC","vs. KC","16","25","20.8","1.9","10.3"
"21","undefined","","Phillip Lindsay","DEN","at MIN","18","29","21.1","1.5","10.1"
"22","undefined","","Ronald Jones II","TB","vs. NO","19","28","22.2","1.9","10.0"
"23","undefined","","Sony Michel","NE","at PHI","17","35","23.8","2.7","9.9"
"24","undefined","","Carlos Hyde","HOU","at BAL","22","31","24.8","1.7","9.6"
"25","undefined","","Jordan Howard","PHI ","vs. NE","18","35","23.9","3.3","9.5"
"26","undefined","","Kalen Ballage","MIA","vs. BUF","19","37","27.7","3.2","9.5"
"27","undefined","","James White","NE","at PHI","25","35","28.3","1.9","9.3"
"28","undefined","","Kenyan Drake","ARI","at SF","20","33","28.7","2.2","9.3"
"29","undefined","","Miles Sanders","PHI","vs. NE","4","43","29.4","4.6","9.2"
"30","undefined","","Adrian Peterson","WAS","vs. NYJ","25","42","29.7","3.7","9.1"
"31","undefined","","Royce Freeman","DEN","at MIN","25","35","30.1","2.4","8.7"
"32","undefined","","Kareem Hunt","CLE","vs. PIT","22","37","31.0","2.2","8.0"
"33","undefined","","J.D. McKissic","DET","vs. DAL","24","41","33.1","3.1","7.9"
"34","undefined","","Latavius Murray","NO","at TB","25","51","35.5","2.4","7.8"
"35","undefined","","David Johnson","ARI","at SF","28","46","35.8","3.0","7.5"
"36","undefined","","Raheem Mostert","SF ","vs. ARI","23","59","37.1","6.4","7.2"
"37","undefined","","Frank Gore","BUF","at MIA","18","41","37.2","2.1","6.9"
"38","undefined","","Jaylen Samuels","PIT","at CLE","27","46","38.1","2.9","6.7"
"39","undefined","","Derrius Guice","WAS","vs. NYJ","30","45","38.5","3.0","6.4"
"40","undefined","","Tarik Cohen","CHI","at LAR","31","46","39.2","3.7","6.2"
"41","undefined","","Duke Johnson","HOU","at BAL","32","46","40.1","3.3","6.2"
"42","undefined","","Alexander Mattison","MIN","vs. DEN","37","47","42.7","1.8","6.1"
"43","undefined","","Gus Edwards","BAL","vs. HOU","39","60","42.7","3.4","6.1"
"44","undefined","","Peyton Barber","TB","vs. NO","34","54","42.9","3.2","6.0"
"45","undefined","","Rex Burkhead","NE","at PHI","41","52","46.4","2.8","6.0"
"46","undefined","","DeAndre Washington","OAK","vs. CIN","43","66","48.2","3.3","5.8"
"47","undefined","","Nyheim Hines","IND","vs. JAC","42","57","49.0","1.4","5.7"
"48","undefined","","Darrel Williams","KC","at LAC","44","65","49.9","4.1","5.6"
"49","undefined","","Darrell Henderson","LAR","vs. CHI","45","65","50.1","3.7","5.6"
"50","undefined","","Jalen Richard","OAK","vs. CIN","45","59","53.5","2.8","5.5"
