"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","DeAndre Hopkins","HOU","at JAC","1","4","1.2","0.4","18.9"
"2","undefined","","Chris Godwin","TB","at SEA","1","7","2.6","1.1","15.1"
"3","undefined","","Amari Cooper","DAL","at NYG","2","5","2.8","0.8","14.4"
"4","undefined","","Tyler Lockett","SEA","vs. TB","1","6","3.8","0.9","14.2"
"5","undefined","","Mike Evans","TB","at SEA","3","9","5.2","1.1","14.1"
"6","undefined","","Kenny Golladay","DET","at OAK","4","11","6.7","1.2","14.0"
"7","undefined","","Julian Edelman","NE","at BAL","5","11","7.5","1.3","13.8"
"8","undefined","","Tyreek Hill","KC","vs. MIN","3","13","8.3","1.4","13.8"
"9","undefined","","D.J. Chark","JAC","vs. HOU","5","14","9.6","1.4","13.3"
"10","undefined","","Stefon Diggs","MIN","at KC","5","15","10.9","1.1","13.1"
"11","undefined","","Allen Robinson","CHI","at PHI","7","18","11.9","2.4","12.7"
"12","undefined","","Keenan Allen","LAC","vs. GB","6","17","12.3","2.3","12.6"
"13","undefined","","Adam Thielen","MIN","at KC","6","19","12.4","1.3","12.5"
"14","undefined","","John Brown","BUF","vs. WAS","10","21","15.5","2.3","12.1"
"15","undefined","","JuJu Smith-Schuster","PIT","vs. IND","16","20","17.4","1.2","12.0"
"16","undefined","","Odell Beckham Jr.","CLE","at DEN","13","24","17.4","1.8","11.9"
"17","undefined","","Marvin Jones","DET","at OAK","15","26","19.0","2.2","11.9"
"18","undefined","","Tyrell Williams","OAK","vs. DET","13","37","19.6","2.0","11.8"
"19","undefined","","Michael Gallup","DAL","at NYG","15","28","19.7","1.5","11.6"
"20","undefined","","D.K. Metcalf","SEA","vs. TB","8","34","21.3","1.1","11.4"
"21","undefined","","Courtland Sutton","DEN","vs. CLE","14","31","22.1","2.2","11.3"
"22","undefined","","Mike Williams","LAC","vs. GB","19","32","25.4","2.7","11.3"
"23","undefined","","D.J. Moore","CAR","vs. TEN","18","31","26.7","1.9","11.2"
"24","undefined","","Kenny Stills","HOU","at JAC","22","42","27.0","3.6","11.2"
"25","undefined","","Golden Tate","NYG","vs. DAL","19","39","27.6","3.7","10.9"
"26","undefined","","Alshon Jeffery","PHI","vs. CHI","16","36","27.9","3.6","10.9"
