"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","DeAndre Hopkins","HOU","vs. OAK","1","2","1.1","0.2","17.8"
"2","undefined","","Michael Thomas","NO","vs. ARI","1","5","2.3","0.8","16.3"
"3","undefined","","Cooper Kupp","LAR","vs. CIN","2","6","3.8","0.9","14.7"
"4","undefined","","Chris Godwin","TB","at TEN","2","8","4.7","1.3","14.7"
"5","undefined","","Julio Jones","ATL","vs. SEA","2","14","5.4","2.9","14.6"
"6","undefined","","Tyler Lockett","SEA","at ATL","4","9","6.0","1.3","14.6"
"7","undefined","","Stefon Diggs","MIN","vs. WAS","3","15","7.0","2.3","14.4"
"8","undefined","","Kenny Golladay","DET","vs. NYG","5","11","8.5","1.4","13.9"
"9","undefined","","Julian Edelman","NE","vs. CLE","7","18","9.8","1.3","13.1"
"10","undefined","","T.Y. Hilton","IND","vs. DEN","6","15","10.5","1.6","13.0"
"11","undefined","","Tyreek Hill","KC","vs. GB","7","22","10.9","2.8","12.8"
"12","undefined","","Mike Evans","TB","at TEN","6","14","11.1","2.0","12.8"
"13","undefined","","John Brown","BUF","vs. PHI","7","28","12.8","2.7","12.6"
"14","undefined","","Courtland Sutton","DEN","at IND","6","19","15.8","2.1","12.1"
"15","undefined","","D.J. Chark","JAC","vs. NYJ","12","21","16.1","2.0","12.1"
"16","undefined","","Allen Robinson","CHI","vs. LAC","11","21","17.9","2.3","11.7"
"17","undefined","","Robert Woods","LAR","vs. CIN","12","29","18.1","3.6","11.5"
"18","undefined","","Odell Beckham Jr.","CLE","at NE","13","32","19.1","4.9","11.5"
"19","undefined","","JuJu Smith-Schuster","PIT","vs. MIA","10","28","19.6","2.8","11.4"
"20","undefined","","Marvin Jones","DET","vs. NYG","14","31","21.1","2.4","11.3"
"21","undefined","","Brandin Cooks","LAR","vs. CIN","17","34","21.9","3.5","11.3"
"22","undefined","","Calvin Ridley","ATL","vs. SEA","20","39","23.8","3.4","11.3"
"23","undefined","","Terry McLaurin","WAS","at MIN","8","37","24.3","2.1","11.3"
"24","undefined","","Larry Fitzgerald","ARI","at NO","12","35","25.6","4.0","11.2"
"25","undefined","","Tyler Boyd","CIN","at LAR","14","35","25.8","2.5","11.1"
"26","undefined","","Kenny Stills","HOU","vs. OAK","10","38","26.0","4.8","10.6"
"27","undefined","","Golden Tate","NYG","at DET","17","42","26.4","3.0","10.3"
"28","undefined","","D.K. Metcalf","SEA","at ATL","18","49","26.6","3.6","10.0"
"29","undefined","","Keenan Allen","LAC","at CHI","13","60","27.1","13.7","9.9"
"30","undefined","","Alshon Jeffery","PHI","at BUF","25","48","29.5","2.7","9.9"
"31","undefined","","Mike Williams","LAC","at CHI","23","40","31.7","4.3","9.9"
"32","undefined","","Dede Westbrook","JAC","vs. NYJ","29","35","32.1","1.7","9.6"
"33","undefined","","D.J. Moore","CAR","at SF","27","42","33.6","2.7","9.5"
"34","undefined","","Corey Davis","TEN","vs. TB","16","41","33.6","5.6","9.5"
