"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","at TEN","1","4","1.6","0.7","9.2"
"2","undefined","","George Kittle","SF","vs. SEA","1","5","2.1","1.3","8.4"
"3","undefined","","Hunter Henry","LAC","at OAK","1","4","2.7","0.5","8.3"
"4","undefined","","Mark Andrews","BAL","at CIN","3","6","4.3","0.4","8.2"
"5","undefined","","Darren Waller","OAK","vs. LAC","3","7","5.0","0.8","7.7"
"6","undefined","","Austin Hooper","ATL","at NO","2","8","5.6","1.1","7.6"
"7","undefined","","Greg Olsen","CAR","at GB","7","18","7.9","1.9","7.6"
"8","undefined","","Jacob Hollister","SEA","at SF","4","29","9.3","2.7","7.3"
"9","undefined","","Gerald Everett","LAR","at PIT","5","20","10.0","2.3","6.1"
"10","undefined","","Eric Ebron","IND","vs. MIA","6","18","10.3","1.7","5.9"
"11","undefined","","Jonnu Smith","TEN","vs. KC","7","24","12.0","3.4","5.8"
"12","undefined","","T.J. Hockenson","DET","at CHI","7","19","12.5","1.9","5.5"
"13","undefined","","O.J. Howard","TB","vs. ARI","8","19","12.8","1.7","5.4"
"14","undefined","","Jack Doyle","IND","vs. MIA","8","19","13.7","2.5","5.0"
"15","undefined","","Vance McDonald","PIT","vs. LAR","13","20","15.1","1.4","5.0"
"16","undefined","","Jared Cook","NO","vs. ATL","7","24","15.2","2.7","4.8"
"17","undefined","","Mike Gesicki","MIA","at IND","8","19","15.3","2.5","4.7"
"18","undefined","","Jason Witten","DAL","vs. MIN","12","21","17.8","1.5","4.5"
"19","undefined","","Jimmy Graham","GB","vs. CAR","15","26","18.9","1.5","4.5"
"20","undefined","","Kyle Rudolph","MIN","at DAL","10","22","19.1","2.3","4.4"
"21","undefined","","Irv Smith Jr.","MIN","at DAL","18","26","22.2","1.5","4.3"
"22","undefined","","Chris Herndon IV","NYJ","vs. NYG","14","31","23.1","3.1","4.2"
"23","undefined","","Dawson Knox","BUF","at CLE","20","31","24.8","2.1","4.1"
"24","undefined","","Trey Burton","CHI","vs. DET","23","31","25.6","2.2","4.0"
"25","undefined","","Cameron Brate","TB","vs. ARI","16","40","25.9","3.9","4.0"
"26","undefined","","Ryan Griffin","NYJ","vs. NYG","18","37","27.5","4.4","3.7"
"27","undefined","","Rhett Ellison","NYG","at NYJ","18","42","26.5","6.0","3.3"
"28","undefined","","Tyler Eifert","CIN","vs. BAL","21","31","26.8","2.3","3.1"
"29","undefined","","Foster Moreau","OAK","vs. LAC","25","33","28.3","2.2","3.1"
"30","undefined","","Josh Hill","NO","vs. ATL","22","46","31.5","3.9","3.1"
"31","undefined","","Hayden Hurst","BAL","at CIN","25","35","30.7","2.2","3.1"
"32","undefined","","Blake Jarwin","DAL","vs. MIN","27","41","34.4","2.8","2.9"
"33","undefined","","Demetrius Harris","CLE","vs. BUF","28","35","31.2","2.2","2.8"
"34","undefined","","Tyler Higbee","LAR","at PIT","25","37","33.1","3.0","2.8"
"35","undefined","","Charles Clay","ARI","at TB","20","42","35.2","3.4","2.8"
"36","undefined","","Nick Boyle","BAL","at CIN","27","45","34.9","4.4","2.8"
"37","undefined","","Ricky Seals-Jones","CLE","vs. BUF","23","40","32.9","3.8","2.7"
"38","undefined","","Maxx Williams","ARI","at TB","32","51","40.6","4.1","2.7"
"39","undefined","","Tyler Kroft","BUF","at CLE","28","43","39.4","2.5","2.6"
"40","undefined","","Luke Willson","SEA","at SF","37","49","41.4","4.3","2.5"
"41","undefined","","C.J. Uzomah","CIN","vs. BAL","32","47","42.0","2.3","2.5"
"42","undefined","","Anthony Firkser","TEN","vs. KC","30","46","40.3","3.5","2.4"
"43","undefined","","Adam Shaheen","CHI","vs. DET","39","47","41.9","2.0","2.3"
"44","undefined","","Tanner Hudson","TB","vs. ARI","34","60","37.6","7.3","2.3"
"45","undefined","","Logan Thomas","DET","at CHI","40","53","44.2","3.3","2.3"
"46","undefined","","Ross Dwelley","SF","vs. SEA","38","53","47.5","3.9","2.3"
"47","undefined","","Jesse James","DET","at CHI","41","52","47.8","2.7","2.2"
"48","undefined","","Marcedes Lewis","GB","vs. CAR","44","58","49.7","4.0","2.1"
"49","undefined","","Mo Alie-Cox","IND","vs. MIA","40","57","47.9","3.7","2.0"
"50","undefined","","Nick Vannett","PIT","vs. LAR","44","51","48.0","2.3","1.9"
"51","undefined","","Dan Arnold","NO","vs. ATL","43","54","48.3","3.2","1.8"
"52","undefined","","Virgil Green","LAC","at OAK","40","58","51.6","4.0","1.8"
"53","undefined","","Lee Smith","BUF","at CLE","50","57","53.1","1.7","1.8"
"54","undefined","","Luke Stocker","ATL","at NO","45","59","53.7","2.6","1.7"
"55","undefined","","Derek Carrier","OAK","vs. LAC","50","59","53.9","2.3","1.6"
"56","undefined","","J.P. Holtz","CHI","vs. DET","47","63","54.2","5.0","1.6"
"57","undefined","","Ian Thomas","CAR","at GB","49","62","57.4","3.2","1.5"
"58","undefined","","Drew Sample","CIN","vs. BAL","52","70","60.8","4.7","1.5"
"59","undefined","","Durham Smythe","MIA","at IND","57","65","60.5","2.3","1.4"
"60","undefined","","Blake Bell","KC","at TEN","46","63","60.7","2.7","1.4"
"61","undefined","","Jace Sternberger","GB","vs. CAR","57","64","60.7","1.8","1.3"
"62","undefined","","Pharaoh Brown","CLE","vs. BUF","55","58","56.5","1.1","1.3"
"63","undefined","","Kaden Smith","NYG","at NYJ","51","64","57.3","5.8","1.3"
"64","undefined","","Levine Toilolo","SF","vs. SEA","48","67","62.5","3.2","1.2"
"65","undefined","","Jaeden Graham","ATL","at NO","61","66","64.0","1.7","1.2"
"66","undefined","","MyCole Pruitt","TEN","vs. KC","60","67","65.2","1.3","1.1"
"67","undefined","","Ed Dickson","SEA ","at SF","45","64","54.5","9.5","1.1"
"68","undefined","","Chris Manhertz","CAR","at GB","58","69","65.6","2.3","1.1"
"69","undefined","","Robert Tonyan","GB","vs. CAR","63","68","65.8","2.0","1.0"
"70","undefined","","Dalton Schultz","DAL","vs. MIN","57","70","68.2","1.8","1.0"
"71","undefined","","Ben Braunecker","CHI","vs. DET","62","71","67.0","3.7","1.0"
"72","undefined","","Tyler Conklin","MIN","at DAL","67","72","69.3","1.8","0.8"
"73","undefined","","Jordan Leggett","TB","vs. ARI","66","69","67.5","1.5","0.8"
""
""
