"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Minnesota (MIN)","vs. DEN","1","8","2.0","1.3","11.8"
"2","undefined","","Los Angeles (LAR)","vs. CHI","1","6","2.4","1.0","9.3"
"3","undefined","","Buffalo (BUF)","at MIA","1","6","2.8","1.0","9.1"
"4","undefined","","San Francisco (SF)","vs. ARI","1","13","4.3","2.0","9.0"
"5","undefined","","Pittsburgh (PIT)","at CLE","2","14","6.0","1.7","8.6"
"6","undefined","","New Orleans (NO)","at TB","1","10","6.0","1.5","8.5"
"7","undefined","","New England (NE)","at PHI","4","12","7.5","1.7","8.4"
"8","undefined","","New York (NYJ)","at WAS","1","15","9.3","2.1","8.4"
"9","undefined","","Dallas (DAL)","at DET","2","17","9.3","1.8","8.3"
"10","undefined","","Oakland (OAK)","vs. CIN","4","16","9.5","2.8","7.9"
"11","undefined","","Chicago (CHI)","at LAR","6","19","11.6","2.6","7.7"
"12","undefined","","Carolina (CAR)","vs. ATL","8","15","12.3","1.7","7.6"
"13","undefined","","Baltimore (BAL)","vs. HOU","6","18","13.9","1.7","7.5"
"14","undefined","","Washington (WAS)","vs. NYJ","4","18","14.1","3.1","7.5"
"15","undefined","","Cleveland (CLE)","vs. PIT","5","21","14.2","3.0","7.4"
"16","undefined","","Indianapolis (IND)","vs. JAC","10","18","15.2","1.8","7.3"
"17","undefined","","Jacksonville (JAC)","at IND","8","22","16.3","2.7","7.0"
"18","undefined","","Kansas City (KC)","at LAC","5","20","16.2","2.5","7.0"
"19","undefined","","Denver (DEN)","at MIN","17","26","19.8","1.8","6.9"
"20","undefined","","Miami (MIA)","vs. BUF","16","23","19.7","1.1","6.7"
"21","undefined","","Atlanta (ATL)","at CAR","13","26","22.0","1.9","6.7"
"22","undefined","","Philadelphia (PHI)","vs. NE","19","25","22.3","1.5","6.3"
"23","undefined","","Tampa Bay (TB)","vs. NO","13","27","22.3","2.0","6.1"
"24","undefined","","Arizona (ARI)","at SF","19","27","24.1","1.9","6.0"
"25","undefined","","Detroit (DET)","vs. DAL","21","27","24.5","1.2","5.4"
"26","undefined","","Houston (HOU)","at BAL","20","28","25.7","1.7","5.3"
"27","undefined","","Los Angeles (LAC)","vs. KC","21","27","25.7","1.0","5.3"
"28","undefined","","Cincinnati (CIN)","at OAK","27","28","28.0","0.2","5.1"
""
""
