"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","37.0","25.1","332.6","2.7","0.5","2.6","12.0","0.1","0.2","24.4"
"","high","39.2","26.0","351.0","3.0","0.0","4.3","18.7","0.2","0.1","28.0"
"","low","35.0","24.1","310.0","2.5","0.8","0.0","0.0","0.0","0.2","22.9"
"Lamar Jackson","BAL","27.0","17.9","208.6","1.6","0.5","11.1","70.2","0.6","0.2","23.6"
"","high","30.6","20.3","236.1","2.0","0.0","12.5","81.1","1.0","0.1","31.7"
"","low","23.8","15.4","174.0","1.1","0.9","9.0","61.0","0.3","0.3","21.2"
"Russell Wilson","SEA","33.1","21.7","261.9","2.0","0.6","4.7","23.8","0.1","0.2","19.8"
"","high","36.1","24.0","285.0","2.3","0.0","6.0","31.0","0.2","0.2","25.4"
"","low","29.6","19.0","229.0","1.7","0.8","3.9","14.3","0.0","0.3","18.2"
"Drew Brees","NO","36.6","27.0","292.8","2.1","0.5","1.4","3.8","0.1","0.1","19.6"
"","high","39.0","33.0","299.1","2.3","0.0","4.1","14.5","0.2","0.0","22.7"
"","low","35.0","23.5","280.0","1.9","0.8","0.0","0.0","0.0","0.2","19.1"
"Dak Prescott","DAL","34.1","22.7","270.7","1.7","0.8","3.4","18.3","0.3","0.2","19.3"
"","high","38.0","25.0","306.0","2.0","0.6","4.0","19.2","0.5","0.1","23.4"
"","low","31.0","20.9","239.9","1.4","1.0","2.7","17.0","0.0","0.2","18.2"
"Aaron Rodgers","GB","34.5","22.8","270.1","1.9","0.3","2.8","13.8","0.0","0.2","18.9"
"","high","36.5","25.0","285.0","2.0","0.0","3.4","18.2","0.1","0.2","22.7"
"","low","32.0","21.0","253.1","1.6","0.4","2.0","11.0","0.0","0.2","17.9"
"Jameis Winston","TB","37.2","23.1","305.3","1.9","1.2","3.3","14.9","0.1","0.3","18.7"
"","high","40.0","24.0","355.0","2.0","0.8","4.0","18.9","0.2","0.2","24.7"
"","low","35.2","21.9","276.8","1.7","1.7","2.0","13.0","0.0","0.4","17.7"
"Kyler Murray","ARI","36.0","23.3","256.8","1.4","0.8","6.3","33.0","0.2","0.2","18.1"
"","high","42.0","30.0","312.0","1.7","0.6","8.0","38.0","0.3","0.1","21.0"
"","low","32.6","20.9","228.0","1.0","1.0","5.1","26.1","0.0","0.4","16.8"
"Carson Wentz","PHI","34.3","22.5","254.2","1.9","0.8","3.8","16.2","0.1","0.3","17.7"
"","high","35.1","24.0","277.0","2.1","0.6","4.2","19.0","0.2","0.2","23.1"
"","low","33.0","20.7","216.6","1.5","1.0","3.0","12.8","0.0","0.4","17.3"
"Deshaun Watson","HOU","33.6","22.2","248.7","1.3","0.9","5.4","28.7","0.2","0.3","16.9"
"","high","35.2","24.6","272.1","1.7","0.6","6.0","31.0","0.2","0.2","20.0"
"","low","31.7","20.2","233.0","1.0","1.3","5.0","24.7","0.0","0.3","15.3"
"Tom Brady","NE","36.8","24.1","266.4","1.6","0.5","1.5","3.8","0.1","0.1","16.6"
"","high","41.0","30.0","297.0","2.0","0.0","3.8","12.3","0.1","0.1","20.7"
"","low","33.0","21.0","249.5","1.3","0.8","0.0","0.0","0.0","0.2","15.6"
"Matt Ryan","ATL","36.8","24.6","280.9","1.6","0.8","1.8","6.5","0.1","0.3","16.5"
"","high","40.0","27.0","304.0","2.0","0.8","3.8","12.6","0.1","0.2","21.7"
"","low","33.0","21.8","253.2","1.5","1.0","0.8","3.0","0.0","0.3","17.0"
"Josh Allen","BUF","32.5","19.2","218.1","1.1","0.9","7.1","37.4","0.3","0.2","16.5"
"","high","36.0","22.0","235.1","1.3","0.8","8.0","44.0","0.5","0.2","19.4"
"","low","29.6","16.8","202.0","1.0","1.1","6.4","32.2","0.0","0.3","16.5"
"Sam Darnold","NYJ","33.5","22.1","254.6","1.6","0.9","2.9","11.4","0.1","0.2","16.5"
"","high","40.0","25.0","265.0","2.0","0.6","5.0","25.2","0.2","0.1","22.0"
"","low","31.2","20.5","239.5","1.5","1.2","1.4","4.0","0.0","0.2","15.8"
"Jared Goff","LAR","36.4","23.5","280.7","1.7","0.9","2.0","5.6","0.1","0.3","16.5"
"","high","42.0","28.0","333.0","2.0","0.8","3.7","12.2","0.1","0.2","21.8"
"","low","33.7","21.5","248.1","1.4","1.0","1.0","2.0","0.0","0.4","16.3"
"Kirk Cousins","MIN","34.2","23.5","260.2","1.7","0.7","1.9","6.0","0.1","0.2","16.4"
"","high","36.0","26.0","276.9","2.0","0.4","3.7","12.2","0.1","0.2","21.5"
"","low","33.1","21.5","247.9","1.4","1.0","0.0","0.0","0.0","0.3","16.6"
"Nick Foles","JAC","38.2","25.0","265.6","1.7","0.8","1.3","3.4","0.1","0.2","16.3"
"","high","44.0","28.0","299.0","2.0","0.7","1.9","7.1","0.2","0.1","22.2"
"","low","34.7","22.6","235.3","1.6","1.0","0.0","0.0","0.0","0.2","15.4"
"Mitch Trubisky","CHI","33.4","21.1","230.5","1.4","0.9","3.4","16.3","0.1","0.2","15.2"
"","high","36.0","23.0","247.0","2.0","0.7","4.7","21.3","0.2","0.1","21.8"
"","low","30.8","19.6","204.8","1.1","1.0","2.3","13.0","0.0","0.2","14.3"
"Ryan Tannehill","TEN","31.1","20.6","236.1","1.4","0.8","4.3","19.4","0.1","0.3","15.1"
"","high","37.0","23.0","248.0","1.7","0.5","8.0","34.0","0.2","0.3","19.8"
"","low","27.4","19.3","223.0","1.0","1.0","2.6","11.9","0.0","0.3","15.0"
"Daniel Jones","NYG","34.8","21.9","248.6","1.3","1.0","3.9","21.2","0.1","0.4","14.9"
"","high","38.0","24.0","266.0","1.4","0.8","5.0","25.0","0.2","0.2","18.7"
"","low","32.0","19.5","232.6","1.0","1.2","3.1","14.8","0.0","0.8","14.6"
"Baker Mayfield","CLE","34.3","21.9","260.4","1.5","1.0","1.8","6.7","0.1","0.2","14.8"
"","high","35.0","23.0","274.3","2.0","0.9","2.7","10.3","0.1","0.1","21.8"
"","low","33.6","21.2","239.0","1.3","1.1","1.0","4.0","0.0","0.3","12.8"
"Andy Dalton","CIN","35.3","21.0","238.3","1.5","1.0","2.5","8.9","0.1","0.2","14.8"
"","high","38.0","22.1","248.0","2.0","0.8","3.7","11.8","0.3","0.2","21.1"
"","low","33.1","20.0","223.0","1.3","1.1","2.0","7.0","0.0","0.3","13.6"
"Kyle Allen","CAR","34.8","21.8","253.3","1.6","0.9","1.4","4.0","0.0","0.3","14.7"
"","high","38.0","23.2","269.0","2.0","0.7","2.3","7.3","0.1","0.2","21.8"
"","low","33.0","20.5","232.1","1.4","1.1","0.9","2.0","0.0","0.3","14.2"
"Jacoby Brissett","IND","32.2","20.6","219.3","1.3","0.6","3.5","14.0","0.2","0.2","14.6"
"","high","35.2","23.0","236.0","1.6","0.4","4.4","18.1","0.3","0.2","17.4"
"","low","29.3","18.0","205.4","1.0","1.0","2.7","11.0","0.0","0.3","15.1"
"Derek Carr","OAK","34.6","24.1","251.5","1.2","0.8","1.7","5.6","0.1","0.2","14.1"
"","high","38.0","30.0","267.0","1.4","0.5","3.7","12.0","0.1","0.2","17.4"
"","low","31.9","21.2","237.0","1.0","1.0","0.0","0.0","0.0","0.3","14.3"
"Philip Rivers","LAC","35.0","22.4","258.0","1.3","0.9","1.3","3.4","0.0","0.2","13.8"
"","high","39.0","25.0","274.0","1.5","0.8","3.6","11.6","0.1","0.1","17.7"
"","low","32.0","20.0","237.0","1.0","1.1","0.0","0.0","0.0","0.2","13.3"
"Ryan Fitzpatrick","MIA","34.9","21.6","246.0","1.2","1.2","3.1","13.3","0.1","0.2","13.7"
"","high","39.0","24.0","275.0","1.3","0.8","3.6","15.4","0.2","0.1","17.4"
"","low","32.5","19.7","221.0","1.0","1.7","2.7","11.6","0.0","0.4","13.0"
"Jimmy Garoppolo","SF","32.9","21.5","244.5","1.2","1.0","2.0","5.9","0.1","0.2","13.2"
"","high","33.7","25.0","269.9","1.4","0.8","3.7","12.0","0.1","0.2","17.2"
"","low","31.4","19.2","221.0","1.0","1.6","0.0","2.0","0.0","0.3","11.2"
"Devlin Hodges","PIT","32.6","20.7","216.4","1.1","1.0","2.3","8.3","0.1","0.2","12.1"
"","high","38.0","25.0","247.5","1.3","0.7","2.7","11.6","0.1","0.1","16.0"
"","low","28.0","18.0","195.0","1.0","1.2","1.6","4.5","0.0","0.2","10.7"
"Dwayne Haskins","WAS","30.7","18.6","206.2","1.0","1.1","2.9","10.5","0.0","0.2","10.7"
"","high","35.0","20.1","228.0","1.1","0.7","5.0","16.0","0.1","0.2","16.5"
"","low","26.0","15.6","158.0","0.9","1.5","1.6","6.7","0.0","0.3","8.7"
"David Blough","DET","32.3","19.0","208.2","0.9","1.0","2.1","8.2","0.0","0.2","10.4"
"","high","38.0","22.0","236.0","1.0","0.7","3.3","10.2","0.1","0.2","16.0"
"","low","29.7","17.4","179.0","0.8","1.4","1.0","4.0","0.0","0.3","8.8"
"Drew Lock","DEN","25.2","15.7","176.4","0.8","0.7","2.3","9.6","0.0","0.2","9.6"
"","high","30.6","18.7","203.0","1.0","0.5","3.2","17.0","0.1","0.1","15.9"
"","low","16.0","10.0","121.0","0.5","1.0","0.9","4.0","0.0","0.2","6.3"
