"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Hunter Henry","LAC","5.5","68.8","0.6","0.1","10.3"
"","high","6.0","79.5","1.0","0.0","12.5"
"","low","4.4","58.0","0.4","0.1","10.1"
"Travis Kelce","KC","5.7","73.0","0.5","0.1","10.3"
"","high","6.4","82.0","1.0","0.0","12.7"
"","low","5.0","67.0","0.2","0.1","9.0"
"Austin Hooper","ATL","5.8","62.3","0.5","0.1","9.0"
"","high","7.1","74.0","1.0","0.0","12.5"
"","low","5.3","56.5","0.3","0.1","7.6"
"Darren Waller","OAK","5.9","61.7","0.4","0.1","8.7"
"","high","6.4","72.9","1.0","0.0","12.8"
"","low","5.0","48.0","0.2","0.1","7.1"
"Mark Andrews","BAL","4.1","54.2","0.5","0.0","8.6"
"","high","5.0","63.0","1.0","0.0","12.3"
"","low","3.3","46.0","0.3","0.1","6.3"
"George Kittle","SF","5.0","59.8","0.3","0.0","7.6"
"","high","7.1","71.8","0.6","0.0","9.9"
"","low","2.7","35.6","0.0","0.1","4.8"
"Jared Cook","NO","3.1","37.3","0.4","0.0","6.1"
"","high","3.8","48.3","1.0","0.0","10.1"
"","low","2.2","22.0","0.0","0.1","3.8"
"Eric Ebron","IND","3.6","43.5","0.2","0.0","5.8"
"","high","5.2","59.3","0.6","0.0","8.0"
"","low","3.0","34.0","0.0","0.0","3.4"
"Greg Olsen","CAR","3.8","46.3","0.2","0.0","5.7"
"","high","5.0","65.6","0.3","0.0","6.1"
"","low","3.1","37.8","0.0","0.0","4.4"
"Jack Doyle","IND","4.4","42.6","0.2","0.1","5.4"
"","high","5.5","50.0","0.4","0.0","7.0"
"","low","3.6","34.7","0.0","0.1","4.1"
"Gerald Everett","LAR","3.5","40.0","0.2","0.0","5.0"
"","high","5.2","60.5","0.3","0.0","5.2"
"","low","2.8","31.4","0.0","0.1","3.5"
"Mike Gesicki","MIA","4.0","43.0","0.1","0.0","4.8"
"","high","5.0","51.0","0.2","0.0","5.1"
"","low","3.2","36.3","0.0","0.1","4.5"
"Jonnu Smith","TEN","3.4","39.4","0.1","0.0","4.7"
"","high","4.9","57.5","0.3","0.0","6.1"
"","low","2.1","22.8","0.0","0.0","3.2"
"T.J. Hockenson","DET","3.2","38.4","0.1","0.0","4.6"
"","high","4.7","52.7","0.2","0.0","6.0"
"","low","2.0","27.0","0.0","0.0","2.7"
"Vance McDonald","PIT","3.6","34.7","0.2","0.0","4.4"
"","high","5.0","48.2","0.3","0.0","4.6"
"","low","2.5","27.5","0.0","0.0","3.8"
"Jason Witten","DAL","4.0","37.6","0.1","0.1","4.4"
"","high","4.8","45.2","0.2","0.0","5.0"
"","low","3.0","27.5","0.0","0.1","3.9"
"Jimmy Graham","GB","2.9","31.7","0.2","0.0","4.1"
"","high","3.8","44.0","0.3","0.0","4.6"
"","low","2.0","28.0","0.0","0.0","2.8"
"O.J. Howard","TB","2.6","36.8","0.1","0.1","4.0"
"","high","3.5","56.9","0.2","0.0","5.1"
"","low","1.7","26.0","0.0","0.2","3.4"
"Kyle Rudolph","MIN","3.2","30.3","0.1","0.0","3.8"
"","high","4.0","39.3","0.2","0.0","4.0"
"","low","2.2","21.9","0.0","0.0","3.4"
"Chris Herndon IV","NYJ","2.2","28.0","0.1","0.0","3.6"
"","high","3.2","41.1","0.3","0.0","5.5"
"","low","0.1","1.0","0.0","0.0","0.1"
"Irv Smith Jr.","MIN","3.0","30.9","0.1","0.0","3.6"
"","high","3.7","41.0","0.2","0.0","3.8"
"","low","2.2","24.6","0.0","0.0","2.9"
"Rhett Ellison","NYG","2.8","27.7","0.1","0.0","3.5"
"","high","3.4","35.0","0.2","0.0","3.7"
"","low","2.2","21.8","0.0","0.0","3.4"
"Ryan Griffin","NYJ","2.5","26.8","0.1","0.0","3.3"
"","high","3.9","40.0","0.2","0.0","3.7"
"","low","1.2","11.8","0.0","0.0","1.7"
"Trey Burton","CHI","2.7","28.0","0.1","0.0","3.3"
"","high","4.0","39.1","0.2","0.0","3.8"
"","low","2.0","21.5","0.0","0.0","2.6"
"Tyler Eifert","CIN","2.5","27.6","0.1","0.0","3.3"
"","high","2.9","32.3","0.2","0.0","4.3"
"","low","2.0","22.1","0.0","0.0","2.7"
"Jacob Hollister","SEA","2.8","27.1","0.1","0.0","3.2"
"","high","6.4","60.4","0.2","0.0","3.1"
"","low","1.5","12.7","0.0","0.0","2.3"
"Dawson Knox","BUF","2.3","25.4","0.1","0.0","3.0"
"","high","3.4","38.2","0.2","0.0","3.4"
"","low","1.7","18.0","0.0","0.0","1.8"
"Cameron Brate","TB","1.9","21.9","0.1","0.0","2.9"
"","high","3.1","35.4","0.3","0.0","4.4"
"","low","1.0","14.0","0.0","0.0","1.4"
"Hayden Hurst","BAL","1.9","21.8","0.1","0.0","2.7"
"","high","2.8","30.7","0.2","0.0","3.3"
"","low","1.3","14.8","0.0","0.0","2.1"
"Ricky Seals-Jones","CLE","1.4","18.8","0.1","0.0","2.6"
"","high","2.2","27.5","0.3","0.0","3.7"
"","low","0.9","11.1","0.0","0.0","1.5"
"Foster Moreau","OAK","2.0","20.4","0.1","0.0","2.6"
"","high","2.6","28.8","0.2","0.0","3.5"
"","low","1.4","10.0","0.0","0.0","1.6"
"Charles Clay","ARI","2.0","21.8","0.1","0.0","2.5"
"","high","2.7","28.0","0.1","0.0","3.0"
"","low","1.5","16.6","0.0","0.0","2.1"
"C.J. Uzomah","CIN","1.9","20.0","0.1","0.0","2.5"
"","high","2.5","25.0","0.1","0.0","3.3"
"","low","1.2","13.0","0.0","0.0","1.7"
"Blake Jarwin","DAL","1.6","18.0","0.1","0.0","2.5"
"","high","2.2","25.1","0.2","0.0","2.7"
"","low","1.3","14.8","0.1","0.0","2.1"
"Tyler Kroft","BUF","2.0","20.8","0.1","0.0","2.4"
"","high","3.0","33.0","0.1","0.0","3.3"
"","low","1.3","12.0","0.0","0.0","1.7"
"Anthony Firkser","TEN","1.4","18.2","0.1","0.0","2.3"
"","high","1.8","23.4","0.1","0.0","2.5"
"","low","1.0","15.0","0.0","0.0","1.9"
"Nick Boyle","BAL","1.9","18.8","0.1","0.0","2.3"
"","high","3.2","27.0","0.1","0.0","2.7"
"","low","1.0","14.0","0.0","0.0","1.4"
"Tyler Higbee","LAR","1.8","18.6","0.1","0.0","2.3"
"","high","2.5","26.6","0.1","0.0","2.6"
"","low","1.0","11.0","0.0","0.0","1.1"
"Josh Hill","NO","1.8","18.8","0.1","0.0","2.2"
"","high","3.2","31.5","0.1","0.0","2.8"
"","low","1.0","12.5","0.0","0.1","1.5"
"Demetrius Harris","CLE","1.8","17.6","0.1","0.0","2.2"
"","high","3.0","28.0","0.1","0.0","2.8"
"","low","0.6","5.6","0.0","0.0","1.2"
"Maxx Williams","ARI","1.8","17.0","0.1","0.0","2.1"
"","high","3.2","27.0","0.2","0.0","2.7"
"","low","1.0","9.8","0.0","0.0","1.4"
"Ross Dwelley","SF","1.5","14.7","0.1","0.0","2.0"
"","high","1.9","20.5","0.2","0.0","3.0"
"","low","1.0","8.0","0.0","0.0","1.1"
"Adam Shaheen","CHI","1.5","15.2","0.1","0.0","1.9"
"","high","2.3","20.9","0.1","0.0","1.9"
"","low","1.2","12.8","0.0","0.1","1.8"
"Jesse James","DET","1.5","14.8","0.1","0.0","1.9"
"","high","2.0","20.5","0.1","0.0","2.0"
"","low","1.1","10.5","0.0","0.0","1.5"
"Tanner Hudson","TB","1.2","13.1","0.1","0.0","1.8"
"","high","1.9","21.0","0.1","0.0","1.9"
"","low","0.8","7.7","0.0","0.0","1.2"
"Dan Arnold","NO","1.3","13.8","0.1","0.0","1.7"
"","high","1.8","19.8","0.1","0.0","1.6"
"","low","0.9","10.6","0.0","0.0","1.6"
"Luke Willson","SEA","1.3","13.5","0.1","0.0","1.6"
"","high","2.5","24.1","0.1","0.0","1.7"
"","low","0.4","4.3","0.0","0.0","0.6"
"Marcedes Lewis","GB","1.1","12.6","0.1","0.0","1.6"
"","high","1.6","18.8","0.1","0.0","2.5"
"","low","0.3","3.2","0.0","0.0","0.5"
"Nick Vannett","PIT","1.3","13.0","0.0","0.0","1.6"
"","high","1.9","18.7","0.1","0.0","2.1"
"","low","0.6","6.0","0.0","0.0","0.9"
"Mo Alie-Cox","IND","0.9","12.3","0.0","0.0","1.5"
"","high","1.5","22.8","0.1","0.0","1.5"
"","low","0.5","7.3","0.0","0.0","0.7"
"Logan Thomas","DET","1.5","13.5","0.0","0.0","1.4"
"","high","2.8","23.3","0.1","0.0","1.4"
