"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","New England (NE)","at WAS","1","2","1.0","0.2","9.1"
"2","undefined","","Chicago (CHI)","at OAK","1","4","2.3","0.6","8.9"
"3","undefined","","Philadelphia (PHI)","vs. NYJ","2","6","3.1","0.9","8.6"
"4","undefined","","Tennessee (TEN)","vs. BUF","2","10","4.2","0.7","8.5"
"5","undefined","","Minnesota (MIN)","at NYG","4","12","6.3","1.1","8.4"
"6","undefined","","Buffalo (BUF)","at TEN","3","19","6.4","2.4","8.1"
"7","undefined","","Los Angeles (LAC)","vs. DEN","3","14","7.3","1.8","8.1"
"8","undefined","","Carolina (CAR)","vs. JAC","3","14","7.8","1.6","8.0"
"9","undefined","","Baltimore (BAL)","at PIT","5","16","9.7","2.3","7.8"
"10","undefined","","San Francisco (SF)","vs. CLE","3","20","10.4","2.7","7.5"
"11","undefined","","New Orleans (NO)","vs. TB","6","16","11.1","1.7","7.2"
"12","undefined","","Jacksonville (JAC)","at CAR","7","15","11.6","1.6","7.2"
"13","undefined","","Houston (HOU)","vs. ATL","7","17","12.0","1.7","7.1"
"14","undefined","","Cincinnati (CIN)","vs. ARI","8","24","15.1","4.0","7.1"
"15","undefined","","Kansas City (KC)","vs. IND","5","21","15.4","2.4","7.0"
"16","undefined","","Los Angeles (LAR)","at SEA","14","26","17.3","2.8","7.0"
"17","undefined","","Tampa Bay (TB)","at NO","13","25","17.8","2.8","6.9"
"18","undefined","","Seattle (SEA)","vs. LAR","12","26","17.9","2.4","6.9"
"19","undefined","","Green Bay (GB)","at DAL","14","26","19.1","2.6","6.4"
"20","undefined","","Cleveland (CLE)","at SF","14","23","20.2","1.8","6.2"
"21","undefined","","Pittsburgh (PIT)","vs. BAL","14","27","20.0","2.5","6.1"
"22","undefined","","Dallas (DAL)","vs. GB","11","25","20.4","2.8","6.0"
"23","undefined","","Oakland (OAK)","vs. CHI","13","27","23.1","1.8","6.0"
"24","undefined","","Denver (DEN)","at LAC","14","27","24.3","2.1","5.9"
"25","undefined","","New York (NYG)","vs. MIN","12","27","24.7","1.6","5.9"
"26","undefined","","Atlanta (ATL)","at HOU","19","29","24.8","2.1","5.8"
"27","undefined","","Arizona (ARI)","at CIN","15","28","25.7","2.3","5.4"
"28","undefined","","New York (NYJ)","at PHI","24","30","28.1","0.5","5.1"
"29","undefined","","Indianapolis (IND)","at KC","28","30","28.9","0.6","5.0"
"30","undefined","","Washington (WAS)","vs. NE","29","31","30.0","0.4","4.7"
""
""
