"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Baltimore (BAL)","vs. NYJ","1","4","1.2","0.4","9.4"
"2","undefined","","New England (NE)","at CIN","1","3","1.9","0.4","9.4"
"3","undefined","","San Francisco (SF)","vs. ATL","2","8","3.9","1.1","9.3"
"4","undefined","","Pittsburgh (PIT)","vs. BUF","3","7","4.0","0.9","9.3"
"5","undefined","","Philadelphia (PHI)","at WAS","2","10","4.8","1.2","8.7"
"6","undefined","","Kansas City (KC)","vs. DEN","3","11","6.2","1.4","8.7"
"7","undefined","","Seattle (SEA)","at CAR","6","14","8.0","1.3","8.5"
"8","undefined","","Green Bay (GB)","vs. CHI","5","13","9.1","2.2","8.3"
"9","undefined","","New Orleans (NO)","vs. IND","5","14","9.9","1.9","8.2"
"10","undefined","","Buffalo (BUF)","at PIT","5","17","10.2","2.7","7.9"
"11","undefined","","Tampa Bay (TB)","at DET","5","19","11.1","2.1","7.7"
"12","undefined","","Minnesota (MIN)","at LAC","5","18","11.5","2.8","7.5"
"13","undefined","","Cleveland (CLE)","at ARI","10","19","14.3","2.2","7.5"
"14","undefined","","New York (NYG)","vs. MIA","9","22","14.8","2.6","7.5"
"15","undefined","","Detroit (DET)","vs. TB","9","24","16.3","3.6","7.2"
"16","undefined","","Los Angeles (LAR)","at DAL","6","24","16.4","3.3","7.0"
"17","undefined","","Tennessee (TEN)","vs. HOU","12","23","17.4","2.0","6.9"
"18","undefined","","Los Angeles (LAC)","vs. MIN","9","24","17.3","3.7","6.8"
"19","undefined","","Chicago (CHI)","at GB","6","27","18.9","2.9","6.8"
"20","undefined","","Dallas (DAL)","vs. LAR","9","23","19.8","1.9","6.5"
"21","undefined","","Oakland (OAK)","vs. JAC","11","27","20.4","2.8","6.5"
"22","undefined","","Arizona (ARI)","vs. CLE","9","27","22.8","2.2","6.3"
"23","undefined","","Houston (HOU)","at TEN","16","26","22.8","1.9","6.2"
"24","undefined","","Miami (MIA)","at NYG","18","28","25.2","2.3","6.1"
"25","undefined","","Carolina (CAR)","vs. SEA","17","29","25.5","1.7","6.1"
"26","undefined","","Jacksonville (JAC)","at OAK","21","30","25.8","1.8","5.6"
"27","undefined","","Indianapolis (IND)","at NO","11","32","26.8","3.3","5.5"
"28","undefined","","Washington (WAS)","vs. PHI","15","31","26.0","4.9","5.0"
"29","undefined","","Denver (DEN)","at KC","21","31","27.7","2.6","4.9"
"30","undefined","","Atlanta (ATL)","at SF","27","32","29.3","1.3","4.8"
"31","undefined","","Cincinnati (CIN)","vs. NE","20","32","29.6","1.8","4.6"
"32","undefined","","New York (NYJ)","at BAL","9","32","31.8","0.8","4.4"
""
""
