"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"San Francisco 49ers","","2.9","0.4","0.7","1.4","0.2","0.0","18.6","328.4","7.0"
"","high","3.5","0.4","1.0","1.4","0.2","0.1","19.5","276.0","7.5"
"","low","2.3","0.3","0.4","1.4","0.1","0.0","16.8","380.9","6.5"
"Kansas City Chiefs","","3.0","0.7","0.6","1.0","0.2","0.0","21.6","360.1","6.7"
"","high","3.3","0.9","0.7","1.0","0.2","0.0","23.0","347.0","7.8"
"","low","2.8","0.5","0.6","1.0","0.1","0.0","19.4","373.1","6.8"
"Green Bay Packers","","2.7","0.9","0.6","1.0","0.1","0.0","27.1","382.9","6.7"
"","high","2.9","1.5","0.7","1.0","0.2","0.0","27.3","373.0","8.4"
"","low","2.4","0.6","0.6","1.0","0.1","0.0","27.0","392.8","5.4"
"Tennessee Titans","","1.5","0.6","0.6","0.9","0.1","0.0","29.8","401.5","4.6"
"","high","1.7","0.8","0.7","0.9","0.1","0.0","30.0","375.0","4.9"
"","low","1.4","0.5","0.5","0.9","0.1","0.0","29.3","428.0","3.8"
""
""
