"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","17.7","84.9","0.7","6.7","57.0","0.3","0.2","19.4"
"","high","20.7","97.0","1.0","8.0","63.0","0.5","0.1","21.8"
"","low","13.6","59.3","0.4","5.5","48.0","0.0","0.2","19.6"
"Derrick Henry","TEN","20.9","102.2","0.9","1.7","16.4","0.1","0.2","17.7"
"","high","25.0","111.0","1.3","2.0","18.4","0.2","0.1","18.4"
"","low","17.2","87.3","0.7","1.3","13.0","0.0","0.2","16.0"
"Dalvin Cook","MIN","15.4","72.4","0.7","3.7","36.0","0.1","0.2","15.3"
"","high","19.8","89.5","1.0","4.5","45.1","0.2","0.1","19.2"
"","low","10.0","50.0","0.4","2.0","20.0","0.0","0.2","13.0"
"Leonard Fournette","JAC","18.2","74.3","0.6","5.2","37.2","0.1","0.1","15.0"
"","high","21.0","84.6","1.0","6.2","46.0","0.2","0.0","17.4"
"","low","13.7","64.0","0.4","3.7","28.8","0.0","0.2","13.6"
"Ezekiel Elliott","DAL","20.0","85.8","0.6","3.6","29.1","0.1","0.2","15.0"
"","high","21.4","94.2","1.0","4.2","34.0","0.1","0.1","17.0"
"","low","18.0","72.2","0.3","2.9","26.6","0.0","0.2","12.9"
"Nick Chubb","CLE","18.2","91.4","0.6","2.3","17.8","0.1","0.2","14.9"
"","high","21.0","99.0","1.0","3.0","21.0","0.1","0.1","16.5"
"","low","13.8","84.0","0.4","1.5","13.0","0.0","0.2","13.7"
"Alvin Kamara","NO","13.2","62.6","0.5","5.9","46.7","0.2","0.1","14.5"
"","high","15.2","70.0","1.0","7.2","49.0","0.2","0.0","16.9"
"","low","10.0","52.8","0.2","5.0","42.4","0.0","0.2","13.5"
"Melvin Gordon","LAC","16.9","76.2","0.6","2.6","21.8","0.1","0.1","14.1"
"","high","19.2","86.0","1.0","3.4","27.9","0.2","0.1","17.0"
"","low","13.3","66.2","0.4","1.8","16.0","0.0","0.2","12.6"
"Aaron Jones","GB","13.8","64.0","0.7","3.0","25.6","0.1","0.1","13.8"
"","high","18.0","83.0","1.0","3.4","28.0","0.2","0.1","16.9"
"","low","10.4","46.1","0.5","2.7","22.8","0.0","0.1","12.3"
"Todd Gurley","LAR","16.6","71.5","0.7","2.7","21.4","0.1","0.1","13.7"
"","high","19.0","83.0","1.0","3.4","25.7","0.2","0.1","16.6"
"","low","15.8","64.0","0.5","2.1","15.0","0.0","0.2","10.9"
"Miles Sanders","PHI","14.3","67.0","0.4","3.3","34.9","0.2","0.1","13.5"
"","high","17.5","76.0","1.0","4.0","45.3","0.3","0.1","15.9"
"","low","7.6","54.5","0.1","2.7","27.0","0.0","0.2","13.6"
"Josh Jacobs","OAK","17.1","76.8","0.7","2.0","13.9","0.1","0.1","13.2"
"","high","18.7","82.4","1.0","2.9","20.9","0.1","0.1","14.4"
"","low","14.3","67.2","0.5","0.9","7.1","0.0","0.2","12.1"
"Saquon Barkley","NYG","17.2","74.4","0.3","4.2","33.5","0.1","0.1","13.0"
"","high","18.0","80.1","0.5","5.0","42.6","0.2","0.0","16.3"
"","low","15.8","69.7","0.0","3.0","22.0","0.0","0.2","9.3"
"Mark Ingram","BAL","14.2","67.5","0.6","2.1","16.1","0.1","0.1","12.1"
"","high","16.0","76.5","1.0","3.3","24.3","0.1","0.1","14.6"
"","low","12.3","57.5","0.4","1.5","12.4","0.0","0.2","11.2"
"Devonta Freeman","ATL","15.3","61.0","0.5","3.2","24.7","0.1","0.2","11.8"
"","high","19.9","71.0","1.0","3.7","27.6","0.2","0.1","15.3"
"","low","12.4","53.2","0.3","3.0","22.6","0.0","0.2","10.6"
"Chris Carson","SEA","16.5","69.9","0.4","2.5","18.0","0.1","0.2","11.6"
"","high","19.0","75.3","1.0","3.0","22.0","0.1","0.1","15.6"
"","low","15.1","65.0","0.2","2.2","14.3","0.0","0.2","10.0"
"Devin Singletary","BUF","12.0","53.7","0.4","3.0","25.4","0.1","0.1","10.8"
"","high","15.0","64.0","1.0","4.2","38.3","0.2","0.1","15.1"
"","low","7.8","37.2","0.2","2.1","18.0","0.0","0.2","8.9"
"Sony Michel","NE","16.8","69.5","0.6","0.7","5.4","0.0","0.1","10.6"
"","high","19.0","74.4","1.0","1.5","8.0","0.0","0.1","13.7"
"","low","14.1","58.5","0.4","0.0","3.0","0.0","0.2","9.6"
"Phillip Lindsay","DEN","13.7","66.7","0.3","2.8","20.6","0.0","0.1","10.5"
"","high","16.3","80.0","0.4","4.0","37.0","0.1","0.0","13.3"
"","low","12.0","59.0","0.0","2.0","15.4","0.0","0.2","7.6"
"Benny Snell Jr.","PIT","15.5","65.3","0.5","1.2","9.2","0.0","0.1","10.5"
"","high","17.0","77.0","1.0","2.6","18.0","0.1","0.1","13.0"
"","low","11.4","56.1","0.2","0.0","4.0","0.0","0.2","8.8"
"Kenyan Drake","ARI","12.5","51.5","0.4","3.5","25.6","0.1","0.1","10.4"
"","high","14.0","55.7","1.0","4.2","33.2","0.2","0.1","13.6"
"","low","11.3","48.1","0.2","3.0","20.3","0.0","0.2","9.5"
"Joe Mixon","CIN","16.2","65.8","0.2","2.4","18.6","0.1","0.1","10.2"
"","high","18.1","72.4","0.3","3.0","21.0","0.2","0.1","11.2"
"","low","14.4","60.1","0.0","2.0","15.9","0.0","0.2","8.2"
"David Montgomery","CHI","15.5","61.4","0.4","2.2","16.2","0.1","0.1","10.1"
"","high","16.7","68.0","0.5","2.8","21.0","0.1","0.1","11.6"
"","low","13.2","53.6","0.0","1.6","12.2","0.0","0.2","8.3"
"James White","NE","5.4","23.1","0.1","5.1","46.6","0.4","0.1","9.9"
"","high","7.7","37.0","0.2","7.0","66.0","1.0","0.0","13.5"
"","low","3.6","15.0","0.0","3.8","34.5","0.2","0.1","8.3"
