"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Ezekiel Elliott","DAL","at NYJ","1","5","1.5","1.1","19.9"
"2","undefined","","Christian McCaffrey","CAR","at TB","1","12","2.1","0.7","17.2"
"3","undefined","","Dalvin Cook","MIN","vs. PHI","2","17","3.4","1.2","15.8"
"4","undefined","","Nick Chubb","CLE","vs. SEA","1","13","5.1","1.3","15.7"
"5","undefined","","Leonard Fournette","JAC","vs. NO","3","14","6.3","2.1","15.3"
"6","undefined","","Alvin Kamara","NO","at JAC","1","12","6.8","2.8","15.2"
"7","undefined","","Aaron Jones","GB","vs. DET","4","16","7.3","1.8","14.9"
"8","undefined","","Chris Carson","SEA","at CLE","1","13","7.5","1.5","14.4"
"9","undefined","","Le'Veon Bell","NYJ","vs. DAL","2","15","8.9","2.6","14.2"
"10","undefined","","Mark Ingram","BAL","vs. CIN","2","15","9.5","2.4","13.9"
"11","undefined","","David Johnson","ARI ","vs. ATL","3","22","10.3","3.1","13.8"
"12","undefined","","Derrick Henry","TEN","at DEN","1","15","10.9","2.4","13.7"
"13","undefined","","Sony Michel","NE","vs. NYG","10","19","13.4","1.3","13.3"
"14","undefined","","James Conner","PIT","at LAC","9","21","13.6","2.1","13.3"
"15","undefined","","Kerryon Johnson","DET","at GB","9","23","14.9","2.0","13.1"
"16","undefined","","Melvin Gordon","LAC","vs. PIT","12","25","16.3","1.6","12.5"
"17","undefined","","Phillip Lindsay","DEN","vs. TEN","11","26","18.5","2.0","11.2"
"18","undefined","","Joe Mixon","CIN","at BAL","14","25","18.5","2.3","11.4"
"19","undefined","","Austin Ekeler","LAC","vs. PIT","13","25","18.6","1.9","12.1"
"20","undefined","","Devonta Freeman","ATL","at ARI","15","29","20.1","2.5","11.1"
"21","undefined","","Damien Williams","KC","vs. HOU","16","29","21.5","2.3","10.9"
"22","undefined","","Malcolm Brown","LAR","vs. SF","13","42","23.0","6.6","10.6"
"23","undefined","","Adrian Peterson","WAS","at MIA","10","27","23.6","2.6","10.4"
"24","undefined","","Matt Breida","SF","at LAR","18","32","24.5","2.5","10.4"
"25","undefined","","Carlos Hyde","HOU","at KC","12","31","25.9","2.6","10.0"
"26","undefined","","Jordan Howard","PHI","at MIN","17","37","26.1","3.3","8.7"
"27","undefined","","Royce Freeman","DEN","vs. TEN","22","35","26.6","2.3","8.6"
"28","undefined","","Kenyan Drake","MIA","vs. WAS","23","38","27.1","2.9","8.3"
"29","undefined","","James White","NE","vs. NYG","22","33","28.6","2.0","8.2"
"30","undefined","","Tevin Coleman","SF","at LAR","19","37","29.1","2.6","8.0"
"31","undefined","","LeSean McCoy","KC","vs. HOU","19","39","30.3","3.0","8.0"
"32","undefined","","Ronald Jones II","TB","vs. CAR","27","36","32.0","1.3","7.8"
"33","undefined","","Miles Sanders","PHI","at MIN","29","42","33.2","2.0","7.2"
"34","undefined","","Jonathan Hilliman","NYG","at NE","25","44","34.6","4.3","7.2"
"35","undefined","","Chris Thompson","WAS","at MIA","30","48","35.4","1.5","6.5"
"36","undefined","","Duke Johnson","HOU","at KC","31","41","35.5","1.9","6.3"
"37","undefined","","Peyton Barber","TB","vs. CAR","31","44","36.6","2.0","5.9"
"38","undefined","","Gus Edwards","BAL","vs. CIN","31","47","38.1","1.9","5.8"
"39","undefined","","Chase Edmonds","ARI","vs. ATL","23","46","38.7","3.1","5.7"
"40","undefined","","Ito Smith","ATL","at ARI","35","45","39.2","1.9","5.4"
"41","undefined","","Latavius Murray","NO","at JAC","31","48","40.4","2.3","5.3"
"42","undefined","","Raheem Mostert","SF","at LAR","38","53","45.3","2.8","4.2"
"43","undefined","","Giovani Bernard","CIN","at BAL","41","50","45.6","1.9","4.0"
"44","undefined","","Jamaal Williams","GB","vs. DET","36","57","45.2","4.7","3.9"
"45","undefined","","Darrell Henderson","LAR","vs. SF","37","64","44.0","4.4","3.8"
"46","undefined","","Tony Pollard","DAL","at NYJ","43","59","47.4","3.9","3.6"
"47","undefined","","Alexander Mattison","MIN","vs. PHI","42","53","47.3","2.4","3.5"
"48","undefined","","Mark Walton","MIA","vs. WAS","39","55","47.5","3.3","3.5"
"49","undefined","","Dion Lewis","TEN","at DEN","44","52","49.0","1.6","3.4"
"50","undefined","","Benny Snell Jr.","PIT","at LAC","47","57","52.0","2.7","3.3"
"51","undefined","","Darrel Williams","KC","vs. HOU","43","64","52.4","4.6","3.3"
"52","undefined","","Dare Ogunbowale","TB","vs. CAR","50","63","53.8","2.6","3.3"
"53","undefined","","Ty Johnson","DET","at GB","49","58","54.7","2.5","3.2"
"54","undefined","","Justice Hill","BAL","vs. CIN","46","61","53.7","3.2","2.7"
"55","undefined","","Elijhaa Penny","NYG","at NE","43","62","54.9","4.3","2.6"
"56","undefined","","Kalen Ballage","MIA","vs. WAS","40","76","55.3","5.8","2.6"
"57","undefined","","C.J. Prosise","SEA","at CLE","47","71","59.2","5.9","2.5"
"58","undefined","","Brandon Bolden","NE","vs. NYG","44","65","56.3","5.3","2.5"
"59","undefined","","Ty Montgomery","NYJ","vs. DAL","45","65","60.9","2.2","2.4"
"60","undefined","","Dontrell Hilliard","CLE","vs. SEA","51","66","61.3","3.0","2.4"
"61","undefined","","Ryquell Armstead","JAC","vs. NO","53","66","61.5","3.1","2.3"
"62","undefined","","Tra Carson","GB","vs. DET","46","69","57.3","5.4","2.1"
"63","undefined","","J.D. McKissic","DET","at GB","56","70","63.9","3.5","2.2"
"64","undefined","","Wendell Smallwood","WAS","at MIA","44","67","63.6","3.1","1.8"
"65","undefined","","Reggie Bonnafon","CAR","at TB","53","79","65.6","4.0","1.6"
"66","undefined","","D'Ernest Johnson","CLE","vs. SEA","55","71","66.7","2.3","1.6"
"67","undefined","","Jeff Wilson","SF","at LAR","54","72","63.9","3.2","1.6"
"68","undefined","","Ameer Abdullah","MIN","vs. PHI","67","72","69.5","1.2","1.5"
"69","undefined","","CJ Ham","MIN","vs. PHI","62","74","71.7","1.6","1.5"
"70","undefined","","Bilal Powell","NYJ","vs. DAL","66","75","70.9","2.7","1.5"
"71","undefined","","Alex Armah","CAR","at TB","59","80","71.6","3.2","1.3"
"72","undefined","","Dwayne Washington","NO","at JAC","58","78","71.8","3.3","1.2"
"73","undefined","","Boston Scott","PHI","at MIN","56","83","71.9","6.4","1.0"
"74","undefined","","Derek Watt","LAC","vs. PIT","69","78","75.4","2.2","1.1"
"75","undefined","","John Kelly","LAR","vs. SF","59","78","69.0","5.9","1.0"
"76","undefined","","Mike Boone","MIN","vs. PHI","67","88","76.6","4.3","0.9"
"77","undefined","","Zach Line","NO","at JAC","72","81","77.1","2.3","0.9"
"78","undefined","","Devontae Booker","DEN","vs. TEN","70","86","76.3","4.3","0.9"
"79","undefined","","Tavon Austin","DAL","at NYJ","63","87","72.6","6.9","0"
"80","undefined","","Dan Vitale","GB","vs. DET","69","87","80.7","4.8","0.9"
"81","undefined","","Austin Walter","FA","","54","71","63.2","3.9","0.7"
"82","undefined","","Kenjon Barner","ATL","at ARI","69","80","77.5","2.4","0.8"
"83","undefined","","Brian Hill","ATL","at ARI","74","87","80.1","3.5","0.7"
"84","undefined","","Troymaine Pope","LAC","vs. PIT","73","84","81.3","2.0","0.6"
"85","undefined","","Darwin Thompson","KC","vs. HOU","66","89","85.1","3.9","0.6"
"86","undefined","","Jordan Scarlett","CAR","at TB","59","93","85.8","5.8","0.5"
"87","undefined","","Qadree Ollison","ATL","at ARI","74","91","84.0","4.2","0.6"
"88","undefined","","Travis Homer","SEA","at CLE","70","88","84.1","2.8","0.5"
"89","undefined","","Jamize Olawale","DAL","at NYJ","83","92","86.7","2.8","0.5"
"90","undefined","","Andy Janovich","DEN","vs. TEN","70","93","87.4","4.3","0.6"
"91","undefined","","Dexter Williams","GB","vs. DET","80","91","88.5","1.8","0.5"
"92","undefined","","Anthony Sherman","KC","vs. HOU","79","91","89.2","1.5","0.4"
"93","undefined","","Justin Jackson","LAC ","vs. PIT","82","86","84.0","1.6","0.4"
"94","undefined","","Trey Edmunds","PIT","at LAC","78","85","81.5","3.5","0.4"
"95","undefined","","T.J. Logan","TB ","vs. CAR","71","94","82.5","11.5","0.4"
""
""
