"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","18.8","89.3","0.7","5.6","48.7","0.3","0.2","19.4"
"","high","23.0","96.0","1.0","6.2","57.2","0.5","0.1","20.4"
"","low","14.7","70.1","0.6","5.0","42.0","0.0","0.2","18.4"
"Dalvin Cook","MIN","19.0","92.3","0.7","4.6","40.3","0.1","0.2","17.8"
"","high","20.0","97.0","1.0","6.1","50.0","0.2","0.2","19.1"
"","low","17.2","87.5","0.6","3.7","31.0","0.0","0.2","17.0"
"Saquon Barkley","NYG","18.2","83.0","0.6","4.9","40.9","0.2","0.1","17.0"
"","high","20.0","88.0","1.0","5.6","47.2","0.3","0.0","19.4"
"","low","15.7","73.0","0.4","4.0","35.0","0.0","0.2","15.2"
"Ezekiel Elliott","DAL","20.9","95.2","0.7","3.3","27.2","0.1","0.2","16.6"
"","high","25.0","109.0","1.0","4.2","32.3","0.2","0.1","19.3"
"","low","18.2","81.1","0.5","2.9","24.0","0.0","0.2","15.3"
"Alvin Kamara","NO","13.6","62.9","0.6","5.4","45.9","0.2","0.1","15.7"
"","high","17.6","78.6","1.0","7.3","54.6","0.3","0.0","18.2"
"","low","10.0","51.5","0.4","4.0","35.0","0.0","0.2","14.7"
"Marlon Mack","IND","19.3","88.1","0.8","1.6","13.3","0.1","0.2","15.0"
"","high","21.5","102.0","1.0","2.0","15.5","0.1","0.1","16.1"
"","low","16.3","79.3","0.7","1.0","10.2","0.0","0.2","15.2"
"Aaron Jones","GB","13.7","66.3","0.7","3.8","30.2","0.2","0.1","14.8"
"","high","16.0","74.0","1.0","4.9","45.0","0.3","0.1","15.8"
"","low","11.5","57.0","0.4","3.0","24.0","0.0","0.1","14.4"
"Derrick Henry","TEN","17.7","81.5","0.7","1.6","15.2","0.1","0.1","14.3"
"","high","20.0","88.0","1.0","2.2","20.0","0.2","0.0","16.3"
"","low","14.9","74.2","0.5","1.1","12.5","0.0","0.2","13.3"
"Nick Chubb","CLE","16.1","82.0","0.7","2.3","16.5","0.1","0.1","14.1"
"","high","18.2","86.3","1.0","3.0","22.0","0.2","0.1","15.0"
"","low","12.7","71.0","0.6","1.6","9.3","0.0","0.2","12.9"
"Josh Jacobs","OAK","18.2","81.7","0.7","1.7","13.3","0.1","0.1","14.0"
"","high","20.0","89.2","1.0","2.9","21.3","0.2","0.1","15.0"
"","low","14.6","68.6","0.6","1.0","8.0","0.0","0.2","13.2"
"Mark Ingram","BAL","15.4","74.9","0.7","2.1","17.6","0.0","0.1","13.5"
"","high","18.5","93.0","1.0","3.2","23.5","0.1","0.1","14.9"
"","low","13.2","67.0","0.5","1.4","13.6","0.0","0.2","12.6"
"Chris Carson","SEA","18.3","79.9","0.5","2.7","18.9","0.1","0.2","13.1"
"","high","19.2","86.0","1.0","3.0","24.0","0.1","0.1","15.6"
"","low","16.5","72.0","0.4","2.5","16.0","0.0","0.4","12.0"
"David Montgomery","CHI","16.3","69.1","0.6","2.3","19.5","0.1","0.1","12.6"
"","high","19.0","82.0","1.0","2.9","20.0","0.1","0.1","16.1"
"","low","14.1","60.3","0.4","2.0","18.9","0.0","0.2","10.8"
"Melvin Gordon","LAC","14.8","59.7","0.6","3.1","23.9","0.1","0.1","12.3"
"","high","16.1","67.4","1.0","3.8","31.3","0.2","0.1","14.7"
"","low","12.4","51.7","0.3","2.0","16.0","0.0","0.2","9.3"
"Le'Veon Bell","NYJ","15.3","62.4","0.4","4.6","34.0","0.1","0.2","12.3"
"","high","18.0","81.0","1.0","5.8","47.0","0.1","0.1","17.8"
"","low","8.8","37.6","0.2","2.4","18.3","0.0","0.2","7.7"
"Todd Gurley","LAR","15.5","62.6","0.6","2.5","19.6","0.1","0.1","12.2"
"","high","17.3","72.0","1.0","3.3","23.7","0.1","0.1","14.5"
"","low","12.2","45.9","0.4","2.1","17.0","0.0","0.1","9.9"
"Tevin Coleman","SF","13.2","60.0","0.6","2.3","16.9","0.1","0.1","11.8"
"","high","15.0","67.0","1.0","4.0","22.1","0.3","0.1","14.9"
"","low","11.0","53.0","0.3","0.9","8.1","0.0","0.1","8.9"
"Jaylen Samuels","PIT","12.1","43.6","0.4","5.3","36.2","0.2","0.1","11.6"
"","high","16.2","68.8","1.0","7.0","47.0","0.7","0.1","16.5"
"","low","8.7","26.4","0.1","4.6","28.6","0.0","0.2","8.8"
"David Johnson","ARI","11.9","45.1","0.4","3.9","34.7","0.2","0.1","11.5"
"","high","13.0","54.6","1.0","6.0","45.0","0.4","0.1","15.9"
"","low","9.4","34.9","0.1","2.9","24.0","0.0","0.2","7.8"
"Devin Singletary","BUF","10.9","49.6","0.4","3.2","27.2","0.1","0.1","10.6"
"","high","16.0","65.0","1.0","4.2","40.7","0.3","0.1","15.4"
