"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.7","77.4","0.6","0.1","11.1"
"Evan Engram","NYG","5.9","69.0","0.6","0.1","10.4"
"George Kittle","SF","6.2","70.3","0.5","0.1","9.8"
"Mark Andrews","BAL","5.1","63.2","0.6","0.1","9.7"
"Zach Ertz","PHI","6.3","66.8","0.5","0.1","9.3"
"Austin Hooper","ATL","6.0","62.0","0.5","0.1","9.1"
"Darren Waller","OAK","6.1","62.2","0.5","0.1","8.8"
"Hunter Henry","LAC","4.5","51.9","0.5","0.0","7.9"
"Jason Witten","DAL","3.7","37.3","0.4","0.1","5.7"
"Delanie Walker","TEN","4.5","45.1","0.2","0.0","5.5"
"Jimmy Graham","GB","3.4","39.4","0.2","0.0","5.4"
"Gerald Everett","LAR","3.5","38.7","0.2","0.0","4.8"
"Eric Ebron","IND","3.3","36.4","0.2","0.0","4.6"
"T.J. Hockenson","DET","3.4","37.6","0.1","0.0","4.5"
"Dawson Knox","BUF","2.8","33.0","0.1","0.0","4.1"
"Darren Fells","HOU","2.9","29.5","0.1","0.0","3.7"
"Noah Fant","DEN","2.9","30.4","0.1","0.0","3.7"
"Dallas Goedert","PHI","2.8","28.4","0.1","0.0","3.6"
"Jack Doyle","IND","3.3","29.3","0.1","0.1","3.6"
"Benjamin Watson","NE","2.5","27.2","0.1","0.0","3.6"
"Jordan Akins","HOU","2.4","28.4","0.1","0.0","3.5"
"Tyler Eifert","CIN","2.3","24.2","0.1","0.0","3.2"
"Josh Hill","NO","3.2","28.6","0.1","0.1","3.1"
"Hayden Hurst","BAL","2.3","25.6","0.1","0.0","3.1"
"Tyler Higbee","LAR","2.4","23.8","0.1","0.0","3.1"
"Luke Willson","SEA","2.3","24.6","0.1","0.0","3.0"
"Marcedes Lewis","GB","1.7","21.5","0.1","0.0","3.0"
"Mike Gesicki","MIA","2.4","27.0","0.1","0.0","3.0"
"Trey Burton","CHI","2.5","24.8","0.1","0.0","2.9"
"Jeremy Sprinkle","WAS","2.4","23.8","0.1","0.0","2.7"
"Nick Boyle","BAL","2.3","21.7","0.1","0.0","2.7"
"Foster Moreau","OAK","1.9","19.7","0.1","0.0","2.7"
"Chris Herndon IV","NYJ","2.0","25.1","0.0","0.0","2.6"
"Tyler Kroft","BUF","1.7","18.8","0.1","0.0","2.5"
"Seth DeValve","JAC","1.8","20.7","0.1","0.0","2.5"
"C.J. Uzomah","CIN","1.8","20.0","0.1","0.0","2.5"
"Kyle Rudolph","MIN","1.8","18.4","0.1","0.0","2.4"
"Ryan Griffin","NYJ","1.7","19.1","0.1","0.0","2.3"
"Charles Clay","ARI","1.8","18.5","0.1","0.0","2.3"
"Josh Oliver","JAC","1.8","19.1","0.1","0.0","2.3"
