"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Derrick Henry","TEN","vs. HOU","1","5","1.8","1.4","18.8"
"2","undefined","","Chris Carson","SEA","at CAR","1","6","2.5","1.3","17.9"
"3","undefined","","Christian McCaffrey","CAR","vs. SEA","1","4","2.6","0.7","16.3"
"4","undefined","","Dalvin Cook","MIN","at LAC","3","10","4.5","1.1","15.1"
"5","undefined","","Ezekiel Elliott","DAL","vs. LAR","2","9","6.2","1.4","14.8"
"6","undefined","","Leonard Fournette","JAC","at OAK","2","18","6.6","2.2","14.8"
"7","undefined","","Saquon Barkley","NYG","vs. MIA","2","13","6.8","2.7","14.5"
"8","undefined","","Nick Chubb","CLE","at ARI","4","10","6.8","0.7","13.9"
"9","undefined","","Aaron Jones","GB","vs. CHI","5","16","9.3","1.4","13.9"
"10","undefined","","Todd Gurley","LAR","at DAL","8","14","9.7","1.4","13.3"
"11","undefined","","Alvin Kamara","NO","vs. IND","4","17","11.6","1.7","12.8"
"12","undefined","","Mark Ingram","BAL","vs. NYJ","10","19","12.5","1.6","12.4"
"13","undefined","","Melvin Gordon","LAC","vs. MIN","8","16","12.7","1.6","12.2"
"14","undefined","","Phillip Lindsay","DEN","at KC","10","23","15.0","2.2","12.2"
"15","undefined","","Raheem Mostert","SF","vs. ATL","9","30","16.1","3.1","12.1"
"16","undefined","","Austin Ekeler","LAC","vs. MIN","15","26","17.3","1.7","10.8"
"17","undefined","","Josh Jacobs","OAK ","vs. JAC","1","79","17.7","7.4","10.7"
"18","undefined","","Joe Mixon","CIN","vs. NE","11","24","18.2","2.3","10.5"
"19","undefined","","Miles Sanders","PHI","at WAS","14","33","19.0","2.2","10.3"
"20","undefined","","David Montgomery","CHI","at GB","13","28","20.7","3.3","10.2"
"21","undefined","","Devin Singletary","BUF","at PIT","17","26","20.9","1.9","10.1"
"22","undefined","","Le'Veon Bell","NYJ","at BAL","16","30","21.5","2.8","9.8"
"23","undefined","","Kareem Hunt","CLE","at ARI","18","34","23.9","2.0","9.4"
"24","undefined","","Marlon Mack","IND","at NO","14","31","23.9","3.5","9.6"
"25","undefined","","James Conner","PIT ","vs. BUF","9","60","24.6","9.4","9.6"
"26","undefined","","Sony Michel","NE","at CIN","20","39","26.6","3.4","9.2"
"27","undefined","","Adrian Peterson","WAS","vs. PHI","17","37","28.4","3.0","8.7"
"28","undefined","","Devonta Freeman","ATL","at SF","19","35","28.4","3.0","8.5"
"29","undefined","","Kenyan Drake","ARI","vs. CLE","19","34","28.4","2.8","9.0"
"30","undefined","","Patrick Laird","MIA","at NYG","19","42","28.7","4.1","8.4"
"31","undefined","","James White","NE","at CIN","25","35","29.4","2.1","8.1"
"32","undefined","","Ronald Jones II","TB","at DET","27","38","32.3","2.0","8.0"
"33","undefined","","LeSean McCoy","KC","vs. DEN","25","48","32.6","2.1","7.9"
"34","undefined","","Carlos Hyde","HOU","at TEN","27","40","34.4","2.4","7.7"
"35","undefined","","Jamaal Williams","GB","vs. CHI","31","40","35.8","2.2","7.5"
