"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","New England (NE)","vs. TEN","1","5","1.4","0.5","8.9"
"2","undefined","","New Orleans (NO)","vs. MIN","1","7","2.4","1.3","7.6"
"3","undefined","","Buffalo (BUF)","at HOU","1","5","3.0","0.7","7.3"
"4","undefined","","Houston (HOU)","vs. BUF","3","7","4.5","1.1","6.7"
"5","undefined","","Seattle (SEA)","at PHI","2","7","4.8","1.0","6.5"
"6","undefined","","Philadelphia (PHI)","vs. SEA","1","7","5.6","1.4","6.2"
"7","undefined","","Tennessee (TEN)","at NE","3","7","6.2","0.7","4.7"
"8","undefined","","Minnesota (MIN)","at NO","8","8","8.0","0.0","4.6"
""
""
