"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","3.1","1.5","0.6","1.2","0.2","0.0","12.1","270.8","12.9"
"New England Patriots","","2.9","1.2","0.6","1.1","0.2","0.1","16.0","292.5","8.6"
"San Francisco 49ers","","2.7","1.1","0.7","1.3","0.2","0.0","14.9","269.9","8.4"
"Jacksonville Jaguars","","3.3","1.0","0.6","0.9","0.2","0.0","18.6","303.8","8.4"
"Los Angeles Chargers","","3.2","0.8","0.6","0.7","0.1","0.0","19.4","308.0","7.7"
"New Orleans Saints","","2.6","0.9","0.6","1.1","0.1","0.1","19.9","332.5","7.5"
"Minnesota Vikings","","2.8","0.8","0.6","0.8","0.1","0.0","19.1","309.5","7.4"
"Chicago Bears","","2.6","0.8","0.6","0.9","0.1","0.0","16.1","280.6","7.3"
"New York Giants","","3.2","1.0","0.6","0.7","0.1","0.0","22.8","363.3","7.2"
"Tennessee Titans","","2.5","0.8","0.5","0.8","0.1","0.0","18.9","343.7","7.0"
"Arizona Cardinals","","2.6","1.0","0.7","1.2","0.2","0.0","24.9","355.7","7.0"
"Indianapolis Colts","","3.0","0.7","0.7","1.1","0.1","0.0","22.3","364.7","6.6"
"Los Angeles Rams","","2.7","0.8","0.7","1.0","0.2","0.0","23.8","369.1","6.6"
"Green Bay Packers","","2.8","0.7","0.7","1.1","0.1","0.0","20.2","347.4","6.5"
"Kansas City Chiefs","","2.4","0.9","0.6","1.0","0.2","0.0","23.0","356.1","6.5"
"Seattle Seahawks","","2.4","0.8","0.7","1.3","0.1","0.0","22.5","386.8","6.3"
"Washington Redskins","","2.5","0.8","0.7","1.2","0.1","0.0","24.6","384.0","6.2"
"Detroit Lions","","2.3","0.7","0.8","1.5","0.1","0.1","21.5","360.5","6.2"
"Philadelphia Eagles","","2.6","0.8","0.6","0.9","0.1","0.0","24.1","375.7","6.2"
"Dallas Cowboys","","2.4","0.8","0.6","1.1","0.1","0.0","21.4","340.7","6.0"
"Miami Dolphins","","2.3","0.9","0.5","0.7","0.1","0.0","27.2","378.5","6.0"
"Baltimore Ravens","","2.7","0.7","0.6","0.9","0.1","0.0","24.7","355.7","6.0"
"Houston Texans","","2.3","0.7","0.6","1.1","0.1","0.0","22.5","333.2","5.8"
"Atlanta Falcons","","2.2","0.8","0.6","0.9","0.1","0.0","26.9","402.0","5.7"
"Cincinnati Bengals","","2.3","0.7","0.6","0.9","0.1","0.0","22.1","367.2","5.6"
"Denver Broncos","","2.2","0.7","0.6","0.9","0.1","0.0","25.1","386.9","5.6"
"Oakland Raiders","","2.3","0.6","0.6","1.0","0.1","0.0","25.1","364.2","5.2"
"New York Jets","","1.9","0.6","0.6","0.8","0.1","0.0","24.0","372.2","5.0"
""
""
