"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Aaron Jones","GB","15.7","76.7","0.8","3.3","25.0","0.1","0.1","15.6"
"","high","20.0","94.0","1.0","4.0","29.0","0.2","0.1","18.3"
"","low","13.0","63.0","0.5","2.8","22.7","0.0","0.2","12.5"
"Derrick Henry","TEN","20.4","94.0","0.7","1.6","14.8","0.1","0.1","15.3"
"","high","25.0","103.2","1.0","2.0","18.5","0.1","0.1","18.1"
"","low","16.5","77.0","0.3","1.1","11.0","0.0","0.2","10.6"
"Dalvin Cook","MIN","17.5","80.4","0.6","4.2","35.0","0.1","0.2","15.3"
"","high","19.8","89.0","1.0","5.1","38.4","0.1","0.1","18.0"
"","low","13.5","61.0","0.2","3.7","31.0","0.0","0.2","11.7"
"Damien Williams","KC","13.0","56.9","0.6","3.1","27.7","0.2","0.1","13.3"
"","high","19.0","76.0","1.0","4.5","42.0","0.4","0.1","15.3"
"","low","8.8","40.7","0.4","2.5","19.8","0.0","0.2","11.2"
"Mark Ingram","BAL","13.9","65.4","0.6","2.1","16.6","0.1","0.1","12.2"
"","high","15.5","75.0","1.0","3.0","21.0","0.2","0.1","14.1"
"","low","12.7","59.6","0.4","1.5","13.0","0.0","0.1","11.5"
"Raheem Mostert","SF","13.2","65.0","0.6","1.4","11.3","0.1","0.2","11.8"
"","high","16.0","76.0","1.0","1.9","12.8","0.2","0.1","13.3"
"","low","9.1","58.2","0.5","1.0","10.0","0.0","0.2","10.9"
"Carlos Hyde","HOU","15.2","66.8","0.4","1.2","6.7","0.0","0.1","9.7"
"","high","16.5","71.0","1.0","2.7","16.0","0.1","0.1","13.1"
"","low","14.6","61.0","0.2","0.0","0.0","0.0","0.2","9.0"
"Marshawn Lynch","SEA","13.8","57.9","0.5","1.1","8.4","0.0","0.1","9.5"
"","high","16.0","63.0","1.0","2.0","16.0","0.1","0.0","12.3"
"","low","12.9","53.0","0.2","0.0","0.0","0.0","0.1","7.0"
"Duke Johnson","HOU","5.0","23.4","0.1","3.8","35.6","0.1","0.1","6.7"
"","high","6.8","38.6","0.1","4.9","53.0","0.2","0.1","8.4"
"","low","2.4","10.6","0.0","2.8","26.7","0.0","0.1","5.1"
"Travis Homer","SEA","8.7","36.8","0.1","2.4","16.0","0.1","0.1","6.1"
"","high","9.7","43.9","0.2","3.0","22.0","0.1","0.1","7.8"
"","low","7.0","26.4","0.0","2.0","8.2","0.0","0.1","5.5"
"Jamaal Williams","GB","8.1","32.6","0.1","2.5","17.2","0.1","0.1","6.0"
"","high","10.6","39.7","0.2","3.5","19.5","0.2","0.0","7.5"
"","low","6.9","27.9","0.0","2.0","16.0","0.0","0.1","4.7"
"Gus Edwards","BAL","8.6","43.0","0.1","0.4","2.2","0.0","0.1","5.0"
"","high","13.2","80.0","0.2","1.2","3.6","0.0","0.0","6.6"
"","low","4.8","22.3","0.0","0.0","0.0","0.0","0.1","3.1"
"Tevin Coleman","SF","6.6","27.1","0.2","1.9","12.1","0.1","0.1","5.0"
"","high","8.5","35.5","0.3","4.0","23.0","0.1","0.0","6.6"
"","low","4.7","20.3","0.0","0.7","6.3","0.0","0.1","4.2"
"Matt Breida","SF","5.7","27.0","0.1","1.2","8.5","0.0","0.1","4.0"
"","high","8.8","38.7","0.1","2.1","11.4","0.1","0.0","5.7"
"","low","2.9","15.0","0.0","0.4","2.0","0.0","0.1","2.2"
"Alexander Mattison","MIN","6.1","26.2","0.1","1.1","5.9","0.0","0.1","3.5"
"","high","8.2","38.1","0.1","2.2","8.2","0.0","0.0","4.1"
"","low","5.0","19.0","0.0","0.3","2.0","0.0","0.1","2.4"
"Darwin Thompson","KC","5.0","18.7","0.1","1.0","5.9","0.0","0.1","2.9"
"","high","7.0","24.2","0.2","1.8","7.0","0.0","0.0","4.2"
"","low","3.7","14.6","0.0","0.6","5.0","0.0","0.1","2.2"
"LeSean McCoy","KC","4.7","17.4","0.0","0.9","5.4","0.0","0.0","2.6"
"","high","12.2","38.6","0.1","2.7","13.6","0.1","0.0","4.0"
"","low","1.7","7.6","0.0","0.0","0.0","0.0","0.1","1.1"
"Justice Hill","BAL","3.6","14.1","0.1","0.9","5.0","0.0","0.0","2.3"
"","high","6.1","24.9","0.2","1.9","7.7","0.0","0.0","3.6"
"","low","1.0","4.0","0.0","0.4","2.9","0.0","0.1","0.9"
"Dion Lewis","TEN","3.1","12.1","0.0","1.6","9.7","0.0","0.0","2.3"
"","high","4.6","17.2","0.0","2.1","13.6","0.1","0.0","3.3"
"","low","1.5","6.3","0.0","1.0","4.0","0.0","0.1","1.5"
"Kyle Juszczyk","SF","0.6","1.9","0.0","1.3","12.0","0.1","0.0","1.7"
"","high","1.5","4.3","0.0","2.1","22.2","0.1","0.0","3.0"
"","low","0.0","0.0","0.0","0.6","1.8","0.0","0.1","1.6"
