"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Julio Jones","ATL","vs. TB","1","2","1.0","0.0","14.9"
"2","undefined","","DeAndre Hopkins","HOU","vs. IND","2","5","2.4","0.9","14.6"
"3","undefined","","Michael Thomas","NO","vs. CAR","1","3","3.0","0.0","13.5"
"4","undefined","","Mike Evans","TB","at ATL","2","9","4.1","0.3","13.4"
"5","undefined","","Chris Godwin","TB","at ATL","5","14","6.0","0.8","11.5"
"6","undefined","","Odell Beckham Jr.","CLE","vs. MIA","2","9","6.1","1.5","11.0"
"7","undefined","","Tyler Lockett","SEA","at PHI","4","13","7.8","2.4","10.9"
"8","undefined","","Davante Adams","GB","at SF","5","15","7.8","1.7","11.0"
"9","undefined","","D.J. Chark","JAC","at TEN","8","14","9.6","1.9","10.9"
"10","undefined","","Julian Edelman","NE ","vs. DAL","8","13","10.2","1.4","10.8"
"11","undefined","","Calvin Ridley","ATL","vs. TB","7","20","11.3","2.5","10.5"
"12","undefined","","D.J. Moore","CAR","at NO","7","18","12.4","2.5","10.4"
"13","undefined","","Cooper Kupp","LAR","vs. BAL","9","22","12.6","2.4","10.1"
"14","undefined","","Allen Robinson","CHI","vs. NYG","9","21","15.6","2.0","10.0"
"15","undefined","","John Brown","BUF","vs. DEN","12","28","15.9","1.9","9.9"
"16","undefined","","Amari Cooper","DAL","at NE","9","23","15.9","3.0","9.6"
"17","undefined","","Courtland Sutton","DEN","at BUF","11","23","18.6","2.0","9.3"
"18","undefined","","Kenny Golladay","DET","at WAS","7","26","19.1","1.5","9.2"
"19","undefined","","Jarvis Landry","CLE","vs. MIA","15","30","19.2","2.3","9.3"
"20","undefined","","T.Y. Hilton","IND","at HOU","6","37","19.5","8.4","9.4"
"21","undefined","","Tyrell Williams","OAK","at NYJ","16","34","21.2","2.9","9.1"
"22","undefined","","Michael Gallup","DAL","at NE","12","29","21.5","3.5","9.0"
"23","undefined","","Jamison Crowder","NYJ","vs. OAK","17","27","21.9","2.7","9.1"
"24","undefined","","D.K. Metcalf","SEA","at PHI","15","34","24.3","2.1","9.0"
"25","undefined","","Devante Parker","MIA","at CLE","13","28","25.1","2.5","8.7"
"26","undefined","","Curtis Samuel","CAR","at NO","20","33","26.6","3.2","8.5"
"27","undefined","","Terry McLaurin","WAS","vs. DET","22","35","26.6","2.9","8.6"
"28","undefined","","Marvin Jones","DET","at WAS","20","31","26.9","2.4","8.4"
"29","undefined","","Deebo Samuel","SF ","vs. GB","27","33","29.6","1.3","8.3"
"30","undefined","","Emmanuel Sanders","SF ","vs. GB","22","39","31.4","3.1","8.0"
"31","undefined","","Marquise Brown","BAL","at LAR","26","38","32.0","2.8","8.0"
"32","undefined","","Golden Tate","NYG","at CHI","19","37","32.4","2.9","8.0"
"33","undefined","","Will Fuller","HOU","vs. IND","20","41","33.1","3.6","8.0"
"34","undefined","","James Washington","PIT","at CIN","24","41","33.4","2.7","7.9"
"35","undefined","","Tyler Boyd","CIN","vs. PIT","28","40","36.3","2.5","7.9"
"36","undefined","","Robby Anderson","NYJ","vs. OAK","35","44","39.6","2.9","7.8"
"37","undefined","","Dede Westbrook","JAC","at TEN","36","47","40.2","2.2","7.8"
"38","undefined","","Kenny Stills","HOU","vs. IND","37","56","43.9","5.8","7.2"
"39","undefined","","Demaryius Thomas","NYJ ","vs. OAK","35","49","44.0","3.4","7.3"
"40","undefined","","A.J. Brown","TEN","vs. JAC","38","56","44.5","5.5","7.2"
"41","undefined","","Darius Slayton","NYG","at CHI","34","61","45.2","5.5","6.6"
"42","undefined","","Zach Pascal","IND","at HOU","37","54","45.3","4.6","6.7"
"43","undefined","","Sterling Shepard","NYG","at CHI","32","64","46.6","6.9","7.0"
