"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Travis Kelce","KC","vs. TEN","1","2","1.0","0.0","0"
"2","undefined","","George Kittle","SF","vs. GB","1","2","2.0","0.0","0"
"3","undefined","","Jonnu Smith","TEN","at KC","3","3","3.0","0.0","0"
"4","undefined","","Jimmy Graham","GB","at SF","4","5","4.0","0.0","0"
"5","undefined","","Anthony Firkser","TEN","at KC","4","6","5.0","0.0","0"
"6","undefined","","Marcedes Lewis","GB","at SF","5","7","6.0","0.0","0"
"7","undefined","","MyCole Pruitt","TEN","at KC","6","8","7.3","0.5","0"
"8","undefined","","Jace Sternberger","GB","at SF","7","10","8.0","0.9","0"
"9","undefined","","Levine Toilolo","SF","vs. GB","8","11","9.7","0.9","0"
"10","undefined","","Robert Tonyan","GB","at SF","9","10","9.7","0.5","0"
"11","undefined","","Blake Bell","KC","vs. TEN","9","12","11.0","0.9","0"
"12","undefined","","Ross Dwelley","SF","vs. GB","8","12","11.6","0.7","0"
""
""
