"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Carolina (CAR)","vs. WAS","1","6","1.3","0.5","9.5"
"2","undefined","","Chicago (CHI)","at DET","1","7","2.6","0.9","9.4"
"3","undefined","","Philadelphia (PHI)","at MIA","1","6","2.8","1.0","8.9"
"4","undefined","","New York (NYJ)","at CIN","2","16","5.5","2.7","8.8"
"5","undefined","","New England (NE)","at HOU","3","14","5.7","1.5","8.6"
"6","undefined","","Green Bay (GB)","at NYG","3","23","6.1","1.9","8.5"
"7","undefined","","Pittsburgh (PIT)","vs. CLE","4","13","7.9","2.0","8.2"
"8","undefined","","Baltimore (BAL)","vs. SF","1","15","8.8","1.8","7.9"
"9","undefined","","Los Angeles (LAC)","at DEN","2","13","8.3","2.9","7.9"
"10","undefined","","New Orleans (NO)","at ATL","7","15","9.4","1.3","7.9"
"11","undefined","","Jacksonville (JAC)","vs. TB","5","21","11.6","2.9","7.8"
"12","undefined","","Cleveland (CLE)","at PIT","6","20","11.6","3.0","7.6"
"13","undefined","","Dallas (DAL)","vs. BUF","4","17","13.0","2.0","7.5"
"14","undefined","","Los Angeles (LAR)","at ARI","5","19","14.4","2.4","7.2"
"15","undefined","","Denver (DEN)","vs. LAC","10","19","15.1","1.9","7.1"
"16","undefined","","Detroit (DET)","vs. CHI","9","26","16.4","2.6","7.0"
"17","undefined","","Kansas City (KC)","vs. OAK","12","27","18.6","3.5","6.9"
"18","undefined","","Indianapolis (IND)","vs. TEN","8","25","18.7","3.6","6.8"
"19","undefined","","San Francisco (SF)","at BAL","14","28","19.3","3.0","6.7"
"20","undefined","","Tennessee (TEN)","at IND","10","29","19.8","2.5","6.6"
"21","undefined","","Buffalo (BUF)","at DAL","12","30","19.7","3.7","6.4"
"22","undefined","","Washington (WAS)","at CAR","11","27","21.7","2.0","6.3"
"23","undefined","","Seattle (SEA)","vs. MIN","12","28","22.4","2.7","6.3"
"24","undefined","","Minnesota (MIN)","at SEA","16","28","24.6","2.0","6.2"
"25","undefined","","Arizona (ARI)","vs. LAR","13","29","23.7","2.6","6.2"
"26","undefined","","Tampa Bay (TB)","at JAC","16","32","25.5","3.0","6.1"
"27","undefined","","Cincinnati (CIN)","vs. NYJ","14","31","26.2","3.3","5.9"
"28","undefined","","Houston (HOU)","vs. NE","24","31","27.8","1.8","5.8"
"29","undefined","","New York (NYG)","vs. GB","19","31","28.2","1.3","5.8"
"30","undefined","","Miami (MIA)","vs. PHI","24","31","29.4","2.1","5.7"
"31","undefined","","Atlanta (ATL)","vs. NO","25","31","29.8","1.4","5.6"
"32","undefined","","Oakland (OAK)","at KC","30","32","31.9","0.2","4.9"
""
""
