"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","New England (NE)","vs. NYG","1","2","1.0","0.0","12.3"
"2","undefined","","Dallas (DAL)","at NYJ","2","7","3.1","1.0","10.0"
"3","undefined","","Baltimore (BAL)","vs. CIN","2","9","3.3","1.1","9.0"
"4","undefined","","Los Angeles (LAC)","vs. PIT","1","15","3.9","2.4","8.9"
"5","undefined","","Carolina (CAR)","at TB","2","18","5.2","1.5","8.2"
"6","undefined","","Washington (WAS)","at MIA","2","16","6.8","2.3","8.2"
"7","undefined","","Tennessee (TEN)","at DEN","4","17","7.9","2.2","8.1"
"8","undefined","","Green Bay (GB)","vs. DET","3","16","8.1","2.0","8.0"
"9","undefined","","Denver (DEN)","vs. TEN","4","16","10.6","2.4","7.9"
"10","undefined","","Los Angeles (LAR)","vs. SF","6","20","11.8","2.7","7.5"
"11","undefined","","New Orleans (NO)","at JAC","7","20","12.0","2.3","7.9"
"12","undefined","","Philadelphia (PHI)","at MIN","5","23","12.4","3.8","7.3"
"13","undefined","","Jacksonville (JAC)","vs. NO","9","19","13.4","2.7","7.2"
"14","undefined","","San Francisco (SF)","at LAR","2","24","13.6","4.2","7.0"
"15","undefined","","Minnesota (MIN)","vs. PHI","8","19","13.3","2.9","7.0"
"16","undefined","","Seattle (SEA)","at CLE","8","24","15.3","3.1","6.9"
"17","undefined","","Pittsburgh (PIT)","at LAC","6","20","16.6","2.0","6.9"
"18","undefined","","Miami (MIA)","vs. WAS","11","23","17.8","2.9","6.7"
"19","undefined","","Tampa Bay (TB)","vs. CAR","8","22","18.9","1.7","6.5"
"20","undefined","","Kansas City (KC)","vs. HOU","9","22","18.6","2.8","6.4"
"21","undefined","","Cleveland (CLE)","vs. SEA","7","24","19.7","2.5","6.4"
"22","undefined","","Atlanta (ATL)","at ARI","7","26","21.7","2.7","5.9"
"23","undefined","","Detroit (DET)","at GB","16","26","22.7","1.5","5.7"
"24","undefined","","Arizona (ARI)","vs. ATL","19","26","24.4","1.3","5.6"
"25","undefined","","Houston (HOU)","at KC","18","27","24.7","1.4","5.6"
"26","undefined","","New York (NYJ)","vs. DAL","19","28","25.8","1.5","5.5"
"27","undefined","","Cincinnati (CIN)","at BAL","23","28","26.2","1.0","5.4"
"28","undefined","","New York (NYG)","at NE","27","29","28.0","0.2","4.4"
""
""
