"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Julio Jones","ATL","6.7","93.0","0.6","0.2","1.1","0.0","0.1","12.8"
"Tyreek Hill","KC","5.5","82.9","0.6","0.9","5.7","0.1","0.0","12.7"
"Cooper Kupp","LAR","6.9","80.2","0.7","0.3","1.9","0.0","0.1","12.4"
"DeAndre Hopkins","HOU","7.2","83.0","0.6","0.0","0.0","0.0","0.1","11.8"
"Tyler Lockett","SEA","5.5","75.2","0.7","0.5","2.9","0.0","0.1","11.6"
"T.Y. Hilton","IND","5.8","78.9","0.6","0.0","0.0","0.0","0.1","11.5"
"Adam Thielen","MIN","5.8","76.6","0.6","0.4","2.5","0.0","0.1","11.5"
"D.J. Chark","JAC","5.2","75.4","0.6","0.1","0.8","0.0","0.1","11.2"
"Michael Thomas","NO","8.3","82.4","0.5","0.0","0.0","0.0","0.1","11.2"
"Julian Edelman","NE","6.8","76.9","0.6","0.4","3.4","0.0","0.1","11.1"
"Keenan Allen","LAC","6.4","77.3","0.5","0.3","1.7","0.0","0.1","10.8"
"Courtland Sutton","DEN","5.0","73.4","0.6","0.0","0.0","0.0","0.0","10.8"
"Robert Woods","LAR","5.9","70.6","0.5","1.0","7.3","0.0","0.1","10.8"
"Amari Cooper","DAL","5.0","71.3","0.6","0.1","0.7","0.0","0.1","10.6"
"John Brown","BUF","4.5","68.9","0.6","0.2","1.2","0.0","0.0","10.5"
"Larry Fitzgerald","ARI","6.3","73.8","0.5","0.1","0.5","0.0","0.1","10.5"
"Kenny Golladay","DET","5.1","73.7","0.5","0.0","0.5","0.0","0.0","10.5"
"Michael Gallup","DAL","4.8","72.6","0.5","0.0","0.0","0.0","0.0","10.3"
"Alshon Jeffery","PHI","5.6","65.7","0.6","0.1","0.6","0.0","0.0","10.1"
"Will Fuller","HOU","4.7","66.5","0.5","0.2","0.9","0.0","0.0","9.9"
"Allen Robinson","CHI","5.3","70.5","0.5","0.0","0.1","0.0","0.0","9.9"
"Tyler Boyd","CIN","5.8","69.6","0.5","0.1","0.9","0.0","0.1","9.8"
"Golden Tate","NYG","5.9","65.9","0.5","0.5","3.4","0.0","0.1","9.8"
"Terry McLaurin","WAS","5.2","65.9","0.5","0.4","2.5","0.0","0.1","9.6"
"Stefon Diggs","MIN","5.2","69.4","0.3","0.8","5.0","0.0","0.1","9.2"
"Brandin Cooks","LAR","4.9","69.0","0.3","0.6","3.8","0.0","0.1","9.1"
"D.K. Metcalf","SEA","3.7","54.8","0.5","0.4","3.0","0.0","0.0","8.6"
"Jamison Crowder","NYJ","5.2","59.4","0.4","0.3","1.4","0.0","0.1","8.5"
"Calvin Ridley","ATL","4.6","59.3","0.4","0.2","1.2","0.0","0.1","8.3"
"Emmanuel Sanders","DEN","5.0","60.0","0.2","0.2","1.9","0.0","0.0","7.5"
"Marquez Valdes-Scantling","GB","3.4","52.0","0.3","0.3","1.8","0.0","0.0","7.5"
"Robby Anderson","NYJ","3.9","58.3","0.3","0.2","0.8","0.0","0.0","7.4"
"Auden Tate","CIN","4.4","55.5","0.2","0.3","2.5","0.0","0.1","7.0"
"Dede Westbrook","JAC","4.6","51.0","0.3","0.6","4.6","0.0","0.1","7.0"
"Mike Williams","LAC","3.5","52.2","0.3","0.2","0.7","0.0","0.0","7.0"
"Marvin Jones","DET","3.7","53.2","0.2","0.1","0.4","0.0","0.0","6.8"
"Mohamed Sanu","ATL","4.8","51.8","0.2","0.4","2.2","0.0","0.1","6.5"
"Marquise Goodwin","SF","3.5","48.4","0.2","0.4","3.2","0.0","0.0","6.4"
"Phillip Dorsett","NE","3.6","45.3","0.3","0.4","2.5","0.0","0.0","6.4"
"Darius Slayton","NYG","3.6","48.9","0.2","0.3","1.8","0.0","0.0","6.3"
"Cole Beasley","BUF","4.5","49.1","0.2","0.1","0.8","0.0","0.0","6.3"
"Dante Pettis","SF","3.7","44.2","0.3","0.2","1.5","0.0","0.0","6.3"
"Corey Davis","TEN","3.8","47.6","0.2","0.2","1.5","0.0","0.0","6.1"
"Nelson Agholor","PHI","3.9","48.9","0.2","0.2","1.5","0.0","0.1","6.1"
"Preston Williams","MIA","3.8","50.9","0.1","0.4","2.4","0.0","0.0","6.1"
"Devante Parker","MIA","3.6","52.2","0.1","0.0","0.0","0.0","0.0","6.0"
"Demarcus Robinson","KC","3.1","44.3","0.2","0.0","0.0","0.0","0.0","5.9"
"Willie Snead","BAL","3.5","44.2","0.1","0.0","0.4","0.0","0.0","5.3"
"Chris Conley","JAC","3.3","43.1","0.2","0.1","0.3","0.0","0.1","5.2"
"Adam Humphries","TEN","4.2","42.0","0.2","0.2","1.1","0.0","0.0","5.2"
"A.J. Brown","TEN","3.1","40.4","0.1","0.4","2.6","0.0","0.0","5.2"
"Allen Lazard","GB","3.1","40.2","0.2","0.3","2.5","0.0","0.1","5.2"
"Taylor Gabriel","CHI","3.1","36.5","0.2","0.4","3.0","0.0","0.0","5.1"
"Mecole Hardman","KC","2.6","38.5","0.2","0.2","1.0","0.0","0.0","5.1"
"Kenny Stills","HOU","2.7","41.5","0.2","0.0","0.0","0.0","0.0","5.0"
"Jakobi Meyers","NE","3.3","39.5","0.1","0.3","2.3","0.0","0.0","4.9"
"Ted Ginn","NO","3.4","41.6","0.1","0.4","2.6","0.0","0.0","4.8"
"Damiere Byrd","ARI","3.5","40.7","0.1","0.1","1.0","0.0","0.0","4.8"
"KeeSean Johnson","ARI","3.5","38.5","0.1","0.4","2.7","0.0","0.1","4.8"
"Jake Kumerow","GB","2.8","35.6","0.1","0.4","2.7","0.0","0.0","4.6"
"Paul Richardson","WAS","3.3","37.1","0.1","0.2","1.0","0.0","0.0","4.6"
"Trey Quinn","WAS","3.7","37.6","0.1","0.4","2.9","0.0","0.0","4.6"
"Demaryius Thomas","NYJ","3.2","38.8","0.1","0.0","0.0","0.0","0.0","4.5"
"Albert Wilson","MIA","3.1","35.2","0.1","0.5","2.7","0.0","0.0","4.5"
"Randall Cobb","DAL","3.0","34.8","0.1","0.2","0.9","0.0","0.0","4.5"
"Jaron Brown","SEA","2.4","32.5","0.2","0.0","0.3","0.0","0.1","4.4"
"Hunter Renfrow","OAK","2.9","31.7","0.1","0.2","1.5","0.0","0.0","4.0"
"Byron Pringle","KC","2.5","33.3","0.1","0.1","0.3","0.0","0.0","3.9"
"Zay Jones","OAK","2.7","32.6","0.1","0.0","0.0","0.0","0.0","3.9"
"Trent Sherfield","ARI","2.6","33.3","0.1","0.0","0.3","0.0","0.0","3.9"
"Danny Amendola","DET","3.2","32.3","0.1","0.0","0.3","0.0","0.0","3.8"
"Alex Erickson","CIN","3.0","33.5","0.1","0.3","1.8","0.0","0.1","3.8"
"Mack Hollins","PHI","2.3","30.7","0.1","0.1","0.5","0.0","0.0","3.8"
"Miles Boykin","BAL","2.5","29.6","0.1","0.3","2.1","0.0","0.0","3.7"
"Keke Coutee","HOU","2.7","30.3","0.1","0.2","0.9","0.0","0.0","3.6"
"Trevor Davis","OAK","2.0","25.9","0.1","0.4","4.8","0.0","0.1","3.5"
"Tavon Austin","DAL","2.1","21.1","0.1","1.2","8.0","0.1","0.1","3.5"
"David Moore","SEA","1.9","26.7","0.1","0.0","0.1","0.0","0.0","3.5"
"Anthony Miller","CHI","2.1","26.3","0.1","0.3","1.5","0.0","0.0","3.4"
"Geronimo Allison","GB","2.0","26.4","0.1","0.1","0.5","0.0","0.1","3.3"
"Seth Roberts","BAL","2.5","27.6","0.1","0.0","0.1","0.0","0.0","3.2"
"Kendrick Bourne","SF","2.1","24.0","0.1","0.0","0.0","0.0","0.0","3.1"
"Marquise Brown","BAL","2.4","26.7","0.0","0.5","3.3","0.0","0.0","3.1"
"Zach Pascal","IND","2.0","24.2","0.1","0.2","1.7","0.0","0.0","3.1"
"Cody Latimer","NYG","1.8","24.9","0.1","0.2","1.6","0.0","0.0","3.0"
"Isaiah McKenzie","BUF","1.4","18.5","0.1","0.8","4.6","0.1","0.1","3.0"
"DaeSean Hamilton","DEN","2.4","24.0","0.1","0.1","0.5","0.0","0.0","2.9"
"Gunner Olszewski","NE","2.0","22.4","0.1","0.0","0.2","0.0","0.0","2.8"
"Darrius Shepherd","GB","1.7","21.2","0.1","0.1","0.8","0.0","0.0","2.8"
"Cordarrelle Patterson","CHI","1.0","11.0","0.0","1.9","11.6","0.1","0.0","2.8"
"Chris Moore","BAL","1.7","20.5","0.1","0.2","0.7","0.0","0.0","2.8"
"Chester Rogers","IND","2.0","22.2","0.1","0.1","0.4","0.0","0.0","2.8"
"Devin Smith","DAL","1.7","21.3","0.1","0.2","1.5","0.0","0.0","2.7"
"Allen Hurns","MIA","1.6","22.0","0.1","0.0","0.0","0.0","0.0","2.6"
"Pharoh Cooper","ARI","2.5","23.4","0.1","0.2","0.7","0.0","0.1","2.6"
"Damion Willis","CIN","1.8","20.4","0.1","0.2","1.1","0.0","0.0","2.6"
"Keelan Doss","OAK","1.7","19.9","0.1","0.1","0.8","0.0","0.0","2.5"
"Deon Cain","IND","1.6","19.7","0.1","0.2","1.6","0.0","0.0","2.5"
"Olabisi Johnson","MIN","1.7","21.5","0.0","0.1","0.4","0.0","0.0","2.4"
"Cedrick Wilson","DAL","1.5","18.7","0.0","0.1","0.6","0.0","0.0","2.2"
"Marcell Ateman","OAK","1.2","15.8","0.1","0.0","0.0","0.0","0.0","2.2"
"Tajae Sharpe","TEN","1.2","16.7","0.1","0.1","0.7","0.0","0.0","2.1"
"Keelan Cole","JAC","1.2","18.4","0.0","0.0","0.0","0.0","0.1","2.0"
"Richie James","SF","1.5","16.1","0.0","0.2","1.2","0.0","0.0","2.0"
"Geremy Davis","LAC","1.2","13.6","0.1","0.2","1.3","0.0","0.0","1.9"
"Marvin Hall","DET","0.8","16.7","0.0","0.1","0.2","0.0","0.0","1.9"
"Bennie Fowler","NYG","1.1","12.6","0.1","0.1","0.4","0.0","0.0","1.8"
"Robert Foster","BUF","1.0","13.5","0.0","0.1","1.0","0.0","0.0","1.7"
"Javon Wims","CHI","1.1","14.0","0.0","0.2","1.5","0.0","0.0","1.7"
"Gehrig Dieter","KC","0.7","10.4","0.1","0.0","0.1","0.0","0.0","1.7"
"Josh Reynolds","LAR","1.2","14.7","0.0","0.0","0.4","0.0","0.0","1.6"
"Malik Turner","SEA","1.0","12.0","0.1","0.1","0.7","0.0","0.0","1.6"
"Steven Sims","WAS","1.1","13.1","0.0","0.4","2.3","0.0","0.0","1.6"
"Andre Patton","LAC","1.0","11.3","0.1","0.1","0.5","0.0","0.0","1.5"
"Vyncint Smith","NYJ","0.8","9.2","0.0","0.2","1.7","0.0","0.0","1.4"
"Austin Carr","NO","1.2","12.5","0.0","0.1","0.7","0.0","0.0","1.4"
"Jakeem Grant","MIA","0.9","11.8","0.0","0.2","1.3","0.0","0.0","1.4"
