"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"New England Patriots","","3.0","1.2","0.7","1.3","0.2","0.1","12.0","295.2","12.1"
"Washington Redskins","","3.4","1.2","0.7","1.3","0.2","0.0","18.2","277.4","9.3"
"Dallas Cowboys","","2.8","1.1","0.8","1.7","0.2","0.1","16.3","289.0","8.8"
"Baltimore Ravens","","2.9","1.1","0.6","1.1","0.2","0.0","18.6","316.2","8.6"
"Los Angeles Chargers","","2.5","1.1","0.7","0.9","0.2","0.0","16.6","328.1","8.0"
"Carolina Panthers","","3.0","1.1","0.7","1.2","0.2","0.0","22.7","358.3","7.8"
"Denver Broncos","","3.1","0.7","0.6","0.8","0.1","0.1","19.4","313.0","7.6"
"Kansas City Chiefs","","3.5","0.8","0.6","1.0","0.2","0.0","23.6","371.1","7.4"
"Atlanta Falcons","","3.2","1.0","0.6","0.8","0.2","0.0","23.5","340.8","7.3"
"Tennessee Titans","","2.6","0.9","0.5","0.7","0.1","0.0","19.2","331.4","7.2"
"Minnesota Vikings","","2.6","0.7","0.6","0.8","0.1","0.0","19.4","315.0","7.0"
"Tampa Bay Buccaneers","","2.6","0.9","0.7","1.3","0.2","0.1","24.5","370.0","7.0"
"Los Angeles Rams","","2.7","0.9","0.7","1.2","0.2","0.0","22.7","380.5","6.9"
"Green Bay Packers","","2.9","0.9","0.6","1.1","0.2","0.0","20.1","346.5","6.8"
"Jacksonville Jaguars","","2.5","0.7","0.5","0.7","0.1","0.0","19.8","322.4","6.8"
"Seattle Seahawks","","2.5","0.9","0.7","1.1","0.1","0.0","21.2","363.2","6.6"
"New Orleans Saints","","2.9","0.6","0.8","1.5","0.1","0.1","20.7","348.3","6.6"
"Miami Dolphins","","2.4","0.9","0.6","0.8","0.2","0.0","22.7","350.9","6.4"
"Arizona Cardinals","","2.7","0.7","0.7","1.0","0.1","0.0","25.5","379.0","6.3"
"San Francisco 49ers","","2.6","0.8","0.6","1.0","0.1","0.1","25.4","374.3","6.3"
"Cleveland Browns","","3.0","0.6","0.7","1.1","0.1","0.0","22.6","355.9","6.3"
"Pittsburgh Steelers","","2.7","0.8","0.6","1.0","0.1","0.0","22.6","350.3","6.3"
"Philadelphia Eagles","","2.4","0.7","0.6","1.0","0.1","0.1","22.4","339.6","6.0"
"Cincinnati Bengals","","2.3","0.8","0.6","0.7","0.1","0.0","27.3","394.0","5.7"
"Detroit Lions","","2.7","0.5","0.6","1.0","0.1","0.0","23.4","358.8","5.6"
"New York Jets","","2.5","0.6","0.6","0.9","0.1","0.0","24.0","373.6","5.6"
"Houston Texans","","2.3","0.6","0.6","1.0","0.1","0.0","26.8","392.1","5.5"
"New York Giants","","1.7","0.6","0.4","0.5","0.1","0.0","28.3","401.2","4.4"
""
""
