"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Zach Ertz","PHI","6.0","66.6","0.5","0.1","9.7"
"","high","7.1","76.4","1.0","0.1","12.6"
"","low","5.4","61.3","0.3","0.1","8.2"
"Mark Andrews","BAL","4.9","61.1","0.6","0.1","9.5"
"","high","6.0","68.0","1.0","0.1","12.6"
"","low","3.8","50.9","0.4","0.1","8.1"
"Darren Waller","OAK","6.0","64.7","0.5","0.1","9.2"
"","high","6.9","78.8","1.0","0.0","12.6"
"","low","5.2","55.0","0.2","0.1","7.8"
"Jared Cook","NO","4.0","47.0","0.5","0.0","7.4"
"","high","5.3","67.5","1.0","0.0","11.0"
"","low","3.0","35.0","0.2","0.1","4.9"
"Greg Olsen","CAR","4.4","52.0","0.2","0.0","6.4"
"","high","5.2","68.6","0.3","0.0","7.0"
"","low","3.2","37.3","0.0","0.0","4.9"
"Ryan Griffin","NYJ","3.5","39.5","0.4","0.0","6.3"
"","high","5.5","58.9","1.0","0.0","10.7"
"","low","2.5","26.0","0.1","0.0","4.2"
"Jason Witten","DAL","4.1","39.9","0.3","0.1","5.5"
"","high","5.0","46.6","1.0","0.0","10.5"
"","low","3.5","31.5","0.0","0.1","3.8"
"George Kittle","SF","3.6","47.0","0.1","0.0","5.5"
"","high","5.5","72.2","0.4","0.0","9.7"
"","low","2.6","35.0","0.0","0.0","3.5"
"Dallas Goedert","PHI","3.3","35.6","0.3","0.1","5.2"
"","high","4.5","46.1","0.5","0.0","6.0"
"","low","2.4","27.6","0.0","0.1","4.5"
"Jacob Hollister","SEA","4.1","39.9","0.2","0.0","5.1"
"","high","6.8","60.6","0.3","0.0","5.7"
"","low","2.5","21.2","0.0","0.0","3.9"
"Vance McDonald","PIT","4.0","40.3","0.2","0.0","5.1"
"","high","5.0","57.2","0.3","0.0","5.5"
"","low","2.9","31.1","0.0","0.0","4.1"
"Noah Fant","DEN","3.5","43.6","0.1","0.1","5.0"
"","high","4.4","59.2","0.3","0.0","5.7"
"","low","3.0","36.9","0.0","0.2","3.7"
"Mike Gesicki","MIA","4.2","44.9","0.1","0.1","5.0"
"","high","5.4","53.2","0.2","0.0","5.7"
"","low","3.6","39.3","0.0","0.2","4.2"
"Gerald Everett","LAR","3.3","38.0","0.1","0.0","4.5"
"","high","4.8","54.9","0.2","0.0","5.0"
"","low","2.5","27.1","0.0","0.1","3.4"
"Darren Fells","HOU","3.0","31.7","0.2","0.0","4.5"
"","high","4.2","49.2","0.5","0.0","5.4"
"","low","2.5","23.6","0.0","0.0","3.3"
