"Rank","Tier","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","George Kittle","SF","at NO","1","3","1.5","0.6","10.0"
"2","undefined","","Travis Kelce","KC","at NE","1","4","2.1","0.8","9.1"
"3","undefined","","Zach Ertz","PHI","vs. NYG","1","10","3.7","1.8","8.7"
"4","undefined","","Hunter Henry","LAC","at JAC","2","7","3.9","0.8","8.4"
"5","undefined","","Darren Waller","OAK","vs. TEN","1","10","4.6","1.2","8.1"
"6","undefined","","Mark Andrews","BAL","at BUF","4","9","6.6","1.4","7.7"
"7","undefined","","Jack Doyle","IND","at TB","5","11","7.3","1.1","6.8"
"8","undefined","","Jared Cook","NO","vs. SF","7","17","9.5","1.7","6.1"
"9","undefined","","Dallas Goedert","PHI","vs. NYG","5","15","9.6","1.8","5.9"
"10","undefined","","Austin Hooper","ATL","vs. CAR","5","24","10.0","5.2","5.5"
"11","undefined","","Vance McDonald","PIT","at ARI","9","16","11.6","1.8","5.4"
"12","undefined","","Tyler Higbee","LAR","vs. SEA","5","18","12.9","1.7","5.3"
"13","undefined","","Kyle Rudolph","MIN","vs. DET","7","17","13.0","2.1","5.2"
"14","undefined","","Ryan Griffin","NYJ ","vs. MIA","9","19","13.6","2.7","5.1"
"15","undefined","","Mike Gesicki","MIA","at NYJ","6","18","14.7","2.0","4.9"
"16","undefined","","Jacob Hollister","SEA","at LAR","10","18","14.9","1.5","5.1"
"17","undefined","","O.J. Howard","TB","vs. IND","13","24","17.3","3.8","4.5"
"18","undefined","","Noah Fant","DEN","at HOU","12","22","18.8","1.8","4.8"
"19","undefined","","Jason Witten","DAL","at CHI","12","25","19.6","1.9","4.5"
"20","undefined","","Jimmy Graham","GB","vs. WAS","17","26","21.4","2.6","4.4"
"21","undefined","","Darren Fells","HOU","vs. DEN","15","30","22.6","2.3","4.4"
"22","undefined","","Jonnu Smith","TEN","at OAK","17","28","22.2","2.7","4.1"
"23","undefined","","Ian Thomas","CAR","at ATL","8","34","22.3","4.5","4.0"
"24","undefined","","Dawson Knox","BUF","vs. BAL","22","28","25.0","1.6","4.2"
"25","undefined","","Irv Smith Jr.","MIN","vs. DET","19","29","24.7","2.5","4.0"
"26","undefined","","Kaden Smith","NYG","at PHI","17","34","25.0","4.9","3.7"
"27","undefined","","Tyler Eifert","CIN","at CLE","23","31","27.5","2.1","3.8"
"28","undefined","","Benjamin Watson","NE","vs. KC","23","40","30.3","4.1","3.7"
"29","undefined","","Jeremy Sprinkle","WAS","at GB","22","35","29.5","2.5","3.4"
"30","undefined","","Nick O'Leary","JAC","vs. LAC","28","38","30.9","2.7","3.3"
"31","undefined","","Jordan Akins","HOU","vs. DEN","28","36","31.7","2.2","3.2"
"32","undefined","","Cameron Brate","TB","vs. IND","29","40","33.4","2.7","3.0"
