"Rank","Tier","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Tyreek Hill","KC","vs. TEN","1","1","1.0","0.0","0"
"2","undefined","","Davante Adams","GB","at SF","2","2","2.0","0.0","0"
"3","undefined","","Deebo Samuel","SF","vs. GB","3","6","3.4","0.7","0"
"4","undefined","","A.J. Brown","TEN","at KC","3","5","3.9","0.6","0"
"5","undefined","","Sammy Watkins","KC","vs. TEN","4","7","4.7","0.5","0"
"6","undefined","","Emmanuel Sanders","SF","vs. GB","4","8","6.0","0.0","0"
"7","undefined","","Mecole Hardman","KC","vs. TEN","5","9","7.6","0.5","0"
"8","undefined","","Corey Davis","TEN","at KC","7","10","7.9","0.6","0"
"9","undefined","","Allen Lazard","GB","at SF","6","11","8.6","1.0","0"
"10","undefined","","Kendrick Bourne","SF","vs. GB","9","12","9.9","0.3","0"
"11","undefined","","Geronimo Allison","GB","at SF","11","15","11.4","0.7","0"
"12","undefined","","Tajae Sharpe","TEN","at KC","10","15","12.3","0.7","0"
"13","undefined","","Demarcus Robinson","KC","vs. TEN","11","13","13.0","0.0","0"
"14","undefined","","Marquez Valdes-Scantling","GB","at SF","9","14","13.3","1.2","0"
"15","undefined","","Tyler Ervin","GB","at SF","14","15","14.8","0.4","0"
"16","undefined","","Jake Kumerow","GB","at SF","15","16","16.0","0.0","0"
"17","undefined","","Kalif Raymond","TEN","at KC","15","17","16.9","0.3","0"
"18","undefined","","Richie James","SF","vs. GB","17","18","18.0","0.0","0"
"19","undefined","","Darius Jennings","TEN","at KC","18","19","19.0","0.0","0"
""
""
