"Rank","Tier","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev"
"1","undefined","","New England (NE)","at MIA","1","15","1.3","1.1"
"2","undefined","","Baltimore (BAL)","vs. ARI","1","6","2.6","0.9"
"3","undefined","","Chicago (CHI)","at DEN","1","15","3.5","2.1"
"4","undefined","","Houston (HOU)","vs. JAC","1","23","4.6","2.1"
"5","undefined","","Buffalo (BUF)","at NYG","2","18","6.2","2.2"
"6","undefined","","Dallas (DAL)","at WAS","3","17","7.0","2.1"
"7","undefined","","Denver (DEN)","vs. CHI","3","20","7.5","2.2"
"8","undefined","","Cleveland (CLE)","at NYJ","2","14","7.7","2.3"
"9","undefined","","Carolina (CAR)","vs. TB","2","23","7.8","2.5"
"10","undefined","","Los Angeles (LAC)","at DET","3","24","11.3","3.6"
"11","undefined","","Kansas City (KC)","at OAK","5","26","12.1","3.2"
"12","undefined","","Green Bay (GB)","vs. MIN","2","21","13.1","2.2"
"13","undefined","","Jacksonville (JAC)","at HOU","2","27","13.4","3.7"
"14","undefined","","Tennessee (TEN)","vs. IND","6","26","13.8","3.4"
"15","undefined","","Minnesota (MIN)","at GB","5","28","15.3","3.1"
"16","undefined","","Indianapolis (IND)","at TEN","10","30","16.9","2.7"
"17","undefined","","Pittsburgh (PIT)","vs. SEA","7","29","17.4","3.5"
"18","undefined","","New York (NYG)","vs. BUF","4","29","18.2","3.3"
"19","undefined","","New York (NYJ)","vs. CLE","8","27","19.3","3.6"
"20","undefined","","Philadelphia (PHI)","at ATL","2","25","19.6","2.4"
"21","undefined","","Cincinnati (CIN)","vs. SF","7","32","19.8","5.0"
"22","undefined","","San Francisco (SF)","at CIN","5","29","20.1","3.4"
"23","undefined","","Los Angeles (LAR)","vs. NO","3","30","21.6","4.1"
"24","undefined","","Seattle (SEA)","at PIT","6","29","23.1","2.8"
"25","undefined","","Detroit (DET)","vs. LAC","13","28","23.8","2.6"
"26","undefined","","New Orleans (NO)","at LAR","8","29","25.6","3.5"
"27","undefined","","Washington (WAS)","vs. DAL","19","31","26.8","1.7"
"28","undefined","","Atlanta (ATL)","vs. PHI","20","30","27.1","1.9"
"29","undefined","","Tampa Bay (TB)","at CAR","20","31","28.1","2.2"
"30","undefined","","Arizona (ARI)","at BAL","21","32","29.3","1.5"
"31","undefined","","Oakland (OAK)","vs. KC","21","33","30.9","0.8"
"32","undefined","","Miami (MIA)","vs. NE","25","32","31.9","0.3"
""
""
