"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","16.4","79.4","0.6","6.1","51.6","0.2","0.1","18.0"
"","high","19.5","91.2","1.0","7.0","58.4","0.4","0.1","20.6"
"","low","13.1","68.0","0.3","5.4","45.5","0.0","0.2","14.3"
"Nick Chubb","CLE","19.6","102.1","0.9","1.9","13.1","0.1","0.2","17.0"
"","high","23.6","116.0","1.1","3.0","16.4","0.3","0.1","17.4"
"","low","15.0","94.0","0.7","1.0","7.0","0.0","0.2","15.1"
"Alvin Kamara","NO","12.9","64.3","0.6","6.1","50.9","0.2","0.1","16.1"
"","high","15.0","70.3","1.0","6.6","54.5","0.3","0.0","18.1"
"","low","10.6","57.7","0.4","5.3","43.0","0.0","0.2","13.9"
"Derrick Henry","TEN","19.4","90.2","0.8","1.5","14.5","0.1","0.1","15.2"
"","high","24.0","107.0","1.0","2.0","18.0","0.1","0.0","18.5"
"","low","15.6","81.0","0.4","1.1","12.8","0.0","0.2","12.2"
"Josh Jacobs","OAK","20.2","88.8","0.7","2.0","15.4","0.1","0.1","14.9"
"","high","25.0","103.0","1.0","2.7","20.2","0.1","0.1","18.0"
"","low","17.0","76.8","0.5","1.1","12.0","0.0","0.2","11.9"
"Leonard Fournette","JAC","19.7","81.6","0.5","4.2","30.8","0.1","0.1","14.6"
"","high","22.0","91.0","1.0","5.2","37.0","0.2","0.0","17.9"
"","low","16.7","75.0","0.3","3.0","27.4","0.0","0.2","12.9"
"Ezekiel Elliott","DAL","19.1","84.0","0.5","3.0","23.8","0.1","0.1","13.9"
"","high","20.5","90.6","1.0","3.1","27.0","0.1","0.1","15.7"
"","low","17.0","74.0","0.3","2.8","22.0","0.0","0.2","12.8"
"Saquon Barkley","NYG","16.5","69.6","0.5","4.5","34.2","0.1","0.1","13.6"
"","high","18.3","80.7","1.0","5.2","40.9","0.2","0.0","16.0"
"","low","15.7","53.0","0.2","3.5","26.0","0.0","0.2","11.2"
"Chris Carson","SEA","19.3","83.0","0.5","2.8","19.5","0.1","0.2","13.5"
"","high","21.0","89.9","1.0","3.0","25.0","0.1","0.1","16.3"
"","low","17.7","77.0","0.3","2.6","15.5","0.0","0.3","12.2"
"Todd Gurley","LAR","16.9","68.2","0.6","2.7","23.1","0.1","0.1","13.3"
"","high","21.0","84.0","1.0","3.4","25.0","0.2","0.1","16.9"
"","low","15.5","60.0","0.5","2.3","20.0","0.0","0.2","11.1"
