"Rank","Tier","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev","Proj. Pts"
"1","undefined","","Derrick Henry","TEN","at OAK","1","5","1.7","1.3","20.9"
"2","undefined","","Christian McCaffrey","CAR","at ATL","1","4","2.3","0.7","14.9"
"3","undefined","","Ezekiel Elliott","DAL","at CHI","1","7","3.2","0.9","14.9"
"4","undefined","","Nick Chubb","CLE","vs. CIN","1","9","4.5","1.2","14.6"
"5","undefined","","Leonard Fournette","JAC","vs. LAC","1","23","4.9","1.6","14.2"
"6","undefined","","Dalvin Cook","MIN","vs. DET","2","10","6.0","1.7","14.1"
"7","undefined","","Melvin Gordon","LAC","at JAC","1","11","7.2","1.7","14.0"
"8","undefined","","Aaron Jones","GB","vs. WAS","6","15","7.5","1.4","13.8"
"9","undefined","","Alvin Kamara","NO","vs. SF","3","11","9.0","0.9","13.6"
"10","undefined","","Saquon Barkley","NYG","at PHI","7","17","10.5","1.5","13.4"
"11","undefined","","Todd Gurley","LAR","vs. SEA","9","16","12.0","1.3","13.3"
"12","undefined","","Mark Ingram","BAL","at BUF","8","19","13.2","2.1","13.2"
"13","undefined","","Miles Sanders","PHI","vs. NYG","8","20","13.3","2.4","13.0"
"14","undefined","","Chris Carson","SEA","at LAR","7","32","14.9","2.5","11.3"
"15","undefined","","Devonta Freeman","ATL","vs. CAR","6","23","15.7","2.5","10.7"
"16","undefined","","Phillip Lindsay","DEN","at HOU","12","24","16.5","1.8","10.7"
"17","undefined","","Josh Jacobs","OAK ","vs. TEN","9","40","16.6","5.3","10.9"
"18","undefined","","Joe Mixon","CIN","at CLE","11","21","17.5","2.0","10.6"
"19","undefined","","Sony Michel","NE","vs. KC","12","33","18.5","3.7","10.5"
"20","undefined","","Devin Singletary","BUF","vs. BAL","16","27","19.8","2.3","10.1"
"21","undefined","","Austin Ekeler","LAC","at JAC","15","33","21.1","2.3","10.0"
"22","undefined","","David Montgomery","CHI","vs. DAL","18","26","21.8","1.7","9.8"
"23","undefined","","Kareem Hunt","CLE","vs. CIN","20","31","24.5","2.3","9.8"
"24","undefined","","Benny Snell Jr.","PIT","at ARI","19","44","25.5","3.1","9.2"
"25","undefined","","Derrius Guice","WAS","at GB","16","41","26.3","4.4","9.2"
"26","undefined","","James White","NE","vs. KC","23","37","27.8","2.9","8.9"
"27","undefined","","Jamaal Williams","GB","vs. WAS","23","41","28.0","2.2","8.8"
"28","undefined","","Kenyan Drake","ARI","vs. PIT","23","37","29.0","2.9","8.5"
"29","undefined","","Rashaad Penny","SEA","at LAR","21","36","29.4","3.1","8.4"
"30","undefined","","LeSean McCoy","KC","at NE","13","48","30.7","2.6","8.2"
"31","undefined","","Bo Scarbrough","DET","at MIN","19","38","30.7","4.9","8.2"
"32","undefined","","Marlon Mack","IND","at TB","18","58","33.3","11.2","7.8"
"33","undefined","","Carlos Hyde","HOU","vs. DEN","23","42","34.3","2.7","7.8"
"34","undefined","","Ronald Jones II","TB","vs. IND","28","42","35.3","3.1","7.6"
"35","undefined","","Alexander Mattison","MIN","vs. DET","27","50","37.4","4.7","7.1"
"36","undefined","","Tarik Cohen","CHI","vs. DAL","31","48","37.5","3.8","7.5"
"37","undefined","","Duke Johnson","HOU","vs. DEN","30","47","37.7","3.8","7.0"
"38","undefined","","Patrick Laird","MIA","at NYJ","28","49","38.5","4.5","7.2"
"39","undefined","","Raheem Mostert","SF","at NO","31","51","38.7","2.9","7.1"
"40","undefined","","Bilal Powell","NYJ","vs. MIA","17","66","36.0","14.4","7.0"
"41","undefined","","Tevin Coleman","SF","at NO","35","51","41.1","3.0","6.9"
"42","undefined","","Darwin Thompson","KC","at NE","24","54","42.8","5.2","6.7"
"43","undefined","","Latavius Murray","NO","vs. SF","37","51","42.9","3.6","6.5"
"44","undefined","","Adrian Peterson","WAS","at GB","35","52","43.5","3.5","6.4"
"45","undefined","","Jaylen Samuels","PIT","at ARI","33","52","43.5","4.3","6.0"
"46","undefined","","Peyton Barber","TB","vs. IND","31","50","45.0","3.1","6.0"
"47","undefined","","Royce Freeman","DEN","at HOU","36","50","43.8","2.7","6.4"
"48","undefined","","Matt Breida","SF","at NO","35","62","48.0","5.0","5.8"
"49","undefined","","David Johnson","ARI","vs. PIT","40","61","51.1","3.1","5.3"
"50","undefined","","Nyheim Hines","IND","at TB","43","60","53.7","2.9","5.2"
"51","undefined","","Gus Edwards","BAL","at BUF","39","64","52.0","4.8","5.3"
"52","undefined","","Rex Burkhead","NE","vs. KC","49","60","53.9","2.6","5.1"
"53","undefined","","Frank Gore","BUF","vs. BAL","44","62","54.7","3.8","5.1"
"54","undefined","","DeAndre Washington","OAK","vs. TEN","41","69","55.8","6.0","5.0"
"55","undefined","","Jay Ajayi","PHI","vs. NYG","47","60","53.4","3.8","4.7"
"56","undefined","","J.D. McKissic","DET","at MIN","51","65","58.1","2.7","4.9"
"57","undefined","","Brian Hill","ATL","vs. CAR","46","67","56.8","4.4","4.5"
"58","undefined","","Ty Montgomery","NYJ","vs. MIA","45","77","55.2","8.6","4.3"
"59","undefined","","Jalen Richard","OAK","vs. TEN","53","70","60.7","3.6","4.2"
"60","undefined","","Myles Gaskin","MIA","at NYJ","47","64","58.6","4.2","3.9"
"61","undefined","","Jordan Wilkins","IND","at TB","45","65","57.2","5.6","3.6"
"62","undefined","","Giovani Bernard","CIN","at CLE","57","70","62.1","2.8","3.8"
"63","undefined","","Jonathan Williams","IND","at TB","45","91","64.2","10.5","3.5"
"64","undefined","","Malcolm Brown","LAR","vs. SEA","58","67","63.6","1.7","3.4"
"65","undefined","","Dare Ogunbowale","TB","vs. IND","64","78","68.6","3.0","3.4"
"66","undefined","","Chase Edmonds","ARI","vs. PIT","55","76","66.8","3.9","3.2"
"67","undefined","","Ty Johnson","DET","at MIN","52","70","65.1","4.6","3.2"
"68","undefined","","Dion Lewis","TEN","at OAK","57","69","66.1","2.4","3.1"
"69","undefined","","Chris Thompson","WAS","at GB","47","76","70.8","3.6","3.0"
"70","undefined","","Justice Hill","BAL","at BUF","65","75","71.0","3.0","3.0"
"71","undefined","","Kerrith Whyte","PIT","at ARI","61","75","68.3","4.5","2.9"
"72","undefined","","Ryquell Armstead","JAC","vs. LAC","68","80","73.3","2.9","2.9"
"73","undefined","","Darrell Henderson","LAR","vs. SEA","67","89","78.1","4.4","2.9"
"74","undefined","","Qadree Ollison","ATL","vs. CAR","65","81","73.1","3.7","2.7"
"75","undefined","","Brandon Bolden","NE","vs. KC","73","79","75.4","2.0","2.2"
"76","undefined","","Boston Scott","PHI","vs. NYG","70","80","75.6","3.4","2.1"
"77","undefined","","Ameer Abdullah","MIN","vs. DET","72","86","78.1","3.0","2.3"
"78","undefined","","Kenjon Barner","ATL","vs. CAR","75","87","80.9","2.9","1.7"
"79","undefined","","Wayne Gallman","NYG","at PHI","68","91","82.6","4.4","2.0"
"80","undefined","","CJ Ham","MIN","vs. DET","79","88","83.3","2.8","1.7"
"81","undefined","","Jamize Olawale","DAL","at CHI","59","91","77.1","7.9","1.5"
"82","undefined","","Jeff Wilson","SF","at NO","52","83","77.8","3.8","1.7"
"83","undefined","","Reggie Bonnafon","CAR","at ATL","76","93","84.2","4.5","1.4"
"84","undefined","","Trey Edmunds","PIT","at ARI","77","88","81.3","3.3","1.3"
"85","undefined","","Alex Armah","CAR","at ATL","76","89","84.6","1.9","1.2"
"86","undefined","","Kyle Juszczyk","SF","at NO","77","93","86.8","4.5","1.3"
"87","undefined","","Jordan Howard","PHI","vs. NYG","40","96","77.0","9.4","1.1"
"88","undefined","","Alec Ingold","OAK","vs. TEN","80","90","85.6","2.1","1.0"
"89","undefined","","Josh Adams","NYJ","vs. MIA","54","104","74.4","13.0","1.0"
"90","undefined","","Elijhaa Penny","NYG","at PHI","88","98","90.2","2.9","1.0"
"91","undefined","","Devontae Booker","DEN","at HOU","89","97","92.8","2.0","0.9"
"92","undefined","","Ryan Nall","CHI","vs. DAL","76","93","88.3","2.6","0.9"
"93","undefined","","Patrick DiMarco","BUF","vs. BAL","85","102","94.0","3.2","0.9"
"94","undefined","","Justin Jackson","LAC","at JAC","89","101","93.8","3.2","0.8"
