"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","26.8","17.4","202.7","1.8","0.5","11.3","68.4","0.4","0.2","23.2"
"","high","29.8","19.2","219.8","2.1","0.0","13.1","81.7","0.6","0.2","26.3"
"","low","23.7","15.3","186.0","1.3","0.7","8.8","50.9","0.0","0.3","21.9"
"Patrick Mahomes","KC","34.8","23.1","290.5","2.0","0.5","3.5","16.1","0.1","0.1","20.8"
"","high","38.5","24.8","328.1","2.3","0.0","4.1","19.0","0.2","0.1","23.6"
"","low","32.0","22.0","264.0","1.7","0.8","2.8","14.2","0.0","0.2","20.2"
"Deshaun Watson","HOU","34.9","23.7","273.4","1.8","0.8","5.3","29.0","0.2","0.2","20.4"
"","high","37.0","26.0","287.4","2.0","0.7","5.8","37.7","0.4","0.2","24.3"
"","low","32.1","21.8","257.0","1.4","1.0","4.6","25.0","0.0","0.3","18.8"
"Russell Wilson","SEA","30.5","20.5","251.0","2.1","0.5","4.9","26.9","0.1","0.2","20.3"
"","high","32.0","21.4","258.5","2.2","0.0","6.0","31.0","0.2","0.1","23.6"
"","low","29.3","19.7","246.0","2.0","0.7","3.4","20.0","0.0","0.3","18.9"
"Jameis Winston","TB","38.9","23.7","317.4","1.9","1.4","4.0","18.1","0.1","0.3","19.4"
"","high","44.0","26.0","362.0","2.0","1.0","5.5","23.6","0.3","0.3","25.0"
"","low","36.4","21.9","285.0","1.8","1.9","3.0","14.0","0.0","0.4","19.5"
"Drew Brees","NO","36.2","27.2","284.3","2.1","0.4","0.8","1.1","0.0","0.1","19.3"
"","high","38.6","28.4","312.8","2.3","0.0","1.4","2.6","0.1","0.0","22.4"
"","low","34.0","24.0","233.0","2.0","0.7","0.0","0.0","0.0","0.1","17.1"
"Dak Prescott","DAL","37.2","24.2","294.0","1.7","0.9","3.1","15.0","0.1","0.2","18.8"
"","high","45.0","29.0","350.0","2.0","0.7","4.0","17.2","0.3","0.1","24.0"
"","low","34.0","22.4","262.0","1.4","1.0","2.0","12.0","0.0","0.2","17.0"
