"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"George Kittle","SF","5.8","71.4","0.5","0.1","13.1"
"","high","6.6","77.0","1.0","0.0","16.6"
"","low","5.3","61.0","0.3","0.1","11.7"
"Darren Waller","OAK","6.5","69.0","0.5","0.1","13.1"
"","high","8.0","83.8","1.0","0.0","16.1"
"","low","5.3","54.4","0.2","0.1","11.3"
"Travis Kelce","KC","5.5","67.5","0.5","0.1","12.4"
"","high","6.0","77.8","1.0","0.0","15.2"
"","low","5.0","64.0","0.3","0.1","11.3"
"Hunter Henry","LAC","4.9","61.6","0.6","0.0","12.0"
"","high","6.0","70.2","1.0","0.0","15.0"
"","low","4.3","51.0","0.4","0.0","9.9"
"Evan Engram","NYG","4.9","56.5","0.5","0.0","10.9"
"","high","5.7","66.0","1.0","0.0","15.0"
"","low","4.3","47.3","0.3","0.1","9.0"
"Zach Ertz","PHI","5.3","57.5","0.4","0.1","10.8"
"","high","6.4","69.1","1.0","0.0","13.8"
"","low","4.8","49.4","0.2","0.1","9.5"
"Mark Andrews","BAL","4.3","54.6","0.5","0.1","10.4"
"","high","5.0","61.0","1.0","0.0","14.3"
"","low","3.3","46.1","0.2","0.1","8.9"
"Greg Olsen","CAR","3.8","44.7","0.4","0.0","8.8"
"","high","4.8","62.9","1.0","0.0","12.0"
"","low","2.9","33.8","0.1","0.0","6.7"
"Eric Ebron","IND","3.1","35.0","0.3","0.0","7.1"
"","high","4.1","46.5","1.0","0.0","10.9"
"","low","2.7","31.0","0.0","0.0","5.8"
"T.J. Hockenson","DET","3.4","39.9","0.2","0.0","6.6"
"","high","5.0","56.0","0.3","0.0","8.0"
"","low","2.7","29.0","0.0","0.0","4.6"
"Jason Witten","DAL","3.7","37.6","0.1","0.1","6.4"
"","high","4.2","44.0","0.3","0.0","7.5"
"","low","2.9","28.2","0.0","0.1","5.9"
"Darren Fells","HOU","3.1","35.1","0.2","0.0","6.3"
"","high","3.6","42.5","0.5","0.0","7.7"
"","low","2.4","27.5","0.0","0.0","5.4"
"Jonnu Smith","TEN","3.3","37.9","0.1","0.0","6.2"
"","high","4.0","48.5","0.3","0.0","8.1"
"","low","1.6","19.0","0.0","0.0","4.3"
"Jimmy Graham","GB","3.0","33.7","0.2","0.0","5.8"
"","high","3.6","42.6","0.3","0.0","7.0"
"","low","2.3","24.0","0.0","0.0","5.0"
"Dallas Goedert","PHI","3.4","34.1","0.1","0.1","5.8"
"","high","5.0","46.8","0.3","0.0","6.5"
"","low","2.2","22.6","0.0","0.1","5.0"
"Cameron Brate","TB","2.8","32.4","0.1","0.0","5.5"
"","high","3.7","42.3","0.3","0.0","6.4"
"","low","1.8","19.5","0.0","0.0","4.4"
"Jack Doyle","IND","3.3","30.3","0.1","0.1","5.4"
"","high","4.2","37.9","0.2","0.0","6.2"
"","low","2.0","21.0","0.0","0.1","3.8"
"Noah Fant","DEN","2.9","31.6","0.1","0.0","5.3"
"","high","3.4","36.5","0.2","0.0","6.1"
"","low","2.0","25.4","0.0","0.1","4.2"
"Mike Gesicki","MIA","2.9","31.9","0.1","0.0","5.2"
"","high","3.7","35.3","0.2","0.0","5.6"
"","low","2.5","29.6","0.0","0.1","4.8"
